,race_code,date,start_time,avg_speed_winner,race_category,distance,points_scale,uci_scale,parcours_type,profilescore,vert_meters,departure,arrival,race_ranking,startlist_quality_score,won_how,race_name,year,stage_number,type_race,prestige,time_trial,final_stage,type_win,sprint_type,solo_win
23,world-championships-u23/2019,2019-09-27,,44.025,mu - men u23,171.6,nationals.c1,uci.wr.wo.u23,hill_flat_finish,46.0,1733.0,doncaster,harrogate,0,78,sprint of small group,world-championships-u23,2019,0,one-day-race,other-classic,0,0,sprint,small,
24,world-championship/2019,2019-09-29,10:20:00,40.37,me - men elite,260.7,worlds.rr,uci.wr.wo - tm2022,hill_flat_finish,82.0,3220.0,leeds,harrogate,0,1510,sprint of small group,world-championship,2019,0,one-day-race,other-classic,0,0,sprint,small,
25,clasica-de-almeria/2019,2019-02-17,13:15:00,43.102,me - men elite,192.5,1.pro,uci.wr.pro,hill_flat_finish,27.0,1888.0,almeria,roquetas de mar,0,237,sprint of small group,clasica-de-almeria,2019,0,one-day-race,other-classic,0,0,sprint,small,
26,trofeo-laigueglia/2019,2019-02-17,11:00:00,39.381,me - men elite,203.7,1.pro,uci.wr.pro,hill_flat_finish,144.0,3005.0,laigueglia,laigueglia,0,107,35 km solo,trofeo-laigueglia,2019,0,one-day-race,other-classic,0,0,solo,no sprint,35.0
27,kuurne-brussel-kuurne/2019,2019-03-03,11:53:00,42.651,me - men elite,201.1,1.pro,uci.wr.pro,hill_flat_finish,40.0,2109.0,kuurne,kuurne,0,597,16.2 km solo,kuurne-brussel-kuurne,2019,0,one-day-race,other-classic,0,0,solo,no sprint,16.2
28,gp-industria-artigianato/2019,2019-03-10,10:45:00,42.683,me - men elite,199.2,1.pro,uci.wr.pro,hill_flat_finish,88.0,2153.0,larciano,larciano,0,291,sprint a deux,gp-industria-artigianato,2019,0,one-day-race,other-classic,0,0,sprint,a deux,
29,ronde-van-drenthe/2019,2019-03-17,12:10:00,41.34,me - men elite,217.6,1.pro,uci.wr.pro,flat,5.0,529.0,zuidwolde,hoogeveen,0,147,sprint a deux,ronde-van-drenthe,2019,0,one-day-race,other-classic,0,0,sprint,a deux,
30,nokere-koers/2019,2019-03-20,12:40:00,43.049,me - men elite,195.6,1.pro,uci.wr.pro,flat,7.0,1131.0,deinze,nokere,0,296,sprint of small group,nokere-koers,2019,0,one-day-race,other-classic,0,0,sprint,small,
31,bredene-koksijde-classic/2019,2019-03-22,12:37:00,43.404,me - men elite,199.5,1.pro,uci.wr.pro,flat,5.0,514.0,bredene,koksijde,0,251,sprint of large group,bredene-koksijde-classic,2019,0,one-day-race,other-classic,0,0,sprint,large,
32,gp-de-denain/2019,2019-03-24,12:08:00,45.404,me - men elite,198.0,1.pro,uci.wr.pro,flat,1.0,871.0,denain,denain,0,151,8.6 km solo,gp-de-denain,2019,0,one-day-race,other-classic,0,0,solo,no sprint,8.6
33,scheldeprijs/2019,2019-04-10,12:43:00,45.503,me - men elite,202.3,1.pro,uci.wr.pro,flat,0.0,240.0,borsele,schoten,0,311,sprint of large group,scheldeprijs,2019,0,one-day-race,other-classic,0,0,sprint,large,
34,brabantse-pijl/2019,2019-04-17,12:40:00,42.779,me - men elite,196.2,1.pro,uci.wr.pro,hill_uphill_finish,65.0,2145.0,leuven,overijse,0,465,sprint of small group,brabantse-pijl,2019,0,one-day-race,other-classic,0,0,sprint,small,
35,gp-du-canton-d-argovie/2019,2019-06-13,14:30:00,41.783,me - men elite,185.9,1.pro,uci.wr.pro,hill_flat_finish,81.0,2422.0,leuggern,leuggern,0,212,sprint of large group,gp-du-canton-d-argovie,2019,0,one-day-race,other-classic,0,0,sprint,large,
36,brussels-cycling-classic/2019,2019-09-07,11:40:00,43.04,me - men elite,190.5,1.pro,uci.wr.pro,hill_flat_finish,47.0,1815.0,brussels,brussels,0,465,sprint of large group,brussels-cycling-classic,2019,0,one-day-race,other-classic,0,0,sprint,large,
37,gp-de-fourmies/2019,2019-09-08,12:05:00,42.934,me - men elite,205.0,1.pro,uci.wr.pro,hill_flat_finish,37.0,2078.0,fourmies,fourmies,0,295,sprint of large group,gp-de-fourmies,2019,0,one-day-race,other-classic,0,0,sprint,large,
38,gp-impanis-van-petegem/2019,2019-09-21,12:25:00,42.718,me - men elite,197.0,1.pro,uci.wr.pro,hill_flat_finish,33.0,1735.0,brakel,haacht,0,495,3 km solo,gp-impanis-van-petegem,2019,0,one-day-race,other-classic,0,0,solo,no sprint,3.0
39,munsterland-giro/2019,2019-10-03,12:00:00,43.5,me - men elite,193.3,1.pro,uci.wr.pro,hill_flat_finish,12.0,1097.0,emsdetten,münster,0,411,sprint of small group,munsterland-giro,2019,0,one-day-race,other-classic,0,0,sprint,small,
