,team_name,circuit,country,team_code,team_url_pcs,gear_info_url,bike,groupset,wheels,saddle,tyres,pedals,powermeter,sunglasses,helmets,shoes,bartape,kit,sports_nutrition,cycling_computer,hometrainer
21,caja rural - seguros rga,proteams,spain,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2023/more/gear,mmr,shimano,vision,selle italia,vittoria,,,spiuk,spiuk,,,gsport,,,
22,eolo-kometa,proteams,italy,eolo-kometa-2023,https://www.procyclingstats.com/team/eolo-kometa-2023,https://www.procyclingstats.com/team/eolo-kometa-2023/more/gear,aurum,sram,enve,prologo,vittoria,look,,,,sidi,,gobik,,,
23,equipo kern pharma,proteams,spain,equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2023/more/gear,giant,shimano,cadex,,,,,bollé,giant,,,etxeondo,finisher,,zycle
24,euskaltel - euskadi,proteams,spain,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskaltel-euskadi-2023/more/gear,orbea,shimano,vision,,,,,,,,,etxeondo,,,
25,green project bardiani csf-faizane,proteams,italy,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/green-project-bardiani-csf-faizane-2023/more/gear,de rosa,campagnolo,campagnolo,selle smp,vittoria,favero,favero,briko,briko,gaerne,de rosa,alé,sis,bryton,elite
26,human powered health,proteams,usa,human-powered-health-2023,https://www.procyclingstats.com/team/human-powered-health-2023,https://www.procyclingstats.com/team/human-powered-health-2023/more/gear,felt,sram,vision,selle italia,goodyear,,,rudy project,lem,northwave,,pactimo,,wahoo,wahoo
27,israel - premier tech,proteams,israel,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-premier-tech-2023/more/gear,factor,,black inc,selle italia,maxxis,,,ekoï,ekoï,,,ekoï,santa madre,hammerhead,powerwatts
28,lotto dstny,proteams,belgium,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-dstny-2023/more/gear,ridley,shimano,dt swiss,selle italia,vittoria,shimano,shimano,ekoï,ekoï,,lizard skins,vermarc,precision fuel & hydratation,garmin,garmin
29,team corratec,proteams,italy,team-corratec-2023,https://www.procyclingstats.com/team/team-corratec-2023,https://www.procyclingstats.com/team/team-corratec-2023/more/gear,corratec,,,,,,,,,,,,,,
30,team flanders - baloise,proteams,belgium,team-flanders--baloise-2023,https://www.procyclingstats.com/team/team-flanders--baloise-2023,https://www.procyclingstats.com/team/team-flanders--baloise-2023/more/gear,eddy merckx,shimano,fast forward wheels,selle italia,vittoria,look,,rudy project,rudy project,,,vermarc,etixx,garmin,tacx
31,team novo nordisk,proteams,usa,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2023/more/gear,argon 18,,,,vittoria,,,,catlike,,,santic,,,
32,team totalenergies,proteams,france,team-totalenergies-2023,https://www.procyclingstats.com/team/team-totalenergies-2023,https://www.procyclingstats.com/team/team-totalenergies-2023/more/gear,specialized,shimanoshimano,,specializedspecialized,,,,100%100%,specializedspecialized,specializedspecialized,,sportful,sportfulergysport,garmingarmin,
33,tudor pro cycling team,proteams,switzerland,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2023/more/gear,bmc,sramsram,dt swiss dt swiss,selle italiaselle italia,schwalbeschwalbe,speedplay,,,abusabus,suplest,,assosassos,,wahoo,wahoo
34,uno-x pro cycling team,proteams,norway,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2023/more/gear,dare,,dt swiss,,,,,sweet protection,sweet protection,,,bioracer,,,
35,q36.5 pro cycing team,proteams,switzerland,q365-pro-cycing-team,https://www.procyclingstats.com/team/q365-pro-cycing-team,https://www.procyclingstats.com/team/q365-pro-cycing-team/more/gear,scott,sram,zipp,syncros,pirelli,,garmin,scott,scott,q36.5,,q36.5,amacx,garmin,
