,team_historical_code,team_code_2023,archive_url,team_name,wins,points,pcs_ranking
45,team-dsm-2021,team-dsm-2023,https://www.procyclingstats.com/team/team-dsm-2021,team dsm,8,4889,20
46,team-sunweb-2020,team-dsm-2023,https://www.procyclingstats.com/team/team-sunweb-2020,team sunweb,16,6638,4
47,team-sunweb-2019,team-dsm-2023,https://www.procyclingstats.com/team/team-sunweb-2019,team sunweb,9,6589,15
48,trek-segafredo-2022,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2022,trek - segafredo,19,7070,13
49,trek-segafredo-2021,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2021,trek - segafredo,19,6358,10
50,trek-segafredo-2020,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2020,trek - segafredo,10,5507,8
51,trek-segafredo-2019,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2019,trek - segafredo,11,6919,12
52,ag2r-citroen-team-2022,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-citroen-team-2022,ag2r citroën team,11,6787,12
53,ag2r-citroen-team-2021,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-citroen-team-2021,ag2r citroën team,12,6813,9
54,ag2r-la-mondiale-2020,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-la-mondiale-2020,ag2r la mondiale,5,3768,14
55,ag2r-la-mondiale-2019,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-la-mondiale-2019,ag2r la mondiale,14,7095,13
56,uae-team-emirates-2022,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2022,uae team emirates,48,12391,3
57,uae-team-emirates-2021,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2021,uae team emirates,32,10473,5
58,uae-team-emirates-2020,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2020,uae team emirates,33,7768,2
59,uae-team-emirates-2019,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2019,uae team emirates,28,10160,6
60,alpecin-deceuninck-2022,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/alpecin-deceuninck-2022,alpecin-deceuninck,34,8062,8
61,alpecin-fenix-2021,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/alpecin-fenix-2021,alpecin-fenix,33,7274,7
62,alpecin-fenix-2020,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/alpecin-fenix-2020,alpecin-fenix,16,3211,16
