,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,tour-down-under/2019/stage-1,15 January 2019,01:30,38.77 km/h,ME - Men Elite,129.1 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,69,1886,North Adelaide,Port Adelaide,0,549,Sprint of large group,
1,uae-tour/2019/stage-1,24 February 2019,11:30,57.086 km/h,ME - Men Elite,16 km,2.WT.TTT,,p1,0,19,Al Hudayriat Island,Al Hudayriat Island,0,765,Time Trial,
2,paris-nice/2019/stage-1,10 March 2019,11:30,42.058 km/h,ME - Men Elite,138.5 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,26,1107,Saint-Germain-en-Laye,Saint-Germain-en-Laye,0,1054,Sprint of large group,
3,tirreno-adriatico/2019/stage-1,13 March 2019,14:00,57.546 km/h,ME - Men Elite,21.5 km,2.WT.TTT,,p1,0,12,Lido di Camaiore,Lido di Camaiore,0,1110,Time Trial,
4,volta-a-catalunya/2019/stage-1,25 March 2019,12:55,38.588 km/h,ME - Men Elite,163.7 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p4,105,3015,Calella,Calella,0,927,60 km solo,
5,itzulia-basque-country/2019/stage-1,08 April 2019,14:15  (16:15 CET),39.5 km/h,ME - Men Elite,11.3 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p2,47,269,Zumarraga,Zumarraga,0,769,Time Trial,
6,tour-of-turkey/2019/stage-1,16 April 2019,10:04  (12:04 CET),44.231 km/h,ME - Men Elite,156.7 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p2,30,1347,Istanbul,Tekirdağ,0,155,Sprint of large group,
7,tour-de-romandie/2019/stage-1,01 May 2019,12:55  (14:55 CET),39.577 km/h,ME - Men Elite,168.4 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p4,154,3094,Neuchâtel,La Chaux-de-Fonds,0,546,Sprint of large group,
8,tour-of-california/2019/stage-1,12 May 2019,23:15  (25:15 CET),44.189 km/h,ME - Men Elite,143 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p1,0,168,Sacramento,Sacramento,0,438,Sprint of small group,
9,dauphine/2019/stage-1,09 June 2019,11:10  (13:10 CET),41.652 km/h,ME - Men Elite,142 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p4,126,2500,Aurillac,Jussac,0,918,Sprint of large group,
10,tour-de-suisse/2019/stage-1,15 June 2019,14:35  (16:35 CET),52.615 km/h,ME - Men Elite,9.5 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,1,52,Langnau im Emmental,Langnau im Emmental,0,727,Time Trial,
11,tour-de-pologne/2019/stage-1,03 August 2019,15:30  (17:30 CET),44.604 km/h,ME - Men Elite,132.3 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p1,22,1236,Kraków,Kraków,0,462,Sprint of large group,
