,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,tour-down-under/2020/stage-1,21 January 2020,11:00  (01:30 CET),43.08 km/h,ME - Men Elite,150 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,26,1245,Tanunda,Tanunda,39,514,Sprint of large group,
1,uae-tour/2020/stage-1,23 February 2020,13:05  (10:05 CET),42.42 km/h,ME - Men Elite,148 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p1,33,1556,The Pointe,Dubai Silicon Oasis,21,760,Sprint of large group,
2,paris-nice/2020/stage-1,08 March 2020,11:20,43.52 km/h,ME - Men Elite,154 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,58,1501,Plaisir,Plaisir,6,1058,Sprint of small group,
3,tour-de-pologne/2020/stage-1,05 August 2020,13:55,43.22 km/h,ME - Men Elite,195.8 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p2,24,1706,Stadion Śląski,Katowice,17,652,Sprint of large group,
4,dauphine/2020/stage-1,12 August 2020,10:55,40.01 km/h,ME - Men Elite,218.5 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p5,128,3575,Clermont-Ferrand,Saint-Christo-en-Jarez,2,1166,Sprint of large group,
5,tirreno-adriatico/2020/stage-1,07 September 2020,12:45,44.85 km/h,ME - Men Elite,133 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,21,948,Lido di Camaiore,Lido di Camaiore,12,740,Sprint of large group,
6,benelux-tour/2020/stage-1,29 September 2020,13:44,44.17 km/h,ME - Men Elite,132.1 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p1,0,286,Blankenberge,Ardooie,23,468,Sprint of large group,
7,tour-down-under/2020/stage-2,22 January 2020,11:00  (01:30 CET),39.26 km/h,ME - Men Elite,135.8 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,145,2486,Woodside,Stirling,39,514,Sprint of small group,
8,uae-tour/2020/stage-2,24 February 2020,12:20  (09:20 CET),39.03 km/h,ME - Men Elite,168 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p2,125,2770,Hatta,Hatta Dam,21,760,Sprint of large group,
9,paris-nice/2020/stage-2,09 March 2020,12:35,43.44 km/h,ME - Men Elite,166.5 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,19,1173,Chevreuse,Chalette-sur-Loing,6,1058,Sprint of small group,
10,tour-de-pologne/2020/stage-2,06 August 2020,15:05,44.12 km/h,ME - Men Elite,151.5 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p2,6,752,Opole,Zabrze,17,652,Sprint of large group,
11,dauphine/2020/stage-2,13 August 2020,13:00,36.87 km/h,ME - Men Elite,135 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p5,309,2878,Vienne,Col de Porte,2,1166,0.65 km solo,
12,tirreno-adriatico/2020/stage-2,08 September 2020,-,39.95 km/h,ME - Men Elite,201 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,25,1492,Camaiore,Follonica,12,740,Sprint of large group,
13,benelux-tour/2020/stage-2,30 September 2020,-,-,ME - Men Elite,10.9 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p1,,,Vlissingen,Vlissingen,23,468,Time Trial,
14,tour-down-under/2020/stage-3,23 January 2020,11:00  (01:30 CET),40.48 km/h,ME - Men Elite,131 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p3,164,2881,Unley,Paracombe,39,514,0.6 km solo,
15,uae-tour/2020/stage-3,25 February 2020,11:55  (08:55 CET),39.07 km/h,ME - Men Elite,184 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p5,157,1555,Al Qudra Cycle Track,Jebel Hafeet,21,760,5.2 km solo,
16,paris-nice/2020/stage-3,10 March 2020,11:20,36.44 km/h,ME - Men Elite,212.5 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,17,1787,Chalette-sur-Loing,La Châtre,6,1058,Sprint of large group,
17,tour-de-pologne/2020/stage-3,07 August 2020,11:25,39.97 km/h,ME - Men Elite,203.1 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p3,122,3311,Wadowice,Bielsko-Biała,17,652,Sprint of large group,
18,dauphine/2020/stage-3,14 August 2020,12:10,38.15 km/h,ME - Men Elite,157 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p5,308,3472,Corenc,Saint-Martin-de-Belleville,2,1166,65 km solo,
19,tirreno-adriatico/2020/stage-3,09 September 2020,10:40,40.72 km/h,ME - Men Elite,217 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p3,142,3108,Follonica,Saturnia,12,740,Sprint a deux,
20,benelux-tour/2020/stage-3,01 October 2020,13:06,45.68 km/h,ME - Men Elite,157 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p1,0,276,Aalter,Aalter,23,468,Sprint of large group,
21,tour-down-under/2020/stage-4,24 January 2020,11:00  (01:30 CET),43.84 km/h,ME - Men Elite,152.8 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,45,2001,Norwood,Murray Bridge,39,514,Sprint of large group,
22,uae-tour/2020/stage-4,26 February 2020,12:25  (09:25 CET),40.51 km/h,ME - Men Elite,173 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p1,1,541,Zabeel Park,Dubai City Walk,21,760,Sprint of large group,
23,paris-nice/2020/stage-4,11 March 2020,13:38,48.06 km/h,ME - Men Elite,15.1 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,19,225,Saint-Amand-Montrond,Saint-Amand-Montrond,6,1058,Time Trial,
24,tour-de-pologne/2020/stage-4,08 August 2020,14:50,38.89 km/h,ME - Men Elite,152.9 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p3,176,3026,Bukovina Resort,Bukowina Tatrzańska,17,652,52 km solo,
25,dauphine/2020/stage-4,15 August 2020,12:00,33.25 km/h,ME - Men Elite,148.5 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p5,322,4669,Ugine,Megève,2,1166,4.5 km solo,
26,tirreno-adriatico/2020/stage-4,10 September 2020,11:00,40.65 km/h,ME - Men Elite,194 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p4,175,3285,Terni,Cascia,12,740,Sprint a deux,
27,benelux-tour/2020/stage-4,02 October 2020,13:55,48.92 km/h,ME - Men Elite,8.14 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p1,11,178,Riemst,Riemst,23,468,Time Trial,
28,tour-down-under/2020/stage-5,25 January 2020,10:40  (01:10 CET),42.05 km/h,ME - Men Elite,149.1 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,71,2050,Glenelg,Victor Harbor,39,514,Sprint of large group,
29,uae-tour/2020/stage-5,27 February 2020,12:30  (09:30 CET),42.47 km/h,ME - Men Elite,162 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p5,152,1408,Al Ain,Jebel Hafeet,21,760,Sprint of small group,
30,paris-nice/2020/stage-5,12 March 2020,11:00,42.83 km/h,ME - Men Elite,227 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p4,62,2681,Gannat,La Côte-Saint-André,6,1058,Sprint of large group,
31,tour-de-pologne/2020/stage-5,09 August 2020,14:15,41.57 km/h,ME - Men Elite,188 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p2,56,2196,Zakopane,Kraków,17,652,Sprint of large group,
32,dauphine/2020/stage-5,16 August 2020,12:20,35.83 km/h,ME - Men Elite,142.5 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p5,310,4391,Megève,Megève,2,1166,8.8 km solo,
33,tirreno-adriatico/2020/stage-5,11 September 2020,10:30,36.65 km/h,ME - Men Elite,202 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p5,315,4429,Norcia,Sassotetto,12,740,4.4 km solo,
