,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,uae-tour/2021/stage-1,21 February 2021,12:30  (09:30 CET),46.77 km/h,ME - Men Elite,176 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p1,3,436,Al Dhafra Castle,Al Mirfa,10,755,Sprint of large group,
1,paris-nice/2021/stage-1,07 March 2021,13:05,42.95 km/h,ME - Men Elite,165.8 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,49,1525,Saint-Cyr-L'École,Saint-Cyr-L'École,4,1043,Sprint of large group,
2,tirreno-adriatico/2021/stage-1,10 March 2021,12:35,43.28 km/h,ME - Men Elite,156 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,24,1032,Lido di Camaiore,Lido di Camaiore,4,1107,Sprint of large group,
3,volta-a-catalunya/2021/stage-1,22 March 2021,12:35,41.13 km/h,ME - Men Elite,178.4 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p4,97,2819,Calella,Calella,10,769,Sprint of small group,
4,itzulia-basque-country/2021/stage-1,05 April 2021,14:03,48.22 km/h,ME - Men Elite,13.89 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p3,34,318,Bilbao,Bilbao,7,936,Time Trial,
5,tour-de-romandie/2021/stage-1,28 April 2021,13:15,39.918 km/h,ME - Men Elite,168.1 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,94,1981,Aigle,Martigny,28,560,Sprint of large group,
6,dauphine/2021/stage-1,30 May 2021,12:30,43.115 km/h,ME - Men Elite,181.8 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,82,2308,Issoire,Issoire,15,791,16.6 km solo,
7,tour-de-suisse/2021/stage-1,06 June 2021,14:17,54.5 km/h,ME - Men Elite,10.9 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,0,36,Frauenfeld,Frauenfeld,21,676,Time Trial,
8,tour-de-pologne/2021/stage-1,09 August 2021,13:30,43.079 km/h,ME - Men Elite,216.4 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p3,11,1522,Lublin,Chełm,39,440,Sprint of large group,
9,benelux-tour/2021/stage-1,30 August 2021,13:10,47.925 km/h,ME - Men Elite,169.6 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p1,0,87,Surhuisterveen,Dokkum,24,652,Sprint of small group,19 °C
