,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,uae-tour/2022/stage-1,20 February 2022,12:15  (09:15 CET),39.07 km/h,ME - Men Elite,184 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p1,20,1303,Madinat Zayed,Madinat Zayed,33,623,Sprint of large group,
1,paris-nice/2022/stage-1,06 March 2022,13:10,41.936 km/h,ME - Men Elite,159.8 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,56,1723,Mantes-la-Ville,Mantes-la-Ville,3,1155,Other,
2,tirreno-adriatico/2022/stage-1,07 March 2022,14:10,54.569 km/h,ME - Men Elite,13.9 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,0,4,Lido di Camaiore,Lido di Camaiore,10,1059,Time Trial,
3,volta-a-catalunya/2022/stage-1,21 March 2022,12:55,45.215 km/h,ME - Men Elite,171.2 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p3,58,1688,Sant Feliu de Guíxols,Sant Feliu de Guíxols,21,722,Sprint of large group,
4,itzulia-basque-country/2022/stage-1,04 April 2022,14:26,45.98 km/h,ME - Men Elite,7.51 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p2,7,100,Hondarribia,Hondarribia,19,741,Time Trial,
5,tour-de-romandie/2022/stage-1,27 April 2022,13:00,40.46 km/h,ME - Men Elite,178 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p3,115,2729,La Grande Beroche,Romont,34,508,Other,15 °C
6,dauphine/2022/stage-1,05 June 2022,10:20,41.468 km/h,ME - Men Elite,191.8 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p4,74,2473,La Voulte-sur-Rhône,Beauchastel,13,774,Sprint of large group,25 °C
7,tour-de-suisse/2022/stage-1,12 June 2022,13:00,41.487 km/h,ME - Men Elite,177.6 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,135,2746,Küsnacht,Küsnacht,14,733,Sprint of small group,29 °C
8,tour-de-pologne/2022/stage-1,30 July 2022,11:40,41.281 km/h,ME - Men Elite,218.8 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p1,10,1231,Kielce,Lublin,37,466,Sprint of large group,24 °C
9,uae-tour/2022/stage-2,21 February 2022,12:30  (09:30 CET),40.499 km/h,ME - Men Elite,176 km,2.WT.Stage,UCI.WR.C3.Stage - TM2022,p1,1,337,Hudayriyat Island,Abu Dhabi Breakwater,33,623,Sprint of large group,
10,paris-nice/2022/stage-2,07 March 2022,12:25,47.077 km/h,ME - Men Elite,159.2 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p1,8,707,Auffargis,Orléans,3,1155,Sprint of large group,
11,tirreno-adriatico/2022/stage-2,08 March 2022,11:50,40.383 km/h,ME - Men Elite,219 km,2.WT.Stage,UCI.WR.C1.Stage - TM2022,p2,70,2144,Camaiore,Sovicille,10,1059,Sprint of large group,
12,volta-a-catalunya/2022/stage-2,22 March 2022,12:10,42.69 km/h,ME - Men Elite,202.4 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p2,57,2166,L'Escala,Perpignan,21,722,Sprint of large group,
13,itzulia-basque-country/2022/stage-2,05 April 2022,12:18,40.96 km/h,ME - Men Elite,207.92 km,2.WT.Stage,UCI.WR.C2.Stage - TM2022,p2,77,2625,Leitza,Viana,19,741,Sprint of large group,11 °C
