,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,great-ocean-race/2019,27 January 2019,01:10,41.95 km/h,ME - Men Elite,164 km,1.WT.B,UCI.WR.C3,p0,114,2018,Geelong,Geelong,0,387,Sprint of large group,
1,omloop-het-nieuwsblad/2019,02 March 2019,11:45,40.916 km/h,ME - Men Elite,200 km,1.WT.B,UCI.WR.C3,p2,47,1653,Gent,Ninove,0,743,2.5 km solo,
2,strade-bianche/2019,09 March 2019,10:45,38.436 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C3,p3,151,2993,Siena,Siena,0,686,Sprint a deux,
3,milano-sanremo/2019,23 March 2019,10:10,43.625 km/h,ME - Men Elite,291 km,1.WT.A,UCI.WR.C1,p2,60,2060,Milano,Sanremo,0,1137,Sprint of small group,
4,oxyclean-classic-brugge-de-panne/2019,27 March 2019,11:45,43.459 km/h,ME - Men Elite,200.3 km,1.WT.B,UCI.WR.C3,p1,5,647,Brugge,De Panne,0,461,Sprint of large group,
5,e3-harelbeke/2019,29 March 2019,12:21,42.785 km/h,ME - Men Elite,204 km,1.WT.B,UCI.WR.C2,p2,79,2619,Harelbeke,Harelbeke,0,758,Sprint of small group,
6,gent-wevelgem/2019,31 March 2019,11:15  (13:15 CET),45.901 km/h,ME - Men Elite,249.5 km,1.WT.B,UCI.WR.C1,p2,37,1511,Deinze,Wevelgem,0,869,Sprint of large group,
7,dwars-door-vlaanderen/2019,03 April 2019,12:25  (14:25 CET),44.55 km/h,ME - Men Elite,182.6 km,1.WT.B,UCI.WR.C3,p2,47,1213,Roeselare,Waregem,0,676,Sprint of small group,
8,ronde-van-vlaanderen/2019,07 April 2019,10:45  (12:45 CET),42.29 km/h,ME - Men Elite,267 km,1.WT.A,UCI.WR.C1,p2,72,2164,Antwerp,Oudenaarde,0,880,17 km solo,
9,paris-roubaix/2019,14 April 2019,11:15  (13:15 CET),43.069 km/h,ME - Men Elite,257 km,1.WT.A,UCI.WR.C1,p1,5,1334,Compiègne,Roubaix,0,695,Sprint a deux,
10,amstel-gold-race/2019,21 April 2019,10:35  (12:35 CET),41.056 km/h,ME - Men Elite,265.7 km,1.WT.B,UCI.WR.C1,p2,108,3536,Maastricht,Berg en Terblijt,0,1041,Sprint of small group,
11,la-fleche-wallone/2019,24 April 2019,11:15  (13:15 CET),39.63 km/h,ME - Men Elite,195 km,1.WT.B,UCI.WR.C2,p3,179,2930,Ans,Mur de Huy,0,1026,Sprint a deux,
12,liege-bastogne-liege/2019,28 April 2019,10:10  (12:10 CET),38.63 km/h,ME - Men Elite,256 km,1.WT.A,UCI.WR.C1,p2,158,4075,Liège,Liège,0,1103,13 km solo,
13,eschborn-frankfurt/2019,01 May 2019,12:16  (14:16 CET),42.678 km/h,ME - Men Elite,187.5 km,1.WT.B,UCI.WR.C3,p2,89,2660,Eschborn,Frankfurt am Main,0,470,Sprint of large group,
14,san-sebastian/2019,03 August 2019,11:49  (13:49 CET),39.594 km/h,ME - Men Elite,227.3 km,1.WT.B,UCI.WR.C2,p2,188,3980,San Sebastian,San Sebastian,0,788,8.8 km solo,
15,ride-london-classic/2019,04 August 2019,15:10  (17:10 CET),44.287 km/h,ME - Men Elite,167 km,1.WT.B,UCI.WR.C3,p2,39,1679,London,London,0,516,Sprint of small group,
