,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,great-ocean-race/2023,29 January 2023,11:13  (01:13 CET),40.982 km/h,ME - Men Elite,174.3 km,1.WT.B,UCI.WR.C3,p4,88,1685,Geelong,Geelong,54,386,Sprint of large group,
1,omloop-het-nieuwsblad/2023,25 February 2023,11:15,42.189 km/h,ME - Men Elite,207.3 km,1.WT.B,UCI.WR.C3,p2,52,1616,Ghent,Ninove,26,677,16.5 km solo,7 °C
2,strade-bianche/2023,04 March 2023,11:45,40.636 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C2,p3,168,3107,Siena,Siena,25,685,23.3 km solo,13 °C
3,gp-de-valence/2023,22 January 2023,12:00,40.517 km/h,ME - Men Elite,190 km,1.1,UCI.WR.1,p2,88,2111,Valencia,La Nucía,119,199,Sprint of large group,10 °C
4,trofeo-calvia/2023,25 January 2023,12:10,37.593 km/h,ME - Men Elite,150.1 km,1.1,UCI.WR.1,p2,149,3154,Palmanova,Palmanova,81,300,Sprint of small group,9 °C
5,trofeo-alcudia/2023,26 January 2023,12:20,43.748 km/h,ME - Men Elite,158.6 km,1.1,UCI.WR.1,p2,55,1410,Ses Salines,Alcúdia,87,293,Sprint of large group,10 °C
6,trofeo-andratx-mirador-d-es-colomer/2023,27 January 2023,11:55,39.085 km/h,ME - Men Elite,160.9 km,1.1,UCI.WR.1,p3,146,3281,Andratx,Coll de la Creueta,71,332,23.9 km solo,6 °C
7,deia-trophy/2023,28 January 2023,12:15,42.212 km/h,ME - Men Elite,123.2 km,1.1,UCI.WR.1,p2,184,2601,Lloseta,Lloseta,81,300,4.1 km solo,7 °C
8,gp-d-ouverture/2023,29 January 2023,12:15,38.84 km/h,ME - Men Elite,167.8 km,1.1,UCI.WR.1,p2,136,2910,Marseille,Septèmes-les-Vallons,95,262,13 km solo,8 °C
9,trofeo-palma/2023,29 January 2023,10:35,42.92 km/h,ME - Men Elite,141.6 km,1.1,UCI.WR.1,p2,10,944,Palma,Palma,92,274,Sprint of large group,9 °C
10,vuelta-ciclista-a-la-region-de-murcia/2023,11 February 2023,12:40,41.55 km/h,ME - Men Elite,183.5 km,1.1,UCI.WR.1,p4,98,2574,San Javier,Cartagena,83,297,Sprint of small group,10 °C
11,figueira-champions-classic/2023,12 February 2023,09:55  (10:55 CET),41.319 km/h,ME - Men Elite,190 km,1.1,UCI.WR.1,p2,108,2141,São Pedro,Figueira da Foz,146,135,Sprint of small group,13 °C
12,clasica-jaen-paraiso-interior/2023,13 February 2023,12:35,38.795 km/h,ME - Men Elite,178.9 km,1.1,UCI.WR.1,p2,89,2704,Úbeda,Baeza,96,266,36.5 km solo,16 °C
13,gp-samyn/2023,28 February 2023,12:25,43.321 km/h,ME - Men Elite,209 km,1.1,UCI.WR.1,p3,10,1533,Quaregnon,Dour,126,180,Sprint of large group,4 °C
14,grand-prix-criquielion/2023,04 March 2023,12:35,42.51 km/h,ME - Men Elite,201 km,1.1,UCI.WR.1,p1,71,2245,Ath,Lessines,154,124,? - let us know!,7 °C
15,clasica-de-almeria/2023,12 February 2023,12:30,40.308 km/h,ME - Men Elite,190.3 km,1.PRO,UCI.WR.Pro,p2,31,1741,Puebla de Vícar,Roquetas de Mar,62,363,Sprint of large group,16 °C
16,faun-ardeche-classic/2023,25 February 2023,11:29,38.465 km/h,ME - Men Elite,168.5 km,1.PRO,UCI.WR.Pro,p2,209,3161,Guilherand-Granges,Guilherand-Granges,49,415,Sprint a deux,8 °C
17,la-drome-classic/2023,26 February 2023,11:11,38.631 km/h,ME - Men Elite,191.5 km,1.PRO,UCI.WR.Pro,p3,127,2371,Étoile-sur-Rhône,Étoile-sur-Rhône,42,469,38.3 km solo,5 °C
18,kuurne-brussel-kuurne/2023,26 February 2023,12:19,42.53 km/h,ME - Men Elite,193.1 km,1.PRO,UCI.WR.Pro,p2,43,1828,Kuurne,Kuurne,30,626,0.6 km solo,5 °C
19,trofeo-laigueglia/2023,01 March 2023,11:00,39.155 km/h,ME - Men Elite,201.3 km,1.PRO,UCI.WR.Pro,p2,153,2973,Laigueglia,Laigueglia,92,279,30 km solo,8 °C
