,race_code,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,omloop-het-nieuwsblad/2021,27 February 2021,11:20,42.5 km/h,ME - Men Elite,200.5 km,1.WT.B,UCI.WR.C3,p2,47,1654,Ghent,Ninove,20,647,Sprint of large group,
1,strade-bianche/2021,06 March 2021,11:45,39.36 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C3,p3,159,3072,Siena,Siena,7,827,0.5 km solo,
2,milano-sanremo/2021,20 March 2021,10:00,45.06 km/h,ME - Men Elite,299 km,1.WT.A,UCI.WR.C1,p2,59,2020,Milano,Sanremo,5,1088,Sprint a deux,
3,oxyclean-classic-brugge-de-panne/2021,24 March 2021,12:15,45.71 km/h,ME - Men Elite,203.9 km,1.WT.B,UCI.WR.C3,p1,0,234,Brugge,De Panne,29,489,Sprint of large group,
4,e3-harelbeke/2021,26 March 2021,12:15,43.24 km/h,ME - Men Elite,203.9 km,1.WT.B,UCI.WR.C2,p2,59,2000,Harelbeke,Harelbeke,13,714,5 km solo,
5,gent-wevelgem/2021,28 March 2021,10:15  (11:15 CET),43.46 km/h,ME - Men Elite,250 km,1.WT.B,UCI.WR.C1,p2,36,1425,Ypres,Wevelgem,10,797,Sprint of small group,
6,dwars-door-vlaanderen/2021,31 March 2021,12:25,46.22 km/h,ME - Men Elite,184.1 km,1.WT.B,UCI.WR.C3,p2,55,1446,Roeselare,Waregem,9,820,58 km solo,
7,ronde-van-vlaanderen/2021,04 April 2021,10:18,42.13 km/h,ME - Men Elite,254.3 km,1.WT.A,UCI.WR.C1,p2,81,2198,Antwerp,Oudenaarde,7,872,Sprint a deux,
8,amstel-gold-race/2021,18 April 2021,12:11,43.218 km/h,ME - Men Elite,218.6 km,1.WT.B,UCI.WR.C1,p2,81,2893,Valkenburg,Berg en Terblijt,6,1088,Sprint of small group,
9,la-fleche-wallone/2021,21 April 2021,11:35,42.024 km/h,ME - Men Elite,193.6 km,1.WT.B,UCI.WR.C2,p3,158,2981,Charleroi,Mur de Huy,7,1068,Sprint a deux,
10,liege-bastogne-liege/2021,25 April 2021,10:15,38.92 km/h,ME - Men Elite,259.1 km,1.WT.A,UCI.WR.C1,p2,181,4352,Liège,Liège,4,1144,Sprint of small group,
11,san-sebastian/2021,31 July 2021,11:54,40.088 km/h,ME - Men Elite,223.5 km,1.WT.B,UCI.WR.C2,p2,225,4113,San Sebastián,San Sebastián,27,645,Sprint of small group,
12,bretagne-classic/2021,29 August 2021,10:45,41.841 km/h,ME - Men Elite,251 km,1.WT.B,UCI.WR.C2,p2,116,3695,Plouay,Plouay,23,653,Sprint a deux,21 °C
13,eschborn-frankfurt/2021,19 September 2021,13:26,41.947 km/h,ME - Men Elite,187.4 km,1.WT.B,UCI.WR.C3,p2,89,2657,Eschborn,Frankfurt-am-Main,41,430,Sprint of large group,18 °C
14,paris-roubaix/2021,03 October 2021,11:15,42.719 km/h,ME - Men Elite,257.7 km,1.WT.A,UCI.WR.C1,p1,5,1360,Compiègne,Roubaix,11,984,Sprint of small group,13 °C
15,il-lombardia/2021,09 October 2021,10:30,39.652 km/h,ME - Men Elite,239 km,1.WT.A,UCI.WR.C1,p2,210,4659,Como,Bergamo,8,1069,Sprint a deux,13 °C
16,world-championships-itt-u23/2021,20 September 2021,10:40  (09:40 CET),52.721 km/h,MU - Men U23,30.3 km,UCI.WO.u23.TT,UCI.WR.WO.U23.TT,p1,0,27,Knokke-Heist,Bruges,179,28,Time Trial,
