,team_name,circuit,country,team_code,bike,groupset,wheels,saddle,tyres,pedals,powermeter,sunglasses,helmets,shoes,bartape,kit,sports_nutrition,cycling_computer,hometrainer,team_code_2023_x,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat,team_code_2023_y,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb,team_code_2023_x,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial,team_code_2023_y,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,avg_rnk_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc,team_code_2023_x,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day,team_code_2023_y,nb_dnf_otl,pct_dnf_otl
10,team jayco alula,worldteams,australia,team-jayco-alula-2023,giant,shimano,cadex,giant,cadex,shimano,shimano,scicon,giant,,giant,alé,,garmin,,team-jayco-alula-2023,1112.0,5.0,22.0,81.0,2870.0,76.1071779744346,0.0044964028776978,0.0197841726618705,0.072841726618705,2.5809352517985613,team-jayco-alula-2023,2732.0,19.0,67.0,191.0,8199.0,73.65040650406505,0.0069546120058565,0.024524158125915,0.0699121522693997,3.001098096632504,team-jayco-alula-2023,314.0,3.0,5.0,19.0,413.0,69.08626198083067,0.0095541401273885,0.0159235668789808,0.0605095541401273,1.3152866242038217,team-jayco-alula-2023,266.0,1.0,6.0,22.0,6660.0,27.295081967213115,0.0037593984962406,0.0225563909774436,0.0827067669172932,25.03759398496241,team-jayco-alula-2023,917.0,3.0,21.0,62.0,6190.0,60.742990654205606,0.0032715376226826,0.0229007633587786,0.0676117775354416,6.750272628135224,team-jayco-alula-2023,314.0,0.0755170755170755
11,team dsm,worldteams,netherlands,team-dsm-2023,scott,shimano,shimano,syncros,vittoria,shimano,shimano,driive,scott,,syncros,nalini,,wahoo,,team-dsm-2023,1212.0,5.0,25.0,82.0,3279.0,70.67485822306239,0.0041254125412541,0.0206270627062706,0.0676567656765676,2.7054455445544554,team-dsm-2023,2605.0,19.0,52.0,182.0,7700.0,73.79182630906769,0.0072936660268714,0.019961612284069,0.0698656429942418,2.9558541266794625,team-dsm-2023,313.0,2.0,7.0,26.0,442.0,61.51132686084142,0.0063897763578274,0.0223642172523961,0.0830670926517571,1.412140575079872,team-dsm-2023,262.0,0.0,2.0,22.0,5749.0,23.954166666666666,0.0,0.0076335877862595,0.0839694656488549,21.94274809160305,team-dsm-2023,891.0,7.0,19.0,50.0,6074.0,56.33561643835616,0.0078563411896745,0.0213243546576879,0.0561167227833894,6.81705948372615,team-dsm-2023,358.0,0.086682808716707
12,trek - segafredo,worldteams,usa,trek-segafredo-2023,trek,sram,bontrager,bontrager,pirelli,time,quarq,100%,bontrager,bontrager,bontrager,santini,enervit,wahoo,wahoo,trek-segafredo-2023,1223.0,6.0,28.0,111.0,4440.0,71.44424297370807,0.0049059689288634,0.0228945216680294,0.0907604251839738,3.6304170073589535,trek-segafredo-2023,2910.0,11.0,44.0,199.0,9214.0,69.72251705837756,0.0037800687285223,0.0151202749140893,0.0683848797250859,3.1663230240549827,trek-segafredo-2023,323.0,0.0,2.0,11.0,235.0,81.14906832298136,0.0,0.0061919504643962,0.0340557275541795,0.7275541795665634,trek-segafredo-2023,282.0,0.0,2.0,11.0,5407.0,20.637404580152676,0.0,0.0070921985815602,0.0390070921985815,19.173758865248228,trek-segafredo-2023,1113.0,8.0,24.0,105.0,9316.0,55.19416243654823,0.0071877807726864,0.0215633423180593,0.0943396226415094,8.370170709793351,trek-segafredo-2023,358.0,0.0803411131059246
13,ag2r citroen team,worldteams,france,ag2r-citroen-team-2023,bmc,campagnolo,campagnolo,fizik,pirelli,look,power2max,smith,hjc sports,,,rosti,,wahoo,elite,ag2r-citroen-team-2023,1171.0,1.0,8.0,60.0,2836.0,65.37235023041475,0.0008539709649871,0.0068317677198975,0.0512382578992314,2.421861656703672,ag2r-citroen-team-2023,2944.0,18.0,53.0,226.0,10238.0,60.89398385913426,0.0061141304347826,0.0180027173913043,0.076766304347826,3.4775815217391304,ag2r-citroen-team-2023,327.0,0.0,0.0,3.0,36.0,79.03426791277259,0.0,0.0,0.0091743119266055,0.110091743119266,ag2r-citroen-team-2023,269.0,0.0,2.0,16.0,5694.0,22.2421875,0.0,0.0074349442379182,0.0594795539033457,21.16728624535316,ag2r-citroen-team-2023,1247.0,11.0,37.0,148.0,10633.0,45.08151093439364,0.0088211708099438,0.0296712109061748,0.1186848436246992,8.526864474739375,ag2r-citroen-team-2023,272.0,0.0612336785231877
14,uae team emirates,worldteams,uae,uae-team-emirates-2023,colnago,shimano,enve,prologo,continental,,shimano,scicon,met,,,pissei,,wahoo,,uae-team-emirates-2023,1265.0,10.0,42.0,116.0,4840.0,65.56830122591944,0.0079051383399209,0.0332015810276679,0.091699604743083,3.8260869565217392,uae-team-emirates-2023,3082.0,52.0,140.0,352.0,15974.0,65.87394340316061,0.0168721609344581,0.045425048669695,0.1142115509409474,5.1829980532122,uae-team-emirates-2023,320.0,2.0,9.0,29.0,681.0,69.36477987421384,0.00625,0.028125,0.090625,2.128125,uae-team-emirates-2023,284.0,8.0,18.0,36.0,10668.0,39.80597014925373,0.028169014084507,0.0633802816901408,0.1267605633802817,37.563380281690144,uae-team-emirates-2023,1289.0,24.0,70.0,161.0,13236.0,49.07709750566893,0.0186190845616757,0.0543056633048875,0.1249030256012412,10.268425135764158,uae-team-emirates-2023,420.0,0.0899935718877223
15,alpecin-deceuninck,worldteams,belgium,alpecin-deceuninck-2023,canyon,shimano,shimano,selle italia,vittoria,,,oakley,,,,kalas,4gold,wahoo,,alpecin-deceuninck-2023,1025.0,30.0,63.0,115.0,7468.0,63.59275521405049,0.0292682926829268,0.0614634146341463,0.1121951219512195,7.285853658536586,alpecin-deceuninck-2023,1370.0,21.0,39.0,94.0,6660.0,78.5612582781457,0.0153284671532846,0.0284671532846715,0.0686131386861313,4.861313868613139,alpecin-deceuninck-2023,146.0,0.0,2.0,5.0,150.0,95.93333333333334,0.0,0.0136986301369863,0.0342465753424657,1.0273972602739727,alpecin-deceuninck-2023,95.0,0.0,0.0,1.0,1298.0,14.108695652173912,0.0,0.0,0.0105263157894736,13.663157894736845,alpecin-deceuninck-2023,1111.0,29.0,60.0,127.0,11070.0,50.89269406392694,0.0261026102610261,0.054005400540054,0.1143114311431143,9.963996399639964,alpecin-deceuninck-2023,246.0,0.0965463108320251
16,astana qazaqstan team,worldteams,kazakhstan,astana-qazaqstan-team-2023,wilier triestina,shimano,corima,prologo,vittoria,look,shimano,scicon,limar,,prologo,giordana,namedsport,garmin,tacx,astana-qazaqstan-team-2023,1066.0,0.0,3.0,23.0,943.0,76.66115702479338,0.0,0.0028142589118198,0.0215759849906191,0.8846153846153846,astana-qazaqstan-team-2023,2880.0,23.0,62.0,205.0,8355.0,60.70800933125972,0.0079861111111111,0.0215277777777777,0.0711805555555555,2.9010416666666665,astana-qazaqstan-team-2023,320.0,1.0,3.0,20.0,286.0,58.92356687898089,0.003125,0.009375,0.0625,0.89375,astana-qazaqstan-team-2023,290.0,3.0,9.0,28.0,8370.0,31.58490566037736,0.0103448275862068,0.0310344827586206,0.096551724137931,28.86206896551724,astana-qazaqstan-team-2023,889.0,8.0,17.0,49.0,5625.0,55.34704830053667,0.0089988751406074,0.0191226096737907,0.0551181102362204,6.327334083239595,astana-qazaqstan-team-2023,365.0,0.0855602437880918
17,bahrain - victorious,worldteams,bahrain,bahrain-victorious-2023,merida,shimano,vision,prologo,continental,fsa,,rudy project,rudy project,,,alé,neversecond,garmin,elite,bahrain-victorious-2023,974.0,6.0,18.0,75.0,2994.0,73.42400881057269,0.0061601642710472,0.0184804928131416,0.0770020533880903,3.0739219712525667,bahrain-victorious-2023,2615.0,27.0,81.0,266.0,10429.0,65.48223986627664,0.0103250478011472,0.0309751434034416,0.1017208413001912,3.988145315487572,bahrain-victorious-2023,311.0,1.0,5.0,23.0,358.0,67.01290322580645,0.0032154340836012,0.0160771704180064,0.0739549839228295,1.1511254019292605,bahrain-victorious-2023,275.0,1.0,14.0,41.0,10508.0,40.57142857142857,0.0036363636363636,0.0509090909090909,0.149090909090909,38.21090909090909,bahrain-victorious-2023,661.0,5.0,14.0,66.0,7334.0,49.84409799554566,0.0075642965204236,0.021180030257186,0.0998487140695915,11.095310136157336,bahrain-victorious-2023,247.0,0.0633333333333333
18,bingoal wb,proteams,belgium,bingoal-wb-2023,de rosa,rotor,ursus,repente,hutchinson,look,rotor,,spiuk,,,vermarc,supq,bryton,elite,bingoal-wb-2023,691.0,1.0,2.0,38.0,2147.0,62.56983240223464,0.0014471780028943,0.0028943560057887,0.0549927641099855,3.1070911722141825,bingoal-wb-2023,573.0,0.0,3.0,17.0,1232.0,59.25067385444744,0.0,0.0052356020942408,0.0296684118673647,2.150087260034904,bingoal-wb-2023,12.0,0.0,0.0,0.0,2.0,116.91666666666669,0.0,0.0,0.0,0.1666666666666666,bingoal-wb-2023,10.0,0.0,0.0,0.0,45.0,5.0,0.0,0.0,0.0,4.5,bingoal-wb-2023,1189.0,1.0,5.0,54.0,3376.0,59.41408114558472,0.0008410428931875,0.0042052144659377,0.0454163162321278,2.8393608074011776,bingoal-wb-2023,349.0,0.2720187061574435
19,bolton equities black spoke,proteams,australia,bolton-equities-black-spoke-2023,pinarello,shimano,,pro,vittoria,shimano,,100%,lazer,,pro,doltcini,,wahoo,wahoo,bolton-equities-black-spoke-2023,96.0,0.0,0.0,1.0,49.0,61.19672131147541,0.0,0.0,0.0104166666666666,0.5104166666666666,bolton-equities-black-spoke-2023,60.0,0.0,0.0,1.0,110.0,52.4054054054054,0.0,0.0,0.0166666666666666,1.8333333333333333,bolton-equities-black-spoke-2023,1.0,0.0,0.0,1.0,32.0,4.0,0.0,0.0,1.0,32.0,,,,,,,,,,,,bolton-equities-black-spoke-2023,156.0,0.0,0.0,2.0,159.0,57.87755102040816,0.0,0.0,0.0128205128205128,1.0192307692307692,bolton-equities-black-spoke-2023,59.0,0.3597560975609756
