,rider_code,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb
503,matteo-badilatti,97,0,0,1,36.0,67.12765957446808,0.0,0.0,0.010309278350515464,0.3711340206185567
504,anton-palzer,51,0,0,0,0.0,69.76086956521739,0.0,0.0,0.0,0.0
505,thymen-arensman,96,1,4,11,318.0,53.03225806451613,0.010416666666666666,0.041666666666666664,0.11458333333333333,3.3125
506,joel-suter,35,0,1,2,84.0,83.64,0.0,0.02857142857142857,0.05714285714285714,2.4
507,hugo-hofstetter,80,0,1,13,390.0,85.54794520547945,0.0,0.0125,0.1625,4.875
508,nickolas-zukowsky,28,0,0,1,58.0,77.27272727272727,0.0,0.0,0.03571428571428571,2.0714285714285716
509,floris-de-tier,75,0,0,1,111.0,74.40625,0.0,0.0,0.013333333333333334,1.48
510,matthew-walls,22,0,0,0,14.0,119.3076923076923,0.0,0.0,0.0,0.6363636363636364
511,tobias-ludvigsson,102,0,0,1,44.0,80.90217391304348,0.0,0.0,0.00980392156862745,0.43137254901960786
512,michael-hepburn,111,0,0,0,25.0,105.75490196078431,0.0,0.0,0.0,0.22522522522522523
513,jay-vine,46,2,6,8,332.0,77.3157894736842,0.043478260869565216,0.13043478260869565,0.17391304347826086,7.217391304347826
514,magnus-sheffield,22,1,1,2,175.0,54.8,0.045454545454545456,0.045454545454545456,0.09090909090909091,7.954545454545454
515,sebastian-berwick,52,0,0,0,10.0,91.4390243902439,0.0,0.0,0.0,0.19230769230769232
516,natnael-tesfatsion,70,0,1,7,272.0,63.88135593220339,0.0,0.014285714285714285,0.1,3.8857142857142857
517,marius-mayrhofer,11,1,1,1,230.0,70.71428571428571,0.09090909090909091,0.09090909090909091,0.09090909090909091,20.90909090909091
518,reuben-thompson,8,0,0,0,0.0,45.42857142857143,0.0,0.0,0.0,0.0
519,milan-vader,9,0,0,1,13.0,35.75,0.0,0.0,0.1111111111111111,1.4444444444444444
520,alex-baudin,8,0,0,0,24.0,31.125,0.0,0.0,0.0,3.0
521,corbin-strong,23,0,1,5,259.0,43.9375,0.0,0.043478260869565216,0.21739130434782608,11.26086956521739
522,paul-penhoet,12,0,0,2,31.0,28.444444444444443,0.0,0.0,0.16666666666666666,2.5833333333333335
523,derek-gee,13,0,0,0,5.0,58.1,0.0,0.0,0.0,0.38461538461538464
524,kaden-groves,50,1,3,7,118.0,91.77777777777777,0.02,0.06,0.14,2.36
525,ivan-romeo,8,0,0,0,5.0,63.2,0.0,0.0,0.0,0.625
