,rider_code,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial
295,geraint-thomas,19,0,3,11,341.0,12.473684210526315,0.0,0.15789473684210525,0.5789473684210527,17.94736842105263
296,patrick-konrad,19,0,0,1,17.0,48.73684210526316,0.0,0.0,0.05263157894736842,0.8947368421052632
297,alex-aranburu,10,0,1,2,52.0,53.6,0.0,0.1,0.2,5.2
298,sergio-higuita,11,0,0,0,0.0,34.63636363636363,0.0,0.0,0.0,0.0
299,gonzalo-serrano,5,0,0,0,0.0,74.2,0.0,0.0,0.0,0.0
300,jasper-de-buyst,10,0,0,0,0.0,114.33333333333333,0.0,0.0,0.0,0.0
301,michal-kwiatkowski,13,0,2,3,56.0,58.38461538461539,0.0,0.15384615384615385,0.23076923076923078,4.3076923076923075
302,quinn-simmons,7,0,0,0,0.0,87.71428571428571,0.0,0.0,0.0,0.0
303,robert-stannard,10,0,0,0,0.0,91.4,0.0,0.0,0.0,0.0
304,hugo-hofstetter,7,0,0,0,0.0,109.71428571428571,0.0,0.0,0.0,0.0
305,timo-roosen,8,0,0,0,0.0,81.875,0.0,0.0,0.0,0.0
306,loic-vliegen,5,0,0,0,0.0,95.4,0.0,0.0,0.0,0.0
307,luka-mezgec,10,0,0,0,0.0,114.1,0.0,0.0,0.0,0.0
308,thibault-guernalec,5,0,0,0,0.0,23.0,0.0,0.0,0.0,0.0
309,kevin-ledanois,4,0,0,0,0.0,103.5,0.0,0.0,0.0,0.0
310,brent-van-moer,9,0,0,1,6.0,59.0,0.0,0.0,0.1111111111111111,0.6666666666666666
311,alfred-wright,12,0,0,1,22.0,33.916666666666664,0.0,0.0,0.08333333333333333,1.8333333333333333
312,laurent-pichon,5,0,0,0,0.0,53.2,0.0,0.0,0.0,0.0
313,kevin-geniets,12,0,0,0,0.0,40.083333333333336,0.0,0.0,0.0,0.0
314,ivo-emanuel-alves,7,0,0,0,10.0,65.42857142857143,0.0,0.0,0.0,1.4285714285714286
315,xandro-meurisse,11,0,0,0,0.0,37.27272727272727,0.0,0.0,0.0,0.0
316,emils-liepins,6,0,0,0,0.0,81.16666666666667,0.0,0.0,0.0,0.0
317,adrien-petit,7,0,0,0,0.0,92.14285714285714,0.0,0.0,0.0,0.0
318,tim-merlier,6,0,0,0,0.0,117.0,0.0,0.0,0.0,0.0
319,niccolo-bonifazio,5,0,0,0,0.0,136.4,0.0,0.0,0.0,0.0
320,lorrenzo-manzin,4,0,0,0,0.0,110.25,0.0,0.0,0.0,0.0
321,mark-padun,15,0,0,1,1.0,89.33333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667
322,frederik-frison,7,0,0,0,0.0,101.57142857142857,0.0,0.0,0.0,0.0
323,ryan-mullen,12,0,0,0,30.0,47.166666666666664,0.0,0.0,0.0,2.5
324,matteo-malucelli,2,0,0,0,0.0,138.0,0.0,0.0,0.0,0.0
325,thomas-scully,11,0,0,5,66.0,28.0,0.0,0.0,0.45454545454545453,6.0
326,davide-martinelli,6,0,0,0,0.0,88.33333333333333,0.0,0.0,0.0,0.0
327,david-gaudu,15,0,0,0,0.0,48.6,0.0,0.0,0.0,0.0
328,steven-kruijswijk,15,0,0,5,69.0,34.6,0.0,0.0,0.3333333333333333,4.6
329,michael-woods,14,0,0,0,0.0,78.85714285714286,0.0,0.0,0.0,0.0
330,sebastien-reichenbach,11,0,0,0,0.0,57.81818181818182,0.0,0.0,0.0,0.0
331,julien-bernard,17,0,0,0,0.0,82.47058823529412,0.0,0.0,0.0,0.0
332,niklas-eg,9,0,0,0,0.0,67.55555555555556,0.0,0.0,0.0,0.0
333,dylan-van-baarle,17,0,0,4,40.0,35.94117647058823,0.0,0.0,0.23529411764705882,2.3529411764705883
334,louis-meintjes,18,0,0,0,0.0,71.66666666666667,0.0,0.0,0.0,0.0
335,hermann-pernsteiner,12,0,0,0,0.0,55.666666666666664,0.0,0.0,0.0,0.0
336,tsgabu-gebremaryam-grmay,16,0,0,0,0.0,98.33333333333333,0.0,0.0,0.0,0.0
337,roland-thalmann,6,0,0,0,0.0,81.83333333333333,0.0,0.0,0.0,0.0
338,jonas-gregaard,9,0,0,0,0.0,88.0,0.0,0.0,0.0,0.0
339,kenny-elissonde,16,0,0,0,0.0,105.5,0.0,0.0,0.0,0.0
340,odd-christian-eiking,7,0,0,0,0.0,106.0,0.0,0.0,0.0,0.0
341,florian-stork,6,0,0,0,0.0,66.66666666666667,0.0,0.0,0.0,0.0
342,lennard-hofstede,9,0,0,0,0.0,116.77777777777777,0.0,0.0,0.0,0.0
343,jonas-vingegaard-rasmussen,13,0,4,8,220.0,21.692307692307693,0.0,0.3076923076923077,0.6153846153846154,16.923076923076923
344,remco-evenepoel,12,2,7,10,760.0,5.666666666666667,0.16666666666666666,0.5833333333333334,0.8333333333333334,63.333333333333336
345,shane-archbold,7,0,0,0,0.0,119.33333333333333,0.0,0.0,0.0,0.0
346,alexandr-riabushenko,8,0,0,0,10.0,86.625,0.0,0.0,0.0,1.25
347,florian-senechal,12,0,0,0,0.0,71.18181818181819,0.0,0.0,0.0,0.0
