,rider_code,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day
744,fabio-christen,14,0,0,0,0.0,57.166666666666664,0.0,0.0,0.0,0.0
745,ander-okamika,28,0,0,2,51.0,53.34782608695652,0.0,0.0,0.07142857142857142,1.8214285714285714
746,mason-hollyman,11,0,0,0,3.0,41.6,0.0,0.0,0.0,0.2727272727272727
747,oscar-pelegri,30,0,0,0,27.0,63.04761904761905,0.0,0.0,0.0,0.9
748,samuel-watson,14,0,0,1,67.0,51.0,0.0,0.0,0.07142857142857142,4.785714285714286
749,ethan-vernon,13,1,2,4,205.0,36.833333333333336,0.07692307692307693,0.15384615384615385,0.3076923076923077,15.76923076923077
750,enrico-zanoncello,13,0,0,0,17.0,63.166666666666664,0.0,0.0,0.0,1.3076923076923077
751,cory-greenberg,1,0,0,0,0.0,143.0,0.0,0.0,0.0,0.0
752,johan-meens,34,0,0,0,10.0,67.6470588235294,0.0,0.0,0.0,0.29411764705882354
753,louis-blouwe,31,0,0,0,22.0,58.95238095238095,0.0,0.0,0.0,0.7096774193548387
754,bailey-o-donnell,7,0,0,0,0.0,96.0,0.0,0.0,0.0,0.0
755,sindre-kulset,7,0,0,0,0.0,71.25,0.0,0.0,0.0,0.0
756,anton-palzer,21,0,0,0,0.0,61.4375,0.0,0.0,0.0,0.0
757,tom-sexton,20,0,0,0,5.0,62.333333333333336,0.0,0.0,0.0,0.25
758,cyrus-monk,21,0,0,0,0.0,70.93333333333334,0.0,0.0,0.0,0.0
759,declan-irvine,7,0,0,0,0.0,91.0,0.0,0.0,0.0,0.0
760,nathan-vandepitte,12,0,0,1,29.0,58.666666666666664,0.0,0.0,0.08333333333333333,2.4166666666666665
761,logan-phippen,8,0,0,0,0.0,,0.0,0.0,0.0,0.0
762,ollie-jones,4,0,0,0,0.0,35.0,0.0,0.0,0.0,0.0
763,lorenzo-quartucci2,4,0,0,0,0.0,22.0,0.0,0.0,0.0,0.0
764,omar-el-gouzi,20,0,0,0,14.0,57.57142857142857,0.0,0.0,0.0,0.7
765,jesus-david-pena-jimenez,5,0,0,0,5.0,83.33333333333333,0.0,0.0,0.0,1.0
766,alessandro-santaromita,10,0,0,0,0.0,74.66666666666667,0.0,0.0,0.0,0.0
767,alessandro-verre,21,0,0,2,60.0,43.857142857142854,0.0,0.0,0.09523809523809523,2.857142857142857
768,luca-rastelli,7,0,0,0,0.0,76.0,0.0,0.0,0.0,0.0
769,andrea-pietrobon,7,0,0,0,0.0,105.0,0.0,0.0,0.0,0.0
770,alex-jaime-fernandez,22,0,0,1,39.0,42.6,0.0,0.0,0.045454545454545456,1.7727272727272727
771,tord-gudmestad,20,0,0,0,21.0,47.4,0.0,0.0,0.0,1.05
772,sean-flynn,19,0,0,0,39.0,37.05555555555556,0.0,0.0,0.0,2.0526315789473686
773,fredrik-dversnes,22,0,0,0,42.0,52.10526315789474,0.0,0.0,0.0,1.9090909090909092
774,axel-zingle,49,2,5,18,650.0,29.272727272727273,0.04081632653061224,0.10204081632653061,0.3673469387755102,13.26530612244898
775,ceriel-desal,24,0,0,0,13.0,60.68181818181818,0.0,0.0,0.0,0.5416666666666666
776,matthew-riccitello,6,0,0,0,0.0,55.666666666666664,0.0,0.0,0.0,0.0
777,harrison-wood,8,0,0,0,5.0,61.42857142857143,0.0,0.0,0.0,0.625
778,mathis-le-berre,12,0,0,0,17.0,59.36363636363637,0.0,0.0,0.0,1.4166666666666667
779,corbin-strong,21,0,1,5,311.0,31.0,0.0,0.047619047619047616,0.23809523809523808,14.80952380952381
780,johannes-adamietz,12,0,0,0,0.0,58.0,0.0,0.0,0.0,0.0
781,thomas-bonnet,18,0,0,0,0.0,70.16666666666667,0.0,0.0,0.0,0.0
782,thibau-nys,6,0,1,1,63.0,12.75,0.0,0.16666666666666666,0.16666666666666666,10.5
783,valentin-retailleau,20,0,0,0,4.0,79.63636363636364,0.0,0.0,0.0,0.2
784,alan-jousseaume,35,0,0,1,58.0,57.629629629629626,0.0,0.0,0.02857142857142857,1.6571428571428573
785,james-oram,7,0,0,0,6.0,48.333333333333336,0.0,0.0,0.0,0.8571428571428571
786,dorian-de-maeght,22,0,0,0,9.0,60.92857142857143,0.0,0.0,0.0,0.4090909090909091
787,hugo-toumire,28,0,0,0,12.0,61.6,0.0,0.0,0.0,0.42857142857142855
788,emilien-jeanniere,9,0,0,0,0.0,79.0,0.0,0.0,0.0,0.0
789,robbe-ceurens,3,0,0,0,0.0,,0.0,0.0,0.0,0.0
790,lucas-dauge,6,0,0,0,0.0,101.5,0.0,0.0,0.0,0.0
791,paul-lapeira,27,0,0,1,67.0,54.857142857142854,0.0,0.0,0.037037037037037035,2.4814814814814814
792,campbell-stewart,26,0,0,1,44.0,61.23529411764706,0.0,0.0,0.038461538461538464,1.6923076923076923
793,matthew-dinham,6,0,0,1,25.0,48.8,0.0,0.0,0.16666666666666666,4.166666666666667
794,alessio-nieri,9,0,0,0,0.0,58.0,0.0,0.0,0.0,0.0
795,aaron-gate,15,0,0,1,63.0,41.54545454545455,0.0,0.0,0.06666666666666667,4.2
796,matevz-govekar,8,0,0,2,59.0,73.2,0.0,0.0,0.25,7.375
797,georg-steinhauser,11,0,0,0,7.0,51.57142857142857,0.0,0.0,0.0,0.6363636363636364
798,felix-engelhardt,7,0,0,1,31.0,49.5,0.0,0.0,0.14285714285714285,4.428571428571429
799,walter-calzoni,6,0,0,0,17.0,36.4,0.0,0.0,0.0,2.8333333333333335
800,magnus-kulset,1,0,0,0,0.0,91.0,0.0,0.0,0.0,0.0
801,louis-barre,29,0,0,2,58.0,61.95238095238095,0.0,0.0,0.06896551724137931,2.0
802,embret-svestad-bardseng,3,0,0,0,0.0,40.333333333333336,0.0,0.0,0.0,0.0
803,julius-johansen,24,0,0,0,15.0,68.85714285714286,0.0,0.0,0.0,0.625
804,alan-banaszek,5,0,0,1,20.0,64.25,0.0,0.0,0.2,4.0
805,johan-price-pejtersen,8,0,0,0,5.0,77.66666666666667,0.0,0.0,0.0,0.625
806,jay-vine,10,0,0,0,17.0,51.0,0.0,0.0,0.0,1.7
807,kevin-vauquelin,20,0,0,2,77.0,36.2,0.0,0.0,0.1,3.85
808,alexandre-balmer,22,0,0,2,90.0,59.25,0.0,0.0,0.09090909090909091,4.090909090909091
809,pau-miquel-delgado,16,0,0,0,18.0,47.916666666666664,0.0,0.0,0.0,1.125
810,antonio-puppio,25,0,0,1,40.0,62.714285714285715,0.0,0.0,0.04,1.6
811,rainer-kepplinger,5,0,0,0,5.0,57.0,0.0,0.0,0.0,1.0
812,ewen-costiou,7,0,0,0,19.0,63.666666666666664,0.0,0.0,0.0,2.7142857142857144
813,sjoerd-bax,15,1,1,1,86.0,61.666666666666664,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.733333333333333
814,kim-heiduk,20,0,0,0,20.0,44.8,0.0,0.0,0.0,1.0
815,taj-jones,24,0,0,0,20.0,79.07692307692308,0.0,0.0,0.0,0.8333333333333334
816,anthon-charmig,5,0,0,0,15.0,66.2,0.0,0.0,0.0,3.0
817,jason-osborne,8,0,0,0,0.0,62.833333333333336,0.0,0.0,0.0,0.0
818,tobias-halland-johannessen,11,0,0,1,67.0,57.22222222222222,0.0,0.0,0.09090909090909091,6.090909090909091
819,unai-iribar-jauregi,21,0,0,0,11.0,55.93333333333333,0.0,0.0,0.0,0.5238095238095238
820,felix-gros,19,0,0,0,35.0,54.0,0.0,0.0,0.0,1.8421052631578947
821,luke-plapp,5,0,0,0,22.0,67.5,0.0,0.0,0.0,4.4
822,asbjorn-hellemose,13,0,0,0,10.0,61.81818181818182,0.0,0.0,0.0,0.7692307692307693
823,michal-schlegel,15,0,0,0,0.0,63.63636363636363,0.0,0.0,0.0,0.0
824,milan-vader,2,0,0,0,10.0,42.0,0.0,0.0,0.0,5.0
825,arnaud-de-lie,43,9,14,28,1632.0,17.95,0.20930232558139536,0.32558139534883723,0.6511627906976745,37.95348837209303
826,milan-fretin,32,0,0,1,59.0,60.38095238095238,0.0,0.0,0.03125,1.84375
827,sam-welsford,12,1,2,3,191.0,41.36363636363637,0.08333333333333333,0.16666666666666666,0.25,15.916666666666666
