,rider_code,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat
53,sven-erik-bystrom,46,0,0,0,101.0,75.48717948717949,0.0,0.0,0.0,2.1956521739130435
54,matteo-fabbro,25,0,0,0,2.0,87.2,0.0,0.0,0.0,0.08
55,jorge-arcas,35,0,0,0,10.0,86.81818181818181,0.0,0.0,0.0,0.2857142857142857
56,quinn-simmons,21,0,0,1,30.0,107.8,0.0,0.0,0.047619047619047616,1.4285714285714286
57,krists-neilands,27,0,0,0,19.0,86.56521739130434,0.0,0.0,0.0,0.7037037037037037
58,tosh-van-der-sande,54,0,2,4,207.0,61.90384615384615,0.0,0.037037037037037035,0.07407407407407407,3.8333333333333335
59,jonathan-klever-caicedo,28,0,0,0,0.0,101.03571428571429,0.0,0.0,0.0,0.0
60,michael-gogl,51,0,0,1,56.0,86.6590909090909,0.0,0.0,0.0196078431372549,1.0980392156862746
61,sepp-kuss,51,0,0,0,0.0,77.33333333333333,0.0,0.0,0.0,0.0
62,tsgabu-gebremaryam-grmay,26,0,0,0,0.0,70.07692307692308,0.0,0.0,0.0,0.0
63,andrea-pasqualon,61,0,3,14,538.0,28.017857142857142,0.0,0.04918032786885246,0.22950819672131148,8.819672131147541
64,filippo-ganna,36,0,0,0,16.0,84.39393939393939,0.0,0.0,0.0,0.4444444444444444
65,einer-augusto-rubio-reyes,16,0,0,0,0.0,75.875,0.0,0.0,0.0,0.0
66,edvald-boasson-hagen,66,0,2,9,368.0,49.58064516129032,0.0,0.030303030303030304,0.13636363636363635,5.575757575757576
67,chris-hamilton,39,0,0,0,0.0,119.58974358974359,0.0,0.0,0.0,0.0
68,nikias-arndt,66,0,0,2,52.0,62.15,0.0,0.0,0.030303030303030304,0.7878787878787878
69,daryl-impey,33,0,1,1,54.0,83.93939393939394,0.0,0.030303030303030304,0.030303030303030304,1.6363636363636365
70,arnaud-demare,67,12,19,44,1893.0,20.846153846153847,0.1791044776119403,0.2835820895522388,0.6567164179104478,28.253731343283583
71,gianni-vermeersch,42,0,4,6,375.0,45.025,0.0,0.09523809523809523,0.14285714285714285,8.928571428571429
72,vincenzo-albanese,15,0,0,2,48.0,58.06666666666667,0.0,0.0,0.13333333333333333,3.2
73,davide-ballerini,51,1,4,13,593.0,42.0,0.0196078431372549,0.0784313725490196,0.2549019607843137,11.627450980392156
74,cesare-benedetti,48,0,0,0,0.0,98.60416666666667,0.0,0.0,0.0,0.0
75,edoardo-zambanini,21,0,0,1,60.0,89.33333333333333,0.0,0.0,0.047619047619047616,2.857142857142857
76,clement-russo,63,0,0,5,231.0,61.642857142857146,0.0,0.0,0.07936507936507936,3.6666666666666665
77,alexander-kristoff,67,4,11,25,1635.0,26.21212121212121,0.05970149253731343,0.16417910447761194,0.373134328358209,24.402985074626866
78,manuele-boaro,37,0,0,0,30.0,87.53125,0.0,0.0,0.0,0.8108108108108109
79,jan-tratnik,43,0,0,1,61.0,105.48780487804878,0.0,0.0,0.023255813953488372,1.4186046511627908
80,kasper-asgreen,50,1,1,3,255.0,72.34693877551021,0.02,0.02,0.06,5.1
81,daniel-oss,58,0,0,0,47.0,90.6734693877551,0.0,0.0,0.0,0.8103448275862069
82,davide-cimolai,45,0,2,13,249.0,64.8,0.0,0.044444444444444446,0.28888888888888886,5.533333333333333
83,jos-van-emden,52,0,0,0,38.0,81.04,0.0,0.0,0.0,0.7307692307692307
84,lawson-craddock,42,0,0,0,3.0,105.35897435897436,0.0,0.0,0.0,0.07142857142857142
85,mikkel-honore,36,0,0,1,69.0,76.05882352941177,0.0,0.0,0.027777777777777776,1.9166666666666667
86,alexander-edmondson,38,0,0,0,28.0,80.46666666666667,0.0,0.0,0.0,0.7368421052631579
87,jasha-sutterlin,53,0,0,1,51.0,66.80851063829788,0.0,0.0,0.018867924528301886,0.9622641509433962
88,mirco-maestri,19,0,0,1,10.0,83.22222222222223,0.0,0.0,0.05263157894736842,0.5263157894736842
89,martijn-tusveld,43,0,0,0,22.0,78.04761904761905,0.0,0.0,0.0,0.5116279069767442
90,harry-sweeny,31,0,0,0,20.0,75.20689655172414,0.0,0.0,0.0,0.6451612903225806
91,luca-rastelli,10,0,0,0,0.0,81.0,0.0,0.0,0.0,0.0
92,edward-theuns,83,1,6,19,693.0,48.81012658227848,0.012048192771084338,0.07228915662650602,0.2289156626506024,8.349397590361447
93,marco-haller,72,1,1,2,371.0,83.26984126984127,0.013888888888888888,0.013888888888888888,0.027777777777777776,5.152777777777778
94,ignatas-konovalovas,47,0,0,0,24.0,101.69767441860465,0.0,0.0,0.0,0.5106382978723404
95,alexander-konychev,38,0,0,0,45.0,66.02941176470588,0.0,0.0,0.0,1.1842105263157894
96,alan-riou,26,0,0,0,9.0,80.42105263157895,0.0,0.0,0.0,0.34615384615384615
97,mathias-norsgaard,32,0,1,1,61.0,76.5,0.0,0.03125,0.03125,1.90625
98,edoardo-affini,49,0,2,2,149.0,83.5,0.0,0.04081632653061224,0.04081632653061224,3.0408163265306123
99,heinrich-haussler,44,0,0,4,310.0,67.42857142857143,0.0,0.0,0.09090909090909091,7.045454545454546
100,davide-martinelli,42,0,0,1,55.0,64.1470588235294,0.0,0.0,0.023809523809523808,1.3095238095238095
101,tim-merlier,62,14,24,39,2230.0,17.081967213114755,0.22580645161290322,0.3870967741935484,0.6290322580645161,35.96774193548387
102,olav-kooij,31,2,6,15,518.0,36.87096774193548,0.06451612903225806,0.1935483870967742,0.4838709677419355,16.70967741935484
103,giacomo-nizzolo,61,2,12,37,1599.0,16.535714285714285,0.03278688524590164,0.19672131147540983,0.6065573770491803,26.21311475409836
104,adrien-petit,73,0,1,4,386.0,68.24590163934427,0.0,0.0136986301369863,0.0547945205479452,5.287671232876712
105,gianni-moscon,42,0,0,2,186.0,71.36842105263158,0.0,0.0,0.047619047619047616,4.428571428571429
106,giovanni-lonardi,20,0,0,5,71.0,30.666666666666668,0.0,0.0,0.25,3.55
107,michael-schwarzmann,76,0,0,1,22.0,85.22727272727273,0.0,0.0,0.013157894736842105,0.2894736842105263
108,edward-planckaert,56,0,0,3,158.0,76.5,0.0,0.0,0.05357142857142857,2.8214285714285716
109,alberto-dainese,49,1,8,17,605.0,38.829268292682926,0.02040816326530612,0.16326530612244897,0.3469387755102041,12.346938775510203
110,maciej-bodnar,48,0,0,0,19.0,100.22222222222223,0.0,0.0,0.0,0.3958333333333333
111,phil-bauhaus,50,3,8,29,502.0,29.543478260869566,0.06,0.16,0.58,10.04
112,ramon-sinkeldam,65,0,0,1,59.0,69.68333333333334,0.0,0.0,0.015384615384615385,0.9076923076923077
113,leonardo-basso,41,0,0,0,40.0,86.7,0.0,0.0,0.0,0.975609756097561
114,mark-cavendish,58,8,17,23,1219.0,44.84905660377358,0.13793103448275862,0.29310344827586204,0.39655172413793105,21.017241379310345
115,pascal-ackermann,73,10,28,42,2113.0,22.95,0.136986301369863,0.3835616438356164,0.5753424657534246,28.945205479452056
116,jordi-meeus,38,0,5,12,548.0,49.34285714285714,0.0,0.13157894736842105,0.3157894736842105,14.421052631578947
117,matteo-moschetti,60,2,2,15,499.0,60.42857142857143,0.03333333333333333,0.03333333333333333,0.25,8.316666666666666
118,kaden-groves,44,1,2,11,232.0,53.58536585365854,0.022727272727272728,0.045454545454545456,0.25,5.2727272727272725
119,davide-bais,10,0,0,0,0.0,129.0,0.0,0.0,0.0,0.0
120,jacopo-guarnieri,61,0,0,1,36.0,68.68627450980392,0.0,0.0,0.01639344262295082,0.5901639344262295
121,josef-cerny,45,0,0,1,63.0,85.86046511627907,0.0,0.0,0.022222222222222223,1.4
122,davide-gabburo,18,0,0,1,37.0,39.1875,0.0,0.0,0.05555555555555555,2.0555555555555554
123,filippo-fiorelli,35,0,0,5,113.0,56.964285714285715,0.0,0.0,0.14285714285714285,3.2285714285714286
