,team-name,,circuit,country,team_url,more_gear_url,Bike,Groupset,Wheels,Saddle,Tyres,Pedals,Powermeter,Sunglasses,Helmets,Shoes,Bartape,Kit,Sports nutrition,Cycling computer,Hometrainer
56,burgos-bh,burgos-bh,ProTeams,spain,https://www.procyclingstats.com/team/burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2023/more/gear,BH,FSA,Vision,Prologo,Veloflex,XPedo,,EKOÏ,EKOÏ,,Prologo,Finisseur,Victory Endurance,Hammerhead,
57,caja-rural-seguros-rga,caja rural - seguros rga,ProTeams,spain,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2023/more/gear,MMR,Shimano,Vision,Selle Italia,Vittoria,,,Spiuk,Spiuk,,,Gsport,,,
58,eolo-kometa,eolo-kometa,ProTeams,italy,https://www.procyclingstats.com/team/eolo-kometa-2023,https://www.procyclingstats.com/team/eolo-kometa-2023/more/gear,Aurum,SRAM,ENVE,Prologo,Vittoria,LOOK,,,,Sidi,,GOBIK,,,
59,equipo-kern-pharma,equipo kern pharma,ProTeams,spain,https://www.procyclingstats.com/team/equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2023/more/gear,Giant,Shimano,Cadex,,,,,Bollé,Giant,,,Etxeondo,Finisher,,Zycle
60,euskaltel-euskadi,euskaltel - euskadi,ProTeams,spain,https://www.procyclingstats.com/team/euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskaltel-euskadi-2023/more/gear,Orbea,Shimano,Vision,,,,,,,,,Etxeondo,,,
61,green-project-bardiani-csf-faizane,green project bardiani csf-faizane,ProTeams,italy,https://www.procyclingstats.com/team/green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/green-project-bardiani-csf-faizane-2023/more/gear,De Rosa,Campagnolo,Campagnolo,Selle SMP,Vittoria,Favero,Favero,Briko,Briko,Gaerne,De Rosa,Alé,SiS,Bryton,Elite
62,human-powered-health,human powered health,ProTeams,usa,https://www.procyclingstats.com/team/human-powered-health-2023,https://www.procyclingstats.com/team/human-powered-health-2023/more/gear,Felt,SRAM,Vision,Selle Italia,Goodyear,,,Rudy Project,Lem,Northwave,,Pactimo,,Wahoo,Wahoo
63,israel-premier-tech,israel - premier tech,ProTeams,israel,https://www.procyclingstats.com/team/israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-premier-tech-2023/more/gear,Factor,,Black Inc,Selle Italia,Maxxis,,,EKOÏ,EKOÏ,,,EKOÏ,Santa Madre,Hammerhead,PowerWatts
64,lotto-dstny,lotto dstny,ProTeams,belgium,https://www.procyclingstats.com/team/lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-dstny-2023/more/gear,Ridley,Shimano,DT Swiss,Selle Italia,Vittoria,Shimano,Shimano,EKOÏ,EKOÏ,,Lizard Skins,Vermarc,Precision Fuel & Hydratation,Garmin,Garmin
65,team-corratec,team corratec,ProTeams,italy,https://www.procyclingstats.com/team/team-corratec-2023,https://www.procyclingstats.com/team/team-corratec-2023/more/gear,Corratec,,,,,,,,,,,,,,
66,team-flanders--baloise,team flanders - baloise,ProTeams,belgium,https://www.procyclingstats.com/team/team-flanders--baloise-2023,https://www.procyclingstats.com/team/team-flanders--baloise-2023/more/gear,Eddy Merckx,Shimano,Fast Forward Wheels,Selle Italia,Vittoria,LOOK,,Rudy Project,Rudy Project,,,Vermarc,Etixx,Garmin,Tacx
67,team-novo-nordisk,team novo nordisk,ProTeams,usa,https://www.procyclingstats.com/team/team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2023/more/gear,Argon 18,,,,Vittoria,,,,Catlike,,,Santic,,,
68,team-totalenergies,team totalenergies,ProTeams,france,https://www.procyclingstats.com/team/team-totalenergies-2023,https://www.procyclingstats.com/team/team-totalenergies-2023/more/gear,Specialized,ShimanoShimano,,SpecializedSpecialized,,,,100%100%,SpecializedSpecialized,SpecializedSpecialized,,Sportful,SportfulErgysport,GarminGarmin,
69,tudor-pro-cycling-team,tudor pro cycling team,ProTeams,switzerland,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2023/more/gear,BMC,SRAMSRAM,DT Swiss DT Swiss,Selle ItaliaSelle Italia,SchwalbeSchwalbe,Speedplay,,,AbusAbus,Suplest,,AssosAssos,,Wahoo,Wahoo
70,uno-x-pro-cycling-team,uno-x pro cycling team,ProTeams,norway,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2023/more/gear,Dare,,DT Swiss,,,,,Sweet Protection,Sweet Protection,,,Bioracer,,,
71,q365-pro-cycing-team,q36.5 pro cycing team,ProTeams,switzerland,https://www.procyclingstats.com/team/q365-pro-cycing-team,https://www.procyclingstats.com/team/q365-pro-cycing-team/more/gear,SCOTT,SRAM,Zipp,Syncros,Pirelli,,Garmin,SCOTT,SCOTT,Q36.5,,Q36.5,Amacx,Garmin,
