,Unnamed: 0,team_code_history,team_history_url,team_url_2023,URL,Team Name,Wins,Points,PCS Ranking,UCI Ranking
130,5,swiss-racing-academy-2020,https://www.procyclingstats.com/team/swiss-racing-academy-2020,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/swiss-racing-academy-2020,Swiss Racing Academy,1,28,121,-
131,6,swiss-racing-academy-2019,https://www.procyclingstats.com/team/swiss-racing-academy-2019,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/swiss-racing-academy-2019,Swiss Racing Academy,3,161,104,-
132,5,uno-x-pro-cycling-team-2022,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2022,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2022,Uno-X Pro Cycling Team,9,2572,22,22
133,6,uno-x-pro-cycling-team-2021,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2021,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2021,Uno-X Pro Cycling Team,12,2201,24,-
134,7,uno-x-pro-cycling-team-2020,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2020,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2020,Uno-X Pro Cycling Team,14,621,31,-
135,9,uno-x-norwegian-development-team-2019,https://www.procyclingstats.com/team/uno-x-norwegian-development-team-2019,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-norwegian-development-team-2019,Uno-X Norwegian Development Team,5,444,67,-
136,3,team-qhubeka-nexthash-2021,https://www.procyclingstats.com/team/team-qhubeka-nexthash-2021,q365-pro-cycing-team,https://www.procyclingstats.com/team/team-qhubeka-nexthash-2021,Team Qhubeka NextHash,5,3874,21,-
137,4,team-qhubeka-assos-2021,https://www.procyclingstats.com/team/team-qhubeka-assos-2021,q365-pro-cycing-team,https://www.procyclingstats.com/team/team-qhubeka-assos-2021,Team Qhubeka ASSOS,5,3874,21,-
138,5,ntt-pro-cycling-2020,https://www.procyclingstats.com/team/ntt-pro-cycling-2020,q365-pro-cycing-team,https://www.procyclingstats.com/team/ntt-pro-cycling-2020,NTT Pro Cycling,8,3075,21,-
139,6,team-dimension-data-2019,https://www.procyclingstats.com/team/team-dimension-data-2019,q365-pro-cycing-team,https://www.procyclingstats.com/team/team-dimension-data-2019,Team Dimension Data,7,4193,23,-
