,Unnamed: 0,team_code_history,team_history_url,team_url_2023,URL,Team Name,Wins,Points,PCS Ranking,UCI Ranking
30,5,movistar-team-2020,https://www.procyclingstats.com/team/movistar-team-2020,movistar-team-2023,https://www.procyclingstats.com/team/movistar-team-2020,Movistar Team,2,3536,18,-
31,6,movistar-team-2019,https://www.procyclingstats.com/team/movistar-team-2019,movistar-team-2023,https://www.procyclingstats.com/team/movistar-team-2019,Movistar Team,21,9200,7,-
32,5,quick-step-alpha-vinyl-2022,https://www.procyclingstats.com/team/quick-step-alpha-vinyl-2022,soudal-quick-step-2023,https://www.procyclingstats.com/team/quick-step-alpha-vinyl-2022,Quick-Step Alpha Vinyl Team,47,8968,7,6
33,6,deceuninck-quick-step-2021,https://www.procyclingstats.com/team/deceuninck-quick-step-2021,soudal-quick-step-2023,https://www.procyclingstats.com/team/deceuninck-quick-step-2021,Deceuninck - Quick Step,65,14565,1,-
34,7,deceuninck-quick-step-2020,https://www.procyclingstats.com/team/deceuninck-quick-step-2020,soudal-quick-step-2023,https://www.procyclingstats.com/team/deceuninck-quick-step-2020,Deceuninck - Quick Step,39,9566,1,-
35,8,deceuninck-quick-step-2019,https://www.procyclingstats.com/team/deceuninck-quick-step-2019,soudal-quick-step-2023,https://www.procyclingstats.com/team/deceuninck-quick-step-2019,Deceuninck - Quick Step,64,14268,1,-
36,3,team-arkea-samsic-2022,https://www.procyclingstats.com/team/team-arkea-samsic-2022,team-arkea-samsic-2023,https://www.procyclingstats.com/team/team-arkea-samsic-2022,Team Arkéa Samsic,12,7069,14,13
37,4,team-arkea-samsic-2021,https://www.procyclingstats.com/team/team-arkea-samsic-2021,team-arkea-samsic-2023,https://www.procyclingstats.com/team/team-arkea-samsic-2021,Team Arkéa Samsic,10,5189,15,-
38,5,team-arkea-samsic-2020,https://www.procyclingstats.com/team/team-arkea-samsic-2020,team-arkea-samsic-2023,https://www.procyclingstats.com/team/team-arkea-samsic-2020,Team Arkéa Samsic,12,3278,17,-
39,6,team-arkea-samsic-2019,https://www.procyclingstats.com/team/team-arkea-samsic-2019,team-arkea-samsic-2023,https://www.procyclingstats.com/team/team-arkea-samsic-2019,Team Arkéa Samsic,5,2679,25,-
40,3,team-bikeexchange-jayco-2022,https://www.procyclingstats.com/team/team-bikeexchange-jayco-2022,team-jayco-alula-2023,https://www.procyclingstats.com/team/team-bikeexchange-jayco-2022,Team BikeExchange - Jayco,22,5610,17,16
41,4,team-bikeexchange-2021,https://www.procyclingstats.com/team/team-bikeexchange-2021,team-jayco-alula-2023,https://www.procyclingstats.com/team/team-bikeexchange-2021,Team BikeExchange,9,5116,16,-
42,5,mitchelton-scott-2020,https://www.procyclingstats.com/team/mitchelton-scott-2020,team-jayco-alula-2023,https://www.procyclingstats.com/team/mitchelton-scott-2020,Mitchelton-Scott,16,5162,9,-
