,team_code_history,team_history_url,team_url_2023
9,uae-team-emirates-2019,https://www.procyclingstats.com/team/uae-team-emirates-2019,uae-team-emirates-2023
3,alpecin-deceuninck-2022,https://www.procyclingstats.com/team/alpecin-deceuninck-2022,alpecin-deceuninck-2023
5,alpecin-fenix-2021,https://www.procyclingstats.com/team/alpecin-fenix-2021,alpecin-deceuninck-2023
6,alpecin-fenix-2020,https://www.procyclingstats.com/team/alpecin-fenix-2020,alpecin-deceuninck-2023
7,corendon-circus-2019,https://www.procyclingstats.com/team/corendon-circus-2019,alpecin-deceuninck-2023
2,astana-qazaqstan-team-2022,https://www.procyclingstats.com/team/astana-qazaqstan-team-2022,astana-qazaqstan-team-2023
3,astana-premier-tech-2021,https://www.procyclingstats.com/team/astana-premier-tech-2021,astana-qazaqstan-team-2023
4,astana-pro-team-2020,https://www.procyclingstats.com/team/astana-pro-team-2020,astana-qazaqstan-team-2023
5,astana-pro-team-2019,https://www.procyclingstats.com/team/astana-pro-team-2019,astana-qazaqstan-team-2023
3,bahrain-victorious-2022,https://www.procyclingstats.com/team/bahrain-victorious-2022,bahrain-victorious-2023
4,bahrain-victorious-2021,https://www.procyclingstats.com/team/bahrain-victorious-2021,bahrain-victorious-2023
5,bahrain-mclaren-2020,https://www.procyclingstats.com/team/bahrain-mclaren-2020,bahrain-victorious-2023
6,bahrain-merida-2019,https://www.procyclingstats.com/team/bahrain-merida-2019,bahrain-victorious-2023
3,bingoal-pauwels-sauzen-wb-2022,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2022,bingoal-wb-2023
4,bingoal-pauwels-sauzen-wb-2021,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2021,bingoal-wb-2023
6,bingoal-wallonie-bruxelles-2020,https://www.procyclingstats.com/team/bingoal-wallonie-bruxelles-2020,bingoal-wb-2023
7,wallonie-bruxelles-2019,https://www.procyclingstats.com/team/wallonie-bruxelles-2019,bingoal-wb-2023
2,bolton-equities-black-spoke-pro-cycling-2022,https://www.procyclingstats.com/team/bolton-equities-black-spoke-pro-cycling-2022,bolton-equities-black-spoke-2023
3,black-spoke-pro-cycling-academy-2021,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2021,bolton-equities-black-spoke-2023
4,black-spoke-pro-cycling-academy-2020,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2020,bolton-equities-black-spoke-2023
2,burgos-bh-2022,https://www.procyclingstats.com/team/burgos-bh-2022,burgos-bh-2023
3,burgos-bh-2021,https://www.procyclingstats.com/team/burgos-bh-2021,burgos-bh-2023
4,burgos-bh-2020,https://www.procyclingstats.com/team/burgos-bh-2020,burgos-bh-2023
5,burgos-bh-2019,https://www.procyclingstats.com/team/burgos-bh-2019,burgos-bh-2023
2,caja-rural-seguros-rga-2022,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2022,caja-rural-seguros-rga-2023
3,caja-rural-seguros-rga-2021,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2021,caja-rural-seguros-rga-2023
4,caja-rural-seguros-rga-2020,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2020,caja-rural-seguros-rga-2023
5,caja-rural-seguros-rga-2019,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2019,caja-rural-seguros-rga-2023
2,eolo-kometa-2022,https://www.procyclingstats.com/team/eolo-kometa-2022,eolo-kometa-2023
3,eolo-kometa-2021,https://www.procyclingstats.com/team/eolo-kometa-2021,eolo-kometa-2023
4,kometa-xstra-cycling-team-2020,https://www.procyclingstats.com/team/kometa-xstra-cycling-team-2020,eolo-kometa-2023
5,kometa-cycling-team-2019,https://www.procyclingstats.com/team/kometa-cycling-team-2019,eolo-kometa-2023
2,equipo-kern-pharma-2022,https://www.procyclingstats.com/team/equipo-kern-pharma-2022,equipo-kern-pharma-2023
3,equipo-kern-pharma-2021,https://www.procyclingstats.com/team/equipo-kern-pharma-2021,equipo-kern-pharma-2023
4,equipo-kern-pharma-2020,https://www.procyclingstats.com/team/equipo-kern-pharma-2020,equipo-kern-pharma-2023
2,euskaltel-euskadi-2022,https://www.procyclingstats.com/team/euskaltel-euskadi-2022,euskaltel-euskadi-2023
3,euskaltel-euskadi-2021,https://www.procyclingstats.com/team/euskaltel-euskadi-2021,euskaltel-euskadi-2023
5,euskatel-euskadi-2020,https://www.procyclingstats.com/team/euskatel-euskadi-2020,euskaltel-euskadi-2023
6,fundacia-n-euskadi-2019,https://www.procyclingstats.com/team/fundacia-n-euskadi-2019,euskaltel-euskadi-2023
5,bardiani-csf-faizane-2022,https://www.procyclingstats.com/team/bardiani-csf-faizane-2022,green-project-bardiani-csf-faizane-2023
6,bardiani-csf-2021,https://www.procyclingstats.com/team/bardiani-csf-2021,green-project-bardiani-csf-faizane-2023
7,bardiani-csf-2020,https://www.procyclingstats.com/team/bardiani-csf-2020,green-project-bardiani-csf-faizane-2023
8,bardiani-csf-2019,https://www.procyclingstats.com/team/bardiani-csf-2019,green-project-bardiani-csf-faizane-2023
2,human-powered-health-2022,https://www.procyclingstats.com/team/human-powered-health-2022,human-powered-health-2023
3,rally-cycling-2021,https://www.procyclingstats.com/team/rally-cycling-2021,human-powered-health-2023
4,rally-cycling-2020,https://www.procyclingstats.com/team/rally-cycling-2020,human-powered-health-2023
5,rally-uhc-cycling-2019,https://www.procyclingstats.com/team/rally-uhc-cycling-2019,human-powered-health-2023
3,israel-premier-tech-2022,https://www.procyclingstats.com/team/israel-premier-tech-2022,israel-premier-tech-2023
4,israel-start-up-nation-2021,https://www.procyclingstats.com/team/israel-start-up-nation-2021,israel-premier-tech-2023
5,israel-start-up-nation-2020,https://www.procyclingstats.com/team/israel-start-up-nation-2020,israel-premier-tech-2023
6,israel-cycling-academy-2019,https://www.procyclingstats.com/team/israel-cycling-academy-2019,israel-premier-tech-2023
3,lotto-soudal-2022,https://www.procyclingstats.com/team/lotto-soudal-2022,lotto-dstny-2023
4,lotto-soudal-2021,https://www.procyclingstats.com/team/lotto-soudal-2021,lotto-dstny-2023
5,lotto-soudal-2020,https://www.procyclingstats.com/team/lotto-soudal-2020,lotto-dstny-2023
6,lotto-soudal-2019,https://www.procyclingstats.com/team/lotto-soudal-2019,lotto-dstny-2023
2,team-corratec-2022,https://www.procyclingstats.com/team/team-corratec-2022,team-corratec-2023
2,sport-vlaanderen-baloise-2022,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2022,team-flanders--baloise-2023
3,sport-vlaanderen-baloise-2021,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2021,team-flanders--baloise-2023
4,sport-vlaanderen-baloise-2020,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2020,team-flanders--baloise-2023
5,sport-vlaanderen-baloise-2019,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2019,team-flanders--baloise-2023
1,team-novo-nordisk-2022,https://www.procyclingstats.com/team/team-novo-nordisk-2022,team-novo-nordisk-2023
2,team-novo-nordisk-2021,https://www.procyclingstats.com/team/team-novo-nordisk-2021,team-novo-nordisk-2023
3,team-novo-nordisk-2020,https://www.procyclingstats.com/team/team-novo-nordisk-2020,team-novo-nordisk-2023
