,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code,,Avg
39,39,24,,VAN MOER BrentLotto Soudal,24,Lotto Soudal,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
40,40,21,,GILBERT PhilippeLotto Soudal,39,Lotto Soudal,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
41,41,91,,COQUARD BryanCofidis,29,Cofidis,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
42,42,246,,SKAARSETH AndersUno-X Pro Cycling Team,26,Uno-X Pro Cycling Team,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
43,43,161,,DEGENKOLB JohnTeam DSM,33,Team DSM,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
44,44,205,,REX LaurenzBingoal Pauwels Sauces WB,22,Bingoal Pauwels Sauces WB,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
45,45,46,,DEWULF StanAG2R Citroën Team,24,AG2R Citroën Team,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
46,46,216,,VAN ROOY KennethSport Vlaanderen - Baloise,28,Sport Vlaanderen - Baloise,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
47,47,83,,KOCH JonasBORA - hansgrohe,28,BORA - hansgrohe,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
48,48,225,,VAUQUELIN KévinTeam Arkéa Samsic,20,Team Arkéa Samsic,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
49,49,127,,SWIFT BenINEOS Grenadiers,34,INEOS Grenadiers,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
50,50,54,,SKUJIŅŠ TomsTrek - Segafredo,30,Trek - Segafredo,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
51,51,37,,VLIEGEN LoïcIntermarché - Wanty - Gobert Matériaux,28,Intermarché - Wanty - Gobert Matériaux,2,5,",,1:30",omloop-het-nieuwsblad/2022,,
52,52,45,,TOUZÉ DamienAG2R Citroën Team,25,AG2R Citroën Team,2,5,",,1:30",omloop-het-nieuwsblad/2022,,
53,53,96,,CONSONNI SimoneCofidis,27,Cofidis,2,5,",,1:30",omloop-het-nieuwsblad/2022,,
54,54,184,,MEURISSE XandroAlpecin-Fenix,30,Alpecin-Fenix,2,5,",,1:30",omloop-het-nieuwsblad/2022,,
55,55,234,,OSS DanielTotalEnergies,35,TotalEnergies,2,5,",,1:30",omloop-het-nieuwsblad/2022,,
56,56,248,,JOHANNESSEN Tobias HallandUno-X Pro Cycling Team,22,Uno-X Pro Cycling Team,1,5,",,1:30",omloop-het-nieuwsblad/2022,,
57,57,164,,HVIDEBERG Jonas IversbyTeam DSM,23,Team DSM,1,5,",,1:30",omloop-het-nieuwsblad/2022,,
58,58,183,,GOGL MichaelAlpecin-Fenix,28,Alpecin-Fenix,1,5,",,1:30",omloop-het-nieuwsblad/2022,,
59,59,125,,TURNER BenINEOS Grenadiers,22,INEOS Grenadiers,1,5,",,1:30",omloop-het-nieuwsblad/2022,,
60,60,36,,KRISTOFF AlexanderIntermarché - Wanty - Gobert Matériaux,34,Intermarché - Wanty - Gobert Matériaux,1,5,",,1:30",omloop-het-nieuwsblad/2022,,
61,61,25,,VERMEERSCH FlorianLotto Soudal,22,Lotto Soudal,,5,",,1:30",omloop-het-nieuwsblad/2022,,
62,62,7,,ŠTYBAR ZdeněkQuick-Step Alpha Vinyl Team,36,Quick-Step Alpha Vinyl Team,,5,",,1:30",omloop-het-nieuwsblad/2022,,
63,63,142,,LAZKANO OierMovistar Team,22,Movistar Team,,5,",,1:30",omloop-het-nieuwsblad/2022,,
64,64,176,,OLIVEIRA RuiUAE Team Emirates,25,UAE Team Emirates,,5,",,1:30",omloop-het-nieuwsblad/2022,,
65,65,217,,VANHOOF WardSport Vlaanderen - Baloise,22,Sport Vlaanderen - Baloise,,5,",,1:30",omloop-het-nieuwsblad/2022,,
66,66,15,,BENOOT TiesjJumbo-Visma,27,Jumbo-Visma,,5,",,1:30",omloop-het-nieuwsblad/2022,,
67,67,12,,EENKHOORN PascalJumbo-Visma,25,Jumbo-Visma,,5,",,1:30",omloop-het-nieuwsblad/2022,,
68,68,17,,VAN HOOYDONCK NathanJumbo-Visma,26,Jumbo-Visma,,5,",,1:30",omloop-het-nieuwsblad/2022,,
69,69,114,,LE GAC OlivierGroupama - FDJ,28,Groupama - FDJ,,5,",,1:30",omloop-het-nieuwsblad/2022,,
70,70,136,,VAN ASBROECK TomIsrael - Premier Tech,31,Israel - Premier Tech,,5,",,1:30",omloop-het-nieuwsblad/2022,,
71,71,33,,DE GENDT AiméIntermarché - Wanty - Gobert Matériaux,27,Intermarché - Wanty - Gobert Matériaux,,5,",,1:30",omloop-het-nieuwsblad/2022,,
72,72,1,,LAMPAERT YvesQuick-Step Alpha Vinyl Team,30,Quick-Step Alpha Vinyl Team,,5,",,1:30",omloop-het-nieuwsblad/2022,,
73,73,135,,HOULE HugoIsrael - Premier Tech,31,Israel - Premier Tech,,5,",,1:30",omloop-het-nieuwsblad/2022,,
74,74,76,,SÁNCHEZ Luis LeónBahrain - Victorious,38,Bahrain - Victorious,,5,",,1:30",omloop-het-nieuwsblad/2022,,
75,75,104,,HEALY BenEF Education-EasyPost,21,EF Education-EasyPost,,5,",,1:30",omloop-het-nieuwsblad/2022,,
76,76,5,,ASGREEN KasperQuick-Step Alpha Vinyl Team,27,Quick-Step Alpha Vinyl Team,,5,",,1:30",omloop-het-nieuwsblad/2022,,
77,77,224,,MCLAY DanielTeam Arkéa Samsic,30,Team Arkéa Samsic,,5,",,1:30",omloop-het-nieuwsblad/2022,,
78,78,111,,ASKEY LewisGroupama - FDJ,20,Groupama - FDJ,,5,",,1:30",omloop-het-nieuwsblad/2022,,
79,79,92,,BOHLI TomCofidis,28,Cofidis,,5,",,1:30",omloop-het-nieuwsblad/2022,,
80,80,174,,LAENGEN Vegard StakeUAE Team Emirates,33,UAE Team Emirates,,5,",,1:30",omloop-het-nieuwsblad/2022,,
81,81,75,,GRADEK KamilBahrain - Victorious,31,Bahrain - Victorious,,5,",,1:30",omloop-het-nieuwsblad/2022,,
82,82,35,,PETIT AdrienIntermarché - Wanty - Gobert Matériaux,31,Intermarché - Wanty - Gobert Matériaux,,5,2:162:16,omloop-het-nieuwsblad/2022,,
83,83,32,,CLAEYS DimitriIntermarché - Wanty - Gobert Matériaux,34,Intermarché - Wanty - Gobert Matériaux,,5,2:312:31,omloop-het-nieuwsblad/2022,,
84,84,211,,DE PESTEL SanderSport Vlaanderen - Baloise,23,Sport Vlaanderen - Baloise,,5,5:045:04,omloop-het-nieuwsblad/2022,,
85,85,243,,HULGAARD MortenUno-X Pro Cycling Team,23,Uno-X Pro Cycling Team,,5,",,5:04",omloop-het-nieuwsblad/2022,,
86,86,144,,HOLLMANN JuriMovistar Team,22,Movistar Team,,5,",,5:04",omloop-het-nieuwsblad/2022,,
87,87,245,,RESELL Erik NordsæterUno-X Pro Cycling Team,25,Uno-X Pro Cycling Team,,5,",,5:04",omloop-het-nieuwsblad/2022,,
88,88,204,,BLOUWE LouisBingoal Pauwels Sauces WB,22,Bingoal Pauwels Sauces WB,,5,5:495:49,omloop-het-nieuwsblad/2022,,
89,89,31,,BYSTRØM Sven ErikIntermarché - Wanty - Gobert Matériaux,30,Intermarché - Wanty - Gobert Matériaux,,5,",,5:49",omloop-het-nieuwsblad/2022,,
90,90,187,,VAN KEIRSBULCK GuillaumeAlpecin-Fenix,31,Alpecin-Fenix,,5,",,5:49",omloop-het-nieuwsblad/2022,,
91,91,47,,VAN HOECKE GijsAG2R Citroën Team,30,AG2R Citroën Team,,5,",,5:49",omloop-het-nieuwsblad/2022,,
92,92,64,,GRUZDEV DmitriyAstana Qazaqstan Team,35,Astana Qazaqstan Team,,5,",,5:49",omloop-het-nieuwsblad/2022,,
93,93,101,,KEUKELEIRE JensEF Education-EasyPost,33,EF Education-EasyPost,,5,",,5:49",omloop-het-nieuwsblad/2022,,
94,94,185,,LEYSEN SenneAlpecin-Fenix,25,Alpecin-Fenix,,5,",,5:49",omloop-het-nieuwsblad/2022,,
95,95,203,,ANIOŁKOWSKI StanisławBingoal Pauwels Sauces WB,25,Bingoal Pauwels Sauces WB,,5,",,5:49",omloop-het-nieuwsblad/2022,,
96,96,226,,RUSSO ClémentTeam Arkéa Samsic,27,Team Arkéa Samsic,,5,",,5:49",omloop-het-nieuwsblad/2022,,
97,97,57,,VERGAERDE OttoTrek - Segafredo,27,Trek - Segafredo,,5,",,5:49",omloop-het-nieuwsblad/2022,,
98,98,231,,SAGAN PeterTotalEnergies,32,TotalEnergies,,5,",,5:49",omloop-het-nieuwsblad/2022,,
99,99,193,,LECROQ JérémyB&B Hotels - KTM,26,B&B Hotels - KTM,,5,",,5:49",omloop-het-nieuwsblad/2022,,
100,100,52,,THEUNS EdwardTrek - Segafredo,30,Trek - Segafredo,,5,",,5:49",omloop-het-nieuwsblad/2022,,
101,101,56,,HOOLE DaanTrek - Segafredo,23,Trek - Segafredo,,5,",,5:49",omloop-het-nieuwsblad/2022,,
102,102,44,,SCHÄR MichaelAG2R Citroën Team,35,AG2R Citroën Team,,5,",,5:49",omloop-het-nieuwsblad/2022,,
103,103,165,,KRAGH ANDERSEN SørenTeam DSM,27,Team DSM,,5,",,5:49",omloop-het-nieuwsblad/2022,,
104,104,212,,DE VYLDER LindsaySport Vlaanderen - Baloise,26,Sport Vlaanderen - Baloise,,5,8:338:33,omloop-het-nieuwsblad/2022,,
105,105,222,,GRONDIN DonavanTeam Arkéa Samsic,21,Team Arkéa Samsic,,5,",,8:33",omloop-het-nieuwsblad/2022,,
106,106,201,,DUPONT TimothyBingoal Pauwels Sauces WB,34,Bingoal Pauwels Sauces WB,,5,",,8:33",omloop-het-nieuwsblad/2022,,
107,107,215,,VERWILST AaronSport Vlaanderen - Baloise,24,Sport Vlaanderen - Baloise,,5,",,8:33",omloop-het-nieuwsblad/2022,,
108,108,126,,SHEFFIELD MagnusINEOS Grenadiers,19,INEOS Grenadiers,,5,",,8:33",omloop-het-nieuwsblad/2022,,
109,109,155,,MAAS JanTeam BikeExchange - Jayco,26,Team BikeExchange - Jayco,,5,",,8:33",omloop-het-nieuwsblad/2022,,
110,110,173,,GIBBONS RyanUAE Team Emirates,27,UAE Team Emirates,,5,",,8:33",omloop-het-nieuwsblad/2022,,
111,111,146,,MAS LluísMovistar Team,32,Movistar Team,,5,",,8:33",omloop-het-nieuwsblad/2022,,
112,112,154,,SMITH DionTeam BikeExchange - Jayco,28,Team BikeExchange - Jayco,,5,",,8:33",omloop-het-nieuwsblad/2022,,
113,113,195,,MORICE JulienB&B Hotels - KTM,30,B&B Hotels - KTM,,5,",,8:33",omloop-het-nieuwsblad/2022,,
114,114,84,,MEEUS JordiBORA - hansgrohe,23,BORA - hansgrohe,,5,",,8:33",omloop-het-nieuwsblad/2022,,
115,115,86,,PÖSTLBERGER LukasBORA - hansgrohe,30,BORA - hansgrohe,,5,",,8:33",omloop-het-nieuwsblad/2022,,
116,116,213,,APERS RubenSport Vlaanderen - Baloise,23,Sport Vlaanderen - Baloise,,5,",,8:33",omloop-het-nieuwsblad/2022,,
117,117,182,,BAYER TobiasAlpecin-Fenix,22,Alpecin-Fenix,,5,11:5611:56,omloop-het-nieuwsblad/2022,,
118,118,81,,GAMPER PatrickBORA - hansgrohe,25,BORA - hansgrohe,,5,",,11:56",omloop-het-nieuwsblad/2022,,
119,119,214,,MARIT ArneSport Vlaanderen - Baloise,23,Sport Vlaanderen - Baloise,,5,",,11:56",omloop-het-nieuwsblad/2022,,
120,120,16,,VAN DER SANDE ToshJumbo-Visma,31,Jumbo-Visma,,5,",,11:56",omloop-het-nieuwsblad/2022,,
121,121,66,,BASSO LeonardoAstana Qazaqstan Team,28,Astana Qazaqstan Team,,5,",,11:56",omloop-het-nieuwsblad/2022,,
122,122,61,,MOSCON GianniAstana Qazaqstan Team,27,Astana Qazaqstan Team,,5,",,11:56",omloop-het-nieuwsblad/2022,,
123,123,27,,SWEENY HarryLotto Soudal,23,Lotto Soudal,,5,",,11:56",omloop-het-nieuwsblad/2022,,
124,124,194,,LEMOINE CyrilB&B Hotels - KTM,38,B&B Hotels - KTM,,5,",,11:56",omloop-het-nieuwsblad/2022,,
125,DNF,43,,NAESEN LawrenceAG2R Citroën Team,29,AG2R Citroën Team,,,-,omloop-het-nieuwsblad/2022,,
126,DNF,186,,BALLERSTEDT MauriceAlpecin-Fenix,21,Alpecin-Fenix,,,-,omloop-het-nieuwsblad/2022,,
127,DNF,97,,SAJNOK SzymonCofidis,24,Cofidis,,,-,omloop-het-nieuwsblad/2022,,
128,DNF,93,,ALLEGAERT PietCofidis,27,Cofidis,,,-,omloop-het-nieuwsblad/2022,,
129,DNF,94,,FINÉ EddyCofidis,24,Cofidis,,,-,omloop-het-nieuwsblad/2022,,
130,DNF,95,,VANBILSEN KennethCofidis,31,Cofidis,,,-,omloop-het-nieuwsblad/2022,,
131,DNF,235,,SOUPE GeoffreyTotalEnergies,33,TotalEnergies,,,-,omloop-het-nieuwsblad/2022,,
132,DNF,236,,LAWLESS ChrisTotalEnergies,26,TotalEnergies,,,-,omloop-het-nieuwsblad/2022,,
133,DNF,237,,TURGIS AnthonyTotalEnergies,27,TotalEnergies,,,-,omloop-het-nieuwsblad/2022,,
134,DNF,232,,BOASSON HAGEN EdvaldTotalEnergies,34,TotalEnergies,,,-,omloop-het-nieuwsblad/2022,,
135,DNF,117,,DUCHESNE AntoineGroupama - FDJ,30,Groupama - FDJ,,,-,omloop-het-nieuwsblad/2022,,
136,DNF,151,,CRADDOCK LawsonTeam BikeExchange - Jayco,30,Team BikeExchange - Jayco,,,-,omloop-het-nieuwsblad/2022,,
137,DNF,152,,DURBRIDGE LukeTeam BikeExchange - Jayco,30,Team BikeExchange - Jayco,,,-,omloop-het-nieuwsblad/2022,,
138,DNF,153,,KONYCHEV AlexanderTeam BikeExchange - Jayco,23,Team BikeExchange - Jayco,,,-,omloop-het-nieuwsblad/2022,,
139,DNF,172,,COVI AlessandroUAE Team Emirates,23,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2022,,
140,DNF,175,,TROIA OlivieroUAE Team Emirates,27,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2022,,
141,DNF,171,,GAVIRIA FernandoUAE Team Emirates,27,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2022,,
142,DNF,55,,HOELGAARD MarkusTrek - Segafredo,27,Trek - Segafredo,,,-,omloop-het-nieuwsblad/2022,,
143,DNF,2,,VAN LERBERGHE BertQuick-Step Alpha Vinyl Team,29,Quick-Step Alpha Vinyl Team,,,-,omloop-het-nieuwsblad/2022,,
144,DNF,3,,ČERNÝ JosefQuick-Step Alpha Vinyl Team,28,Quick-Step Alpha Vinyl Team,,,-,omloop-het-nieuwsblad/2022,,
145,DNF,4,,KEISSE IljoQuick-Step Alpha Vinyl Team,39,Quick-Step Alpha Vinyl Team,,,-,omloop-het-nieuwsblad/2022,,
146,DNF,13,,AFFINI EdoardoJumbo-Visma,25,Jumbo-Visma,,,-,omloop-het-nieuwsblad/2022,,
147,DNF,162,,MAYRHOFER MariusTeam DSM,21,Team DSM,,,-,omloop-het-nieuwsblad/2022,,
148,DNF,166,,ARNDT NikiasTeam DSM,30,Team DSM,,,-,omloop-het-nieuwsblad/2022,,
149,DNF,167,,HEINSCHKE LeonTeam DSM,22,Team DSM,,,-,omloop-het-nieuwsblad/2022,,
150,DNF,65,,LUTSENKO AlexeyAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2022,,
151,DNF,67,,MARTINELLI DavideAstana Qazaqstan Team,28,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2022,,
152,DNF,62,,FEDOROV YevgeniyAstana Qazaqstan Team,22,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2022,,
153,DNF,63,,GAZZOLI MicheleAstana Qazaqstan Team,22,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2022,,
154,DNF,87,,SCHELLING IdeBORA - hansgrohe,24,BORA - hansgrohe,,,-,omloop-het-nieuwsblad/2022,,
155,DNF,82,,HALLER MarcoBORA - hansgrohe,30,BORA - hansgrohe,,,-,omloop-het-nieuwsblad/2022,,
156,DNF,241,,ABRAHAMSEN JonasUno-X Pro Cycling Team,26,Uno-X Pro Cycling Team,,,-,omloop-het-nieuwsblad/2022,,
157,DNF,123,,WURF CameronINEOS Grenadiers,38,INEOS Grenadiers,,,-,omloop-het-nieuwsblad/2022,,
158,DNF,206,,ROBEET LudovicBingoal Pauwels Sauces WB,27,Bingoal Pauwels Sauces WB,,,-,omloop-het-nieuwsblad/2022,,
159,DNF,207,,PAASSCHENS MathijsBingoal Pauwels Sauces WB,25,Bingoal Pauwels Sauces WB,,,-,omloop-het-nieuwsblad/2022,,
160,DNF,145,,JACOBS JohanMovistar Team,24,Movistar Team,,,-,omloop-het-nieuwsblad/2022,,
161,DNF,134,,STRONG CorbinIsrael - Premier Tech,21,Israel - Premier Tech,,,-,omloop-het-nieuwsblad/2022,,
162,DNF,73,,BAUHAUS PhilBahrain - Victorious,27,Bahrain - Victorious,,,-,omloop-het-nieuwsblad/2022,,
163,DNF,107,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,30,EF Education-EasyPost,,,-,omloop-het-nieuwsblad/2022,,
164,DNF,102,,VALGREN MichaelEF Education-EasyPost,30,EF Education-EasyPost,,,-,omloop-het-nieuwsblad/2022,,
165,DNF,105,,SCULLY TomEF Education-EasyPost,32,EF Education-EasyPost,,,-,omloop-het-nieuwsblad/2022,,
166,DNF,106,,VAN DEN BERG JuliusEF Education-EasyPost,25,EF Education-EasyPost,,,-,omloop-het-nieuwsblad/2022,,
167,DNF,192,,JAUREGUI QuentinB&B Hotels - KTM,27,B&B Hotels - KTM,,,-,omloop-het-nieuwsblad/2022,,
168,DNF,191,,BARTHE CyrilB&B Hotels - KTM,26,B&B Hotels - KTM,,,-,omloop-het-nieuwsblad/2022,,
169,DNS,163,,EEKHOFF NilsTeam DSM,24,Team DSM,,,-,omloop-het-nieuwsblad/2022,,
170,DNS,26,,WELLENS TimLotto Soudal,30,Lotto Soudal,,,-,omloop-het-nieuwsblad/2022,,
171,DNS,131,,VANMARCKE SepIsrael - Premier Tech,33,Israel - Premier Tech,,,-,omloop-het-nieuwsblad/2022,,
172,,,,,,,,,,strade-bianche/2022,,
173,1,211,,POGAČAR TadejUAE Team Emirates,23,UAE Team Emirates,300,225,4:47:49,strade-bianche/2022,,
174,2,161,,VALVERDE AlejandroMovistar Team,41,Movistar Team,250,150,0:370:37,strade-bianche/2022,,
175,3,2,,ASGREEN KasperQuick-Step Alpha Vinyl Team,27,Quick-Step Alpha Vinyl Team,215,110,0:460:46,strade-bianche/2022,,
176,4,107,,VALTER AttilaGroupama - FDJ,23,Groupama - FDJ,175,90,1:071:07,strade-bianche/2022,,
177,5,42,,BILBAO PelloBahrain - Victorious,32,Bahrain - Victorious,120,80,1:091:09,strade-bianche/2022,,
178,6,113,,NARVÁEZ JhonatanINEOS Grenadiers,25,INEOS Grenadiers,115,70,",,1:09",strade-bianche/2022,,
179,7,205,,SIMMONS QuinnTrek - Segafredo,20,Trek - Segafredo,95,60,1:211:21,strade-bianche/2022,,
180,8,151,,WELLENS TimLotto Soudal,30,Lotto Soudal,75,50,1:251:25,strade-bianche/2022,,
181,9,124,,PETILLI SimoneIntermarché - Wanty - Gobert Matériaux,28,Intermarché - Wanty - Gobert Matériaux,60,46,1:351:35,strade-bianche/2022,,
182,10,63,,HIGUITA SergioBORA - hansgrohe,24,BORA - hansgrohe,50,42,1:531:53,strade-bianche/2022,,
183,11,81,,VALGREN MichaelEF Education-EasyPost,30,EF Education-EasyPost,40,38,1:561:56,strade-bianche/2022,,
184,12,21,,DE TIER FlorisAlpecin-Fenix,30,Alpecin-Fenix,35,34,1:571:57,strade-bianche/2022,,
185,13,126,,ROTA LorenzoIntermarché - Wanty - Gobert Matériaux,26,Intermarché - Wanty - Gobert Matériaux,30,30,",,1:57",strade-bianche/2022,,
186,14,106,,REICHENBACH SébastienGroupama - FDJ,32,Groupama - FDJ,25,26,",,1:57",strade-bianche/2022,,
187,15,83,,GUERREIRO RubenEF Education-EasyPost,27,EF Education-EasyPost,20,22,",,1:57",strade-bianche/2022,,
188,16,206,,SKUJIŅŠ TomsTrek - Segafredo,30,Trek - Segafredo,20,20,2:002:00,strade-bianche/2022,,
189,17,16,,VENDRAME AndreaAG2R Citroën Team,27,AG2R Citroën Team,20,18,2:022:02,strade-bianche/2022,,
190,18,64,,HINDLEY JaiBORA - hansgrohe,25,BORA - hansgrohe,20,17,2:032:03,strade-bianche/2022,,
191,19,56,,ZANA FilippoBardiani-CSF-Faizanè,22,Bardiani-CSF-Faizanè,20,16,2:052:05,strade-bianche/2022,,
192,20,114,,RODRÍGUEZ CarlosINEOS Grenadiers,21,INEOS Grenadiers,20,15,2:072:07,strade-bianche/2022,,
193,21,37,,VELASCO SimoneAstana Qazaqstan Team,26,Astana Qazaqstan Team,12,14,",,2:07",strade-bianche/2022,,
194,22,23,,MEURISSE XandroAlpecin-Fenix,30,Alpecin-Fenix,12,13,2:092:09,strade-bianche/2022,,
195,23,217,,ULISSI DiegoUAE Team Emirates,32,UAE Team Emirates,12,12,2:142:14,strade-bianche/2022,,
196,24,154,,KRON AndreasLotto Soudal,23,Lotto Soudal,12,11,2:182:18,strade-bianche/2022,,
197,25,91,,ALBANESE VincenzoEOLO-Kometa,25,EOLO-Kometa,12,10,2:232:23,strade-bianche/2022,,
198,26,134,,CLARKE SimonIsrael - Premier Tech,35,Israel - Premier Tech,12,9,2:292:29,strade-bianche/2022,,
199,27,171,,BARGUIL WarrenTeam Arkéa Samsic,30,Team Arkéa Samsic,12,8,4:054:05,strade-bianche/2022,,
200,28,213,,COVI AlessandroUAE Team Emirates,23,UAE Team Emirates,12,7,",,4:05",strade-bianche/2022,,
201,29,14,,COSNEFROY BenoîtAG2R Citroën Team,26,AG2R Citroën Team,12,6,",,4:05",strade-bianche/2022,,
202,30,112,,CARAPAZ RichardINEOS Grenadiers,28,INEOS Grenadiers,12,5,",,4:05",strade-bianche/2022,,
