,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code,,Avg
0,,,,,,,,,,omloop-het-nieuwsblad/2022,,
1,1,11,,VAN AERT WoutJumbo-Visma,27,Jumbo-Visma,300,225,4:50:46,omloop-het-nieuwsblad/2022,,
2,2,71,,COLBRELLI SonnyBahrain - Victorious,31,Bahrain - Victorious,250,150,0:220:22,omloop-het-nieuwsblad/2022,,
3,3,41,,VAN AVERMAET GregAG2R Citroën Team,36,AG2R Citroën Team,215,110,",,0:22",omloop-het-nieuwsblad/2022,,
4,4,42,,NAESEN OliverAG2R Citroën Team,31,AG2R Citroën Team,175,90,",,0:22",omloop-het-nieuwsblad/2022,,
5,5,22,,CAMPENAERTS VictorLotto Soudal,30,Lotto Soudal,120,80,",,0:22",omloop-het-nieuwsblad/2022,,
6,6,247,,TILLER RasmusUno-X Pro Cycling Team,25,Uno-X Pro Cycling Team,115,70,",,0:22",omloop-het-nieuwsblad/2022,,
7,7,177,,TRENTIN MatteoUAE Team Emirates,32,UAE Team Emirates,95,60,",,0:22",omloop-het-nieuwsblad/2022,,
8,8,34,,PASQUALON AndreaIntermarché - Wanty - Gobert Matériaux,34,Intermarché - Wanty - Gobert Matériaux,75,50,",,0:22",omloop-het-nieuwsblad/2022,,
9,9,6,,SÉNÉCHAL FlorianQuick-Step Alpha Vinyl Team,28,Quick-Step Alpha Vinyl Team,60,46,",,0:22",omloop-het-nieuwsblad/2022,,
10,10,51,,STUYVEN JasperTrek - Segafredo,29,Trek - Segafredo,50,42,",,0:22",omloop-het-nieuwsblad/2022,,
11,11,133,,CLARKE SimonIsrael - Premier Tech,35,Israel - Premier Tech,40,38,0:250:25,omloop-het-nieuwsblad/2022,,
12,12,113,,KÜNG StefanGroupama - FDJ,28,Groupama - FDJ,35,34,",,0:25",omloop-het-nieuwsblad/2022,,
13,13,141,,ARANBURU AlexMovistar Team,26,Movistar Team,30,30,",,0:25",omloop-het-nieuwsblad/2022,,
14,14,223,,LOUVEL MatisTeam Arkéa Samsic,22,Team Arkéa Samsic,25,26,",,0:25",omloop-het-nieuwsblad/2022,,
15,15,53,,KIRSCH AlexTrek - Segafredo,29,Trek - Segafredo,20,22,",,0:25",omloop-het-nieuwsblad/2022,,
16,16,103,,DOULL OwainEF Education-EasyPost,28,EF Education-EasyPost,20,20,",,0:25",omloop-het-nieuwsblad/2022,,
17,17,74,,MOHORIČ MatejBahrain - Victorious,27,Bahrain - Victorious,20,18,",,0:25",omloop-het-nieuwsblad/2022,,
18,18,121,,PIDCOCK ThomasINEOS Grenadiers,22,INEOS Grenadiers,20,17,0:270:27,omloop-het-nieuwsblad/2022,,
19,19,116,,LUDVIGSSON TobiasGroupama - FDJ,31,Groupama - FDJ,20,16,0:320:32,omloop-het-nieuwsblad/2022,,
20,20,77,,WRIGHT FredBahrain - Victorious,22,Bahrain - Victorious,20,15,0:420:42,omloop-het-nieuwsblad/2022,,
21,21,122,,HAYTER EthanINEOS Grenadiers,23,INEOS Grenadiers,12,14,1:201:20,omloop-het-nieuwsblad/2022,,
22,22,72,,HAUSSLER HeinrichBahrain - Victorious,38,Bahrain - Victorious,12,13,1:301:30,omloop-het-nieuwsblad/2022,,
23,23,221,,CAPIOT AmauryTeam Arkéa Samsic,28,Team Arkéa Samsic,12,12,",,1:30",omloop-het-nieuwsblad/2022,,
24,24,14,,TEUNISSEN MikeJumbo-Visma,29,Jumbo-Visma,12,11,",,1:30",omloop-het-nieuwsblad/2022,,
25,25,233,,VAN GESTEL DriesTotalEnergies,27,TotalEnergies,12,10,",,1:30",omloop-het-nieuwsblad/2022,,
26,26,196,,MOZZATO LucaB&B Hotels - KTM,24,B&B Hotels - KTM,12,9,",,1:30",omloop-het-nieuwsblad/2022,,
27,27,85,,POLITT NilsBORA - hansgrohe,27,BORA - hansgrohe,12,8,",,1:30",omloop-het-nieuwsblad/2022,,
28,28,242,,DVERSNES FredrikUno-X Pro Cycling Team,24,Uno-X Pro Cycling Team,12,7,",,1:30",omloop-het-nieuwsblad/2022,,
29,29,202,,LIVYNS ArjenBingoal Pauwels Sauces WB,27,Bingoal Pauwels Sauces WB,12,6,",,1:30",omloop-het-nieuwsblad/2022,,
30,30,143,,GARCÍA CORTINA IvánMovistar Team,26,Movistar Team,12,5,",,1:30",omloop-het-nieuwsblad/2022,,
31,31,181,,DE BONDT DriesAlpecin-Fenix,30,Alpecin-Fenix,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
32,32,23,,DE BUYST JasperLotto Soudal,28,Lotto Soudal,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
33,33,132,,BOIVIN GuillaumeIsrael - Premier Tech,32,Israel - Premier Tech,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
34,34,124,,NARVÁEZ JhonatanINEOS Grenadiers,24,INEOS Grenadiers,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
35,35,227,,SWIFT ConnorTeam Arkéa Samsic,26,Team Arkéa Samsic,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
36,36,197,,WARLOP JordiB&B Hotels - KTM,25,B&B Hotels - KTM,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
37,37,137,,BIERMANS JentheIsrael - Premier Tech,26,Israel - Premier Tech,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
38,38,115,,LIENHARD FabianGroupama - FDJ,28,Groupama - FDJ,5,5,",,1:30",omloop-het-nieuwsblad/2022,,
