,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code,,Avg
0,,,,,,,,,,great-ocean-race/2019,,
1,1,11,,VIVIANI EliaDeceuninck - Quick Step,29,Deceuninck - Quick Step,300,225,3:54:35,great-ocean-race/2019,,
2,2,111,,EWAN CalebLotto Soudal,24,Lotto Soudal,250,150,",,0:00",great-ocean-race/2019,,
3,3,41,,IMPEY DarylMitchelton-Scott,34,Mitchelton-Scott,215,110,",,0:00",great-ocean-race/2019,,
4,4,144,,GIBBONS RyanTeam Dimension Data,24,Team Dimension Data,175,90,",,0:00",great-ocean-race/2019,,
5,5,132,,DEBUSSCHERE JensTeam Katusha Alpecin,29,Team Katusha Alpecin,120,80,",,0:00",great-ocean-race/2019,,
6,6,25,,ROWE LukeTeam Sky,28,Team Sky,115,70,",,0:00",great-ocean-race/2019,,
7,7,16,,MØRKØV MichaelDeceuninck - Quick Step,33,Deceuninck - Quick Step,95,60,",,0:00",great-ocean-race/2019,,
8,8,1,,MCCARTHY JayBORA - hansgrohe,26,BORA - hansgrohe,75,50,",,0:00",great-ocean-race/2019,,
9,9,22,,DOULL OwainTeam Sky,25,Team Sky,60,46,",,0:00",great-ocean-race/2019,,
10,10,51,,SÁNCHEZ Luis LeónAstana Pro Team,35,Astana Pro Team,50,42,",,0:00",great-ocean-race/2019,,
11,11,84,,COSNEFROY BenoîtAG2R La Mondiale,23,AG2R La Mondiale,40,38,",,0:00",great-ocean-race/2019,,
12,12,72,,GESINK RobertTeam Jumbo-Visma,32,Team Jumbo-Visma,35,34,",,0:00",great-ocean-race/2019,,
13,13,91,,ULISSI DiegoUAE Team Emirates,29,UAE Team Emirates,30,30,",,0:00",great-ocean-race/2019,,
14,14,23,,ELISSONDE KennyTeam Sky,27,Team Sky,25,26,",,0:00",great-ocean-race/2019,,
15,15,133,,GUERREIRO RubenTeam Katusha Alpecin,24,Team Katusha Alpecin,20,22,",,0:00",great-ocean-race/2019,,
16,16,63,,HAMILTON ChrisTeam Sunweb,23,Team Sunweb,20,20,",,0:00",great-ocean-race/2019,,
17,17,21,,POELS WoutTeam Sky,31,Team Sky,20,18,",,0:00",great-ocean-race/2019,,
18,18,92,,BYSTRØM Sven ErikUAE Team Emirates,27,UAE Team Emirates,20,17,",,0:00",great-ocean-race/2019,,
19,19,122,,BETTIOL AlbertoEF Education First,25,EF Education First,20,16,",,0:00",great-ocean-race/2019,,
20,20,85,,DENZ NicoAG2R La Mondiale,24,AG2R La Mondiale,20,15,",,0:00",great-ocean-race/2019,,
21,21,97,,POLANC JanUAE Team Emirates,26,UAE Team Emirates,12,14,",,0:00",great-ocean-race/2019,,
22,22,154,,SUNDERLAND DylanKorda Mentha Real Estate Australia,22,Korda Mentha Real Estate Australia,12,13,",,0:00",great-ocean-race/2019,,
23,23,141,,VALGREN MichaelTeam Dimension Data,26,Team Dimension Data,12,12,",,0:00",great-ocean-race/2019,,
24,24,35,,ROSSKOPF JoeyCCC Team,29,CCC Team,12,11,",,0:00",great-ocean-race/2019,,
25,25,71,,BENNETT GeorgeTeam Jumbo-Visma,28,Team Jumbo-Visma,12,10,",,0:00",great-ocean-race/2019,,
26,26,83,,CHEVRIER ClémentAG2R La Mondiale,26,AG2R La Mondiale,12,9,",,0:00",great-ocean-race/2019,,
27,27,81,,LATOUR PierreAG2R La Mondiale,25,AG2R La Mondiale,12,8,",,0:00",great-ocean-race/2019,,
28,28,64,,HINDLEY JaiTeam Sunweb,22,Team Sunweb,12,7,",,0:00",great-ocean-race/2019,,
29,29,101,,PORTE RichieTrek - Segafredo,33,Trek - Segafredo,12,6,",,0:00",great-ocean-race/2019,,
30,30,136,,KUZNETSOV ViacheslavTeam Katusha Alpecin,29,Team Katusha Alpecin,12,5,",,0:00",great-ocean-race/2019,,
31,31,121,,WOODS MichaelEF Education First,32,EF Education First,5,5,",,0:00",great-ocean-race/2019,,
32,32,147,,SLAGTER Tom-JelteTeam Dimension Data,29,Team Dimension Data,5,5,",,0:00",great-ocean-race/2019,,
33,33,46,,HAMILTON LucasMitchelton-Scott,22,Mitchelton-Scott,5,5,",,0:00",great-ocean-race/2019,,
34,34,12,,CAVAGNA RémiDeceuninck - Quick Step,23,Deceuninck - Quick Step,5,5,0:110:11,great-ocean-race/2019,,
35,35,126,,SCULLY TomEF Education First,29,EF Education First,5,5,0:130:13,great-ocean-race/2019,,
36,36,26,,SIVAKOV PavelTeam Sky,21,Team Sky,5,5,0:150:15,great-ocean-race/2019,,
37,37,45,,SMITH DionMitchelton-Scott,25,Mitchelton-Scott,5,5,0:250:25,great-ocean-race/2019,,
38,38,44,,EDMONDSON AlexMitchelton-Scott,25,Mitchelton-Scott,5,5,",,0:25",great-ocean-race/2019,,
39,39,135,,HALLER MarcoTeam Katusha Alpecin,27,Team Katusha Alpecin,5,5,0:270:27,great-ocean-race/2019,,
40,40,5,,OSS DanielBORA - hansgrohe,32,BORA - hansgrohe,5,5,0:380:38,great-ocean-race/2019,,
41,41,13,,DEVENYNS DriesDeceuninck - Quick Step,35,Deceuninck - Quick Step,5,5,0:450:45,great-ocean-race/2019,,
42,42,27,,VAN BAARLE DylanTeam Sky,26,Team Sky,5,5,0:550:55,great-ocean-race/2019,,
43,43,52,,BALLERINI DavideAstana Pro Team,24,Astana Pro Team,5,5,1:041:04,great-ocean-race/2019,,
44,44,96,,POGAČAR TadejUAE Team Emirates,20,UAE Team Emirates,5,5,",,1:04",great-ocean-race/2019,,
45,45,95,,PHILIPSEN JasperUAE Team Emirates,20,UAE Team Emirates,5,5,",,1:04",great-ocean-race/2019,,
46,46,61,,BOL CeesTeam Sunweb,23,Team Sunweb,5,5,",,1:04",great-ocean-race/2019,,
47,47,34,,OWSIAN ŁukaszCCC Team,28,CCC Team,5,5,1:131:13,great-ocean-race/2019,,
48,48,37,,SAJNOK SzymonCCC Team,21,CCC Team,5,5,",,1:13",great-ocean-race/2019,,
49,49,36,,VENTOSO Francisco JoséCCC Team,36,CCC Team,5,5,",,1:13",great-ocean-race/2019,,
50,50,24,,KNEES ChristianTeam Sky,37,Team Sky,5,5,",,1:13",great-ocean-race/2019,,
51,51,106,,REIJNEN KielTrek - Segafredo,32,Trek - Segafredo,2,5,",,1:13",great-ocean-race/2019,,
52,52,55,,FOMINYKH DaniilAstana Pro Team,27,Astana Pro Team,2,5,",,1:13",great-ocean-race/2019,,
53,53,114,,HAGEN Carl FredrikLotto Soudal,27,Lotto Soudal,2,5,",,1:13",great-ocean-race/2019,,
54,54,125,,MORTON LachlanEF Education First,27,EF Education First,2,5,",,1:13",great-ocean-race/2019,,
