,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code
0,,,,,,,,,,great-ocean-race/2023
1,1,94,,MAYRHOFER MariusTeam DSM,22,Team DSM,300,225,4:15:11,great-ocean-race/2023
2,2,53,,PAGE HugoIntermarché - Circus - Wanty,21,Intermarché - Circus - Wanty,250,150,",,0:00",great-ocean-race/2023
3,3,113,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,215,110,",,0:00",great-ocean-race/2023
4,4,86,,MATTHEWS MichaelTeam Jayco AlUla,32,Team Jayco AlUla,175,90,",,0:00",great-ocean-race/2023
5,5,112,,STRONG CorbinIsrael - Premier Tech,22,Israel - Premier Tech,120,80,",,0:00",great-ocean-race/2023
6,6,131,,EWAN CalebUniSA-Australia,28,UniSA-Australia,115,70,",,0:00",great-ocean-race/2023
7,7,57,,SMITH DionIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,95,60,",,0:00",great-ocean-race/2023
8,8,65,,HIRSCHI MarcUAE Team Emirates,24,UAE Team Emirates,75,50,",,0:00",great-ocean-race/2023
9,9,62,,BENNETT GeorgeUAE Team Emirates,32,UAE Team Emirates,60,46,",,0:00",great-ocean-race/2023
10,10,34,,QUINN SeanEF Education-EasyPost,22,EF Education-EasyPost,50,42,",,0:00",great-ocean-race/2023
11,11,77,,LEDANOIS KévinTeam Arkéa Samsic,29,Team Arkéa Samsic,40,38,",,0:00",great-ocean-race/2023
12,12,127,,GATE AaronBolton Equities Black Spoke,32,Bolton Equities Black Spoke,35,34,",,0:00",great-ocean-race/2023
13,13,106,,TESFATSION NatnaelTrek - Segafredo,23,Trek - Segafredo,30,30,",,0:00",great-ocean-race/2023
14,14,5,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,25,26,",,0:00",great-ocean-race/2023
15,15,44,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,20,22,",,0:00",great-ocean-race/2023
16,16,107,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,20,20,",,0:00",great-ocean-race/2023
17,17,32,,HONORÉ Mikkel FrølichEF Education-EasyPost,26,EF Education-EasyPost,20,18,",,0:00",great-ocean-race/2023
18,18,26,,SCHACHMANN MaximilianBORA - hansgrohe,29,BORA - hansgrohe,20,17,",,0:00",great-ocean-race/2023
19,19,103,,GALLOPIN TonyTrek - Segafredo,34,Trek - Segafredo,20,16,",,0:00",great-ocean-race/2023
20,20,121,,FOUCHÉ JamesBolton Equities Black Spoke,24,Bolton Equities Black Spoke,20,15,",,0:00",great-ocean-race/2023
21,21,85,,O'BRIEN KellandTeam Jayco AlUla,24,Team Jayco AlUla,12,14,",,0:00",great-ocean-race/2023
22,22,22,,HALLER MarcoBORA - hansgrohe,31,BORA - hansgrohe,12,13,",,0:00",great-ocean-race/2023
23,23,71,,GESBERT ÉlieTeam Arkéa Samsic,27,Team Arkéa Samsic,12,12,",,0:00",great-ocean-race/2023
24,24,51,,BYSTRØM Sven ErikIntermarché - Circus - Wanty,31,Intermarché - Circus - Wanty,12,11,",,0:00",great-ocean-race/2023
25,25,17,,TOUZÉ DamienAG2R Citroën Team,26,AG2R Citroën Team,12,10,",,0:00",great-ocean-race/2023
26,26,111,,IMPEY DarylIsrael - Premier Tech,38,Israel - Premier Tech,12,9,0:060:06,great-ocean-race/2023
27,27,14,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,12,8,0:080:08,great-ocean-race/2023
28,28,66,,VINE JayUAE Team Emirates,27,UAE Team Emirates,12,7,",,0:08",great-ocean-race/2023
29,29,122,,ORAM JamesBolton Equities Black Spoke,29,Bolton Equities Black Spoke,12,6,",,0:08",great-ocean-race/2023
30,30,92,,DINHAM MatthewTeam DSM,22,Team DSM,12,5,",,0:08",great-ocean-race/2023
31,31,31,,BETTIOL AlbertoEF Education-EasyPost,29,EF Education-EasyPost,5,5,",,0:08",great-ocean-race/2023
32,32,23,,HINDLEY JaiBORA - hansgrohe,26,BORA - hansgrohe,5,5,",,0:08",great-ocean-race/2023
33,33,115,,BERWICK SebastianIsrael - Premier Tech,23,Israel - Premier Tech,5,5,",,0:08",great-ocean-race/2023
34,34,33,,KEUKELEIRE JensEF Education-EasyPost,34,EF Education-EasyPost,5,5,0:180:18,great-ocean-race/2023
35,35,15,,PETERS NansAG2R Citroën Team,28,AG2R Citroën Team,5,5,1:091:09,great-ocean-race/2023
36,36,82,,HAMILTON LucasTeam Jayco AlUla,26,Team Jayco AlUla,5,5,1:111:11,great-ocean-race/2023
37,37,64,,FISHER-BLACK FinnUAE Team Emirates,21,UAE Team Emirates,5,5,",,1:11",great-ocean-race/2023
38,38,6,,STEIMLE JannikSoudal - Quick Step,26,Soudal - Quick Step,5,5,1:291:29,great-ocean-race/2023
39,39,16,,SCHÄR MichaelAG2R Citroën Team,36,AG2R Citroën Team,5,5,",,1:29",great-ocean-race/2023
40,40,101,,BARONCINI FilippoTrek - Segafredo,22,Trek - Segafredo,5,5,",,1:29",great-ocean-race/2023
41,41,25,,MEEUS JordiBORA - hansgrohe,24,BORA - hansgrohe,5,5,",,1:29",great-ocean-race/2023
42,42,63,,COVI AlessandroUAE Team Emirates,24,UAE Team Emirates,5,5,",,1:29",great-ocean-race/2023
43,43,123,,CURRIE LoganBolton Equities Black Spoke,21,Bolton Equities Black Spoke,5,5,",,1:29",great-ocean-race/2023
44,44,2,,VAN TRICHT StanSoudal - Quick Step,23,Soudal - Quick Step,5,5,1:451:45,great-ocean-race/2023
45,45,12,,BAUDIN AlexAG2R Citroën Team,21,AG2R Citroën Team,5,5,1:461:46,great-ocean-race/2023
46,46,11,,O'CONNOR BenAG2R Citroën Team,27,AG2R Citroën Team,5,5,",,1:46",great-ocean-race/2023
47,47,87,,YATES SimonTeam Jayco AlUla,30,Team Jayco AlUla,5,5,2:032:03,great-ocean-race/2023
48,48,134,,WALSH LiamUniSA-Australia,21,UniSA-Australia,5,5,2:172:17,great-ocean-race/2023
49,49,61,,BAX SjoerdUAE Team Emirates,27,UAE Team Emirates,5,5,",,2:17",great-ocean-race/2023
50,50,137,,SCHULTZ ElliotUniSA-Australia,22,UniSA-Australia,5,5,",,2:17",great-ocean-race/2023
51,51,93,,HAMILTON ChrisTeam DSM,27,Team DSM,2,5,3:123:12,great-ocean-race/2023
52,52,13,,GODON DorianAG2R Citroën Team,26,AG2R Citroën Team,2,5,0:000:00,great-ocean-race/2023
53,53,27,,ALEOTTI GiovanniBORA - hansgrohe,23,BORA - hansgrohe,2,5,3:223:22,great-ocean-race/2023
54,54,73,,VERRE AlessandroTeam Arkéa Samsic,21,Team Arkéa Samsic,2,5,3:393:39,great-ocean-race/2023
55,55,76,,OWSIAN ŁukaszTeam Arkéa Samsic,32,Team Arkéa Samsic,2,5,",,3:39",great-ocean-race/2023
56,56,35,,RUTSCH JonasEF Education-EasyPost,25,EF Education-EasyPost,1,5,",,3:39",great-ocean-race/2023
57,57,46,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,1,5,",,3:39",great-ocean-race/2023
58,58,97,,TUSVELD MartijnTeam DSM,29,Team DSM,1,5,",,3:39",great-ocean-race/2023
59,59,95,,COMBAUD RomainTeam DSM,31,Team DSM,1,5,",,3:39",great-ocean-race/2023
60,60,75,,HOFSTETTER HugoTeam Arkéa Samsic,28,Team Arkéa Samsic,1,5,",,3:39",great-ocean-race/2023
61,61,4,,KNOX JamesSoudal - Quick Step,27,Soudal - Quick Step,,5,3:443:44,great-ocean-race/2023
62,62,117,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,5,",,3:44",great-ocean-race/2023
63,63,132,,DRIZNERS JarradUniSA-Australia,23,UniSA-Australia,,5,",,3:44",great-ocean-race/2023
64,64,135,,RICHARDS KaneUniSA-Australia,26,UniSA-Australia,,5,",,3:44",great-ocean-race/2023
65,65,42,,HAYTER LeoINEOS Grenadiers,21,INEOS Grenadiers,,5,3:503:50,great-ocean-race/2023
66,66,72,,LE BERRE MathisTeam Arkéa Samsic,21,Team Arkéa Samsic,,5,4:484:48,great-ocean-race/2023
67,67,105,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,,5,6:146:14,great-ocean-race/2023
68,68,125,,SEXTON TomBolton Equities Black Spoke,24,Bolton Equities Black Spoke,,5,",,6:14",great-ocean-race/2023
69,69,136,,TREZISE DeclanUniSA-Australia,20,UniSA-Australia,,5,6:206:20,great-ocean-race/2023
70,70,74,,COSTIOU EwenTeam Arkéa Samsic,20,Team Arkéa Samsic,,5,",,6:20",great-ocean-race/2023
71,71,43,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,,5,",,6:20",great-ocean-race/2023
72,72,81,,DURBRIDGE LukeTeam Jayco AlUla,31,Team Jayco AlUla,,5,",,6:20",great-ocean-race/2023
73,73,83,,HEPBURN MichaelTeam Jayco AlUla,31,Team Jayco AlUla,,5,",,6:20",great-ocean-race/2023
74,74,56,,VAN POPPEL BoyIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,5,",,6:20",great-ocean-race/2023
75,75,133,,MARRIAGE ZacUniSA-Australia,19,UniSA-Australia,,5,",,6:20",great-ocean-race/2023
76,76,52,,JOHANSEN JuliusIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,5,8:318:31,great-ocean-race/2023
77,77,96,,NABERMAN TimTeam DSM,23,Team DSM,,5,",,8:31",great-ocean-race/2023
78,78,124,,MUDGWAY LukeBolton Equities Black Spoke,26,Bolton Equities Black Spoke,,5,",,8:31",great-ocean-race/2023
79,79,55,,VAN DER HOORN TacoIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,5,",,8:31",great-ocean-race/2023
80,80,114,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,,5,12:4012:40,great-ocean-race/2023
81,81,54,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,5,",,12:40",great-ocean-race/2023
82,82,41,,HAYTER EthanINEOS Grenadiers,24,INEOS Grenadiers,,5,0:000:00,great-ocean-race/2023
83,83,3,,DEVENYNS DriesSoudal - Quick Step,39,Soudal - Quick Step,,5,",,0:00",great-ocean-race/2023
84,DNF,24,,LÜHRS Luis-JoeBORA - hansgrohe,20,BORA - hansgrohe,,,-,great-ocean-race/2023
85,DNF,126,,JACKSON GeorgeBolton Equities Black Spoke,22,Bolton Equities Black Spoke,,,-,great-ocean-race/2023
86,DNF,7,,SVRČEK MartinSoudal - Quick Step,19,Soudal - Quick Step,,,-,great-ocean-race/2023
87,DNF,84,,STEWART CampbellTeam Jayco AlUla,24,Team Jayco AlUla,,,-,great-ocean-race/2023
88,DNF,47,,WURF CameronINEOS Grenadiers,39,INEOS Grenadiers,,,-,great-ocean-race/2023
89,DNF,36,,SCULLY TomEF Education-EasyPost,33,EF Education-EasyPost,,,-,great-ocean-race/2023
90,DNF,21,,ARCHBOLD ShaneBORA - hansgrohe,33,BORA - hansgrohe,,,-,great-ocean-race/2023
91,DNF,116,,FROOME ChrisIsrael - Premier Tech,37,Israel - Premier Tech,,,-,great-ocean-race/2023
92,DNF,1,,CATTANEO MattiaSoudal - Quick Step,32,Soudal - Quick Step,,,-,great-ocean-race/2023
93,DNF,67,,VINK MichaelUAE Team Emirates,31,UAE Team Emirates,,,-,great-ocean-race/2023
94,DNF,37,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,-,great-ocean-race/2023
95,DNS,102,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,-,great-ocean-race/2023
96,DNS,104,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,-,great-ocean-race/2023
97,DNS,45,,SHEFFIELD MagnusINEOS Grenadiers,20,INEOS Grenadiers,,,-,great-ocean-race/2023
98,,,,,,,,,,omloop-het-nieuwsblad/2023
99,1,5,,VAN BAARLE DylanJumbo-Visma,30,Jumbo-Visma,300,225,4:54:49,omloop-het-nieuwsblad/2023
100,2,185,,DE LIE ArnaudLotto Dstny,20,Lotto Dstny,250,150,0:200:20,omloop-het-nieuwsblad/2023
101,3,3,,LAPORTE ChristopheJumbo-Visma,30,Jumbo-Visma,215,110,",,0:20",omloop-het-nieuwsblad/2023
102,4,241,,KRISTOFF AlexanderUno-X Pro Cycling Team,35,Uno-X Pro Cycling Team,175,90,",,0:20",omloop-het-nieuwsblad/2023
103,5,111,,PIDCOCK ThomasINEOS Grenadiers,23,INEOS Grenadiers,120,80,",,0:20",omloop-het-nieuwsblad/2023
104,6,12,,BALLERINI DavideSoudal - Quick Step,28,Soudal - Quick Step,115,70,",,0:20",omloop-het-nieuwsblad/2023
105,7,76,,POLITT NilsBORA - hansgrohe,28,BORA - hansgrohe,95,60,",,0:20",omloop-het-nieuwsblad/2023
106,8,64,,PASQUALON AndreaBahrain - Victorious,35,Bahrain - Victorious,75,50,",,0:20",omloop-het-nieuwsblad/2023
107,9,173,,OLIVEIRA RuiUAE Team Emirates,26,UAE Team Emirates,60,46,",,0:20",omloop-het-nieuwsblad/2023
108,10,191,,VANMARCKE SepIsrael - Premier Tech,34,Israel - Premier Tech,50,42,",,0:20",omloop-het-nieuwsblad/2023
109,11,26,,TEUNISSEN MikeIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,40,38,",,0:20",omloop-het-nieuwsblad/2023
110,12,87,,ALLEGAERT PietCofidis,28,Cofidis,35,34,",,0:20",omloop-het-nieuwsblad/2023
111,13,135,,LOUVEL MatisTeam Arkéa Samsic,23,Team Arkéa Samsic,30,30,",,0:20",omloop-het-nieuwsblad/2023
112,14,77,,SCHELLING IdeBORA - hansgrohe,25,BORA - hansgrohe,25,26,",,0:20",omloop-het-nieuwsblad/2023
113,15,1,,BENOOT TiesjJumbo-Visma,28,Jumbo-Visma,20,22,",,0:20",omloop-het-nieuwsblad/2023
114,16,92,,DOULL OwainEF Education-EasyPost,29,EF Education-EasyPost,20,20,",,0:20",omloop-het-nieuwsblad/2023
115,17,106,,STEWART JakeGroupama - FDJ,23,Groupama - FDJ,20,18,",,0:20",omloop-het-nieuwsblad/2023
116,18,124,,JORGENSON MatteoMovistar Team,23,Movistar Team,20,17,",,0:20",omloop-het-nieuwsblad/2023
117,19,42,,NAESEN OliverAG2R Citroën Team,32,AG2R Citroën Team,20,16,",,0:20",omloop-het-nieuwsblad/2023
118,20,93,,BISSEGGER StefanEF Education-EasyPost,24,EF Education-EasyPost,20,15,",,0:20",omloop-het-nieuwsblad/2023
119,21,61,,MOHORIČ MatejBahrain - Victorious,28,Bahrain - Victorious,12,14,",,0:20",omloop-het-nieuwsblad/2023
120,22,115,,SHEFFIELD MagnusINEOS Grenadiers,20,INEOS Grenadiers,12,13,",,0:20",omloop-het-nieuwsblad/2023
121,23,134,,LE BERRE MathisTeam Arkéa Samsic,21,Team Arkéa Samsic,12,12,",,0:20",omloop-het-nieuwsblad/2023
122,24,94,,RUTSCH JonasEF Education-EasyPost,25,EF Education-EasyPost,12,11,",,0:20",omloop-het-nieuwsblad/2023
123,25,101,,KÜNG StefanGroupama - FDJ,29,Groupama - FDJ,12,10,",,0:20",omloop-het-nieuwsblad/2023
124,26,171,,WELLENS TimUAE Team Emirates,31,UAE Team Emirates,12,9,",,0:20",omloop-het-nieuwsblad/2023
125,27,103,,GENIETS KevinGroupama - FDJ,26,Groupama - FDJ,12,8,0:280:28,omloop-het-nieuwsblad/2023
126,28,74,,KOCH JonasBORA - hansgrohe,29,BORA - hansgrohe,12,7,0:320:32,omloop-het-nieuwsblad/2023
127,29,97,,VAN DEN BERG JuliusEF Education-EasyPost,26,EF Education-EasyPost,12,6,0:370:37,omloop-het-nieuwsblad/2023
128,30,7,,VAN HOOYDONCK NathanJumbo-Visma,27,Jumbo-Visma,12,5,0:420:42,omloop-het-nieuwsblad/2023
129,31,247,,TILLER RasmusUno-X Pro Cycling Team,26,Uno-X Pro Cycling Team,5,5,0:580:58,omloop-het-nieuwsblad/2023
130,32,141,,DEGENKOLB JohnTeam DSM,34,Team DSM,5,5,1:421:42,omloop-het-nieuwsblad/2023
131,33,31,,PHILIPSEN JasperAlpecin-Deceuninck,24,Alpecin-Deceuninck,5,5,",,1:42",omloop-het-nieuwsblad/2023
132,34,41,,VAN AVERMAET GregAG2R Citroën Team,37,AG2R Citroën Team,5,5,",,1:42",omloop-het-nieuwsblad/2023
133,35,166,,THEUNS EdwardTrek - Segafredo,31,Trek - Segafredo,5,5,2:462:46,omloop-het-nieuwsblad/2023
134,36,63,,MILAN JonathanBahrain - Victorious,22,Bahrain - Victorious,5,5,",,2:46",omloop-het-nieuwsblad/2023
135,37,131,,BIERMANS JentheTeam Arkéa Samsic,27,Team Arkéa Samsic,5,5,",,2:46",omloop-het-nieuwsblad/2023
136,38,125,,KANTER MaxMovistar Team,25,Movistar Team,5,5,",,2:46",omloop-het-nieuwsblad/2023
137,39,146,,FLYNN SeanTeam DSM,22,Team DSM,5,5,",,2:46",omloop-het-nieuwsblad/2023
138,40,126,,MAS LluísMovistar Team,33,Movistar Team,5,5,",,2:46",omloop-het-nieuwsblad/2023
139,41,44,,DEWULF StanAG2R Citroën Team,25,AG2R Citroën Team,5,5,",,2:46",omloop-het-nieuwsblad/2023
140,42,143,,BITTNER PavelTeam DSM,20,Team DSM,5,5,",,2:46",omloop-het-nieuwsblad/2023
141,43,187,,VERMEERSCH FlorianLotto Dstny,23,Lotto Dstny,5,5,",,2:46",omloop-het-nieuwsblad/2023
142,44,32,,DE BONDT DriesAlpecin-Deceuninck,31,Alpecin-Deceuninck,5,5,",,2:46",omloop-het-nieuwsblad/2023
143,45,207,,VAN GESTEL DriesTotalEnergies,28,TotalEnergies,5,5,",,2:46",omloop-het-nieuwsblad/2023
144,46,246,,SKAARSETH AndersUno-X Pro Cycling Team,27,Uno-X Pro Cycling Team,5,5,",,2:46",omloop-het-nieuwsblad/2023
145,47,243,,URIANSTAD MartinUno-X Pro Cycling Team,24,Uno-X Pro Cycling Team,5,5,",,2:46",omloop-het-nieuwsblad/2023
146,48,186,,VAN MOER BrentLotto Dstny,25,Lotto Dstny,5,5,",,2:46",omloop-het-nieuwsblad/2023
147,49,245,,RESELL Erik NordsæterUno-X Pro Cycling Team,26,Uno-X Pro Cycling Team,5,5,",,2:46",omloop-het-nieuwsblad/2023
148,50,121,,ERVITI ImanolMovistar Team,39,Movistar Team,5,5,",,2:46",omloop-het-nieuwsblad/2023
149,51,137,,RUSSO ClémentTeam Arkéa Samsic,28,Team Arkéa Samsic,2,5,",,2:46",omloop-het-nieuwsblad/2023
150,52,104,,LE GAC OlivierGroupama - FDJ,29,Groupama - FDJ,2,5,",,2:46",omloop-het-nieuwsblad/2023
151,53,85,,RENARD AlexisCofidis,23,Cofidis,2,5,",,2:46",omloop-het-nieuwsblad/2023
152,54,21,,BYSTRØM Sven ErikIntermarché - Circus - Wanty,31,Intermarché - Circus - Wanty,2,5,",,2:46",omloop-het-nieuwsblad/2023
153,55,165,,SKUJIŅŠ TomsTrek - Segafredo,31,Trek - Segafredo,2,5,",,2:46",omloop-het-nieuwsblad/2023
154,56,182,,BEULLENS CedricLotto Dstny,26,Lotto Dstny,1,5,",,2:46",omloop-het-nieuwsblad/2023
155,57,67,,WRIGHT FredBahrain - Victorious,23,Bahrain - Victorious,1,5,",,2:46",omloop-het-nieuwsblad/2023
156,58,161,,STUYVEN JasperTrek - Segafredo,30,Trek - Segafredo,1,5,",,2:46",omloop-het-nieuwsblad/2023
157,59,15,,PEDERSEN CasperSoudal - Quick Step,26,Soudal - Quick Step,1,5,",,2:46",omloop-het-nieuwsblad/2023
158,60,212,,MERTENS JulianBingoal WB,25,Bingoal WB,1,5,",,2:46",omloop-het-nieuwsblad/2023
159,61,102,,ASKEY LewisGroupama - FDJ,21,Groupama - FDJ,,5,",,2:46",omloop-het-nieuwsblad/2023
160,62,181,,CAMPENAERTS VictorLotto Dstny,31,Lotto Dstny,,5,",,2:46",omloop-het-nieuwsblad/2023
161,63,45,,COSNEFROY BenoîtAG2R Citroën Team,27,AG2R Citroën Team,,5,",,2:46",omloop-het-nieuwsblad/2023
162,64,91,,KEUKELEIRE JensEF Education-EasyPost,34,EF Education-EasyPost,,5,",,2:46",omloop-het-nieuwsblad/2023
163,65,202,,BOASSON HAGEN EdvaldTotalEnergies,35,TotalEnergies,,5,",,2:46",omloop-het-nieuwsblad/2023
164,66,36,,STANNARD RobertAlpecin-Deceuninck,24,Alpecin-Deceuninck,,5,",,2:46",omloop-het-nieuwsblad/2023
165,67,96,,SHAW JamesEF Education-EasyPost,26,EF Education-EasyPost,,5,",,2:46",omloop-het-nieuwsblad/2023
166,68,214,,ROBEET LudovicBingoal WB,28,Bingoal WB,,5,",,2:46",omloop-het-nieuwsblad/2023
167,69,62,,MACIEJUK FilipBahrain - Victorious,23,Bahrain - Victorious,,5,",,2:46",omloop-het-nieuwsblad/2023
168,70,47,,TOUZÉ DamienAG2R Citroën Team,26,AG2R Citroën Team,,5,",,2:46",omloop-het-nieuwsblad/2023
169,71,11,,LAMPAERT YvesSoudal - Quick Step,31,Soudal - Quick Step,,5,",,2:46",omloop-het-nieuwsblad/2023
170,72,37,,VERMEERSCH GianniAlpecin-Deceuninck,30,Alpecin-Deceuninck,,5,",,2:46",omloop-het-nieuwsblad/2023
171,73,164,,MOLLEMA BaukeTrek - Segafredo,36,Trek - Segafredo,,5,",,2:46",omloop-het-nieuwsblad/2023
172,74,163,,KIRSCH AlexTrek - Segafredo,30,Trek - Segafredo,,5,",,2:46",omloop-het-nieuwsblad/2023
173,75,107,,WATSON SamuelGroupama - FDJ,21,Groupama - FDJ,,5,2:532:53,omloop-het-nieuwsblad/2023
174,76,127,,ROMEO IvánMovistar Team,19,Movistar Team,,5,3:223:22,omloop-het-nieuwsblad/2023
175,77,16,,SÉNÉCHAL FlorianSoudal - Quick Step,29,Soudal - Quick Step,,5,5:475:47,omloop-het-nieuwsblad/2023
176,78,105,,LIENHARD FabianGroupama - FDJ,29,Groupama - FDJ,,5,",,5:47",omloop-het-nieuwsblad/2023
177,79,167,,VACEK MathiasTrek - Segafredo,20,Trek - Segafredo,,5,6:246:24,omloop-het-nieuwsblad/2023
178,80,73,,HALLER MarcoBORA - hansgrohe,31,BORA - hansgrohe,,5,",,6:24",omloop-het-nieuwsblad/2023
179,81,144,,EEKHOFF NilsTeam DSM,25,Team DSM,,5,",,6:24",omloop-het-nieuwsblad/2023
180,82,123,,NORSGAARD MathiasMovistar Team,25,Movistar Team,,5,6:476:47,omloop-het-nieuwsblad/2023
181,83,223,,DE VOS AdamHuman Powered Health,29,Human Powered Health,,5,",,6:47",omloop-het-nieuwsblad/2023
182,84,43,,NAESEN LawrenceAG2R Citroën Team,30,AG2R Citroën Team,,5,",,6:47",omloop-het-nieuwsblad/2023
183,85,55,,FEDOROV YevgeniyAstana Qazaqstan Team,23,Astana Qazaqstan Team,,5,",,6:47",omloop-het-nieuwsblad/2023
184,86,237,,VANHOOF WardTeam Flanders - Baloise,23,Team Flanders - Baloise,,5,",,6:47",omloop-het-nieuwsblad/2023
185,87,86,,WALLAYS JelleCofidis,33,Cofidis,,5,",,6:47",omloop-het-nieuwsblad/2023
186,88,65,,RAJOVIĆ DušanBahrain - Victorious,25,Bahrain - Victorious,,5,",,6:47",omloop-het-nieuwsblad/2023
187,89,35,,RIESEBEEK OscarAlpecin-Deceuninck,30,Alpecin-Deceuninck,,5,",,6:47",omloop-het-nieuwsblad/2023
188,90,244,,BLUME LEVY WilliamUno-X Pro Cycling Team,22,Uno-X Pro Cycling Team,,5,",,6:47",omloop-het-nieuwsblad/2023
189,91,116,,SWIFT ConnorINEOS Grenadiers,27,INEOS Grenadiers,,5,",,6:47",omloop-het-nieuwsblad/2023
190,92,213,,MERTZ RémyBingoal WB,27,Bingoal WB,,5,",,6:47",omloop-het-nieuwsblad/2023
191,93,25,,PLANCKAERT BaptisteIntermarché - Circus - Wanty,34,Intermarché - Circus - Wanty,,5,",,6:47",omloop-het-nieuwsblad/2023
192,94,4,,TRATNIK JanJumbo-Visma,33,Jumbo-Visma,,5,",,6:47",omloop-het-nieuwsblad/2023
193,95,81,,ZINGLE AxelCofidis,24,Cofidis,,5,",,6:47",omloop-het-nieuwsblad/2023
194,96,206,,TURGIS AnthonyTotalEnergies,28,TotalEnergies,,5,",,6:47",omloop-het-nieuwsblad/2023
195,97,184,,FRISON FrederikLotto Dstny,30,Lotto Dstny,,5,",,6:47",omloop-het-nieuwsblad/2023
196,98,176,,TRENTIN MatteoUAE Team Emirates,33,UAE Team Emirates,,5,9:319:31,omloop-het-nieuwsblad/2023
197,99,34,,KRAGH ANDERSEN SørenAlpecin-Deceuninck,28,Alpecin-Deceuninck,,5,11:5611:56,omloop-het-nieuwsblad/2023
198,100,177,,VINK MichaelUAE Team Emirates,31,UAE Team Emirates,,5,12:2212:22,omloop-het-nieuwsblad/2023
199,101,242,,ABRAHAMSEN JonasUno-X Pro Cycling Team,27,Uno-X Pro Cycling Team,,5,",,12:22",omloop-het-nieuwsblad/2023
200,102,147,,VERMAERKE KevinTeam DSM,22,Team DSM,,5,",,12:22",omloop-het-nieuwsblad/2023
201,103,203,,DUJARDIN SandyTotalEnergies,25,TotalEnergies,,5,",,12:22",omloop-het-nieuwsblad/2023
202,104,226,,PERRY BenjaminHuman Powered Health,28,Human Powered Health,,5,",,12:22",omloop-het-nieuwsblad/2023
203,105,23,,MARIT ArneIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,5,",,12:22",omloop-het-nieuwsblad/2023
204,106,113,,KWIATKOWSKI MichałINEOS Grenadiers,32,INEOS Grenadiers,,5,",,12:22",omloop-het-nieuwsblad/2023
205,107,51,,BASSO LeonardoAstana Qazaqstan Team,29,Astana Qazaqstan Team,,5,",,12:22",omloop-het-nieuwsblad/2023
206,108,152,,ENGELHARDT FelixTeam Jayco AlUla,22,Team Jayco AlUla,,5,",,12:22",omloop-het-nieuwsblad/2023
207,109,84,,NOPPE ChristopheCofidis,28,Cofidis,,5,",,12:22",omloop-het-nieuwsblad/2023
208,110,24,,PAGE HugoIntermarché - Circus - Wanty,21,Intermarché - Circus - Wanty,,5,",,12:22",omloop-het-nieuwsblad/2023
209,111,235,,COLMAN AlexTeam Flanders - Baloise,24,Team Flanders - Baloise,,5,",,12:22",omloop-het-nieuwsblad/2023
210,112,211,,BLOUWE LouisBingoal WB,23,Bingoal WB,,5,",,12:22",omloop-het-nieuwsblad/2023
211,113,162,,HOOLE DaanTrek - Segafredo,24,Trek - Segafredo,,5,",,12:22",omloop-het-nieuwsblad/2023
212,114,6,,VAN DIJKE TimJumbo-Visma,22,Jumbo-Visma,,5,",,12:22",omloop-het-nieuwsblad/2023
213,115,2,,AFFINI EdoardoJumbo-Visma,26,Jumbo-Visma,,5,",,12:22",omloop-het-nieuwsblad/2023
214,116,17,,STEIMLE JannikSoudal - Quick Step,26,Soudal - Quick Step,,5,",,12:22",omloop-het-nieuwsblad/2023
215,117,201,,SAGAN PeterTotalEnergies,33,TotalEnergies,,5,",,12:22",omloop-het-nieuwsblad/2023
216,118,215,,VAN BOVEN LucaBingoal WB,23,Bingoal WB,,5,",,12:22",omloop-het-nieuwsblad/2023
217,119,52,,SÁNCHEZ Luis LeónAstana Qazaqstan Team,39,Astana Qazaqstan Team,,5,",,12:22",omloop-het-nieuwsblad/2023
218,120,192,,BOIVIN GuillaumeIsrael - Premier Tech,33,Israel - Premier Tech,,5,",,12:22",omloop-het-nieuwsblad/2023
219,121,234,,BRAET VitoTeam Flanders - Baloise,22,Team Flanders - Baloise,,5,",,12:22",omloop-het-nieuwsblad/2023
