,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code,,Avg
0,,,,,,,,,,great-ocean-race/2020,,
1,1,15,,DEVENYNS DriesDeceuninck - Quick Step,36,Deceuninck - Quick Step,300,225,4:05:49,great-ocean-race/2020,,
2,2,34,,SIVAKOV PavelTeam INEOS,22,Team INEOS,250,150,",,0:00",great-ocean-race/2020,,
3,3,51,,IMPEY DarylMitchelton-Scott,35,Mitchelton-Scott,215,110,0:040:04,great-ocean-race/2020,,
4,4,63,,KEUKELEIRE JensEF Pro Cycling,31,EF Pro Cycling,175,90,",,0:04",great-ocean-race/2020,,
5,5,36,,VAN BAARLE DylanTeam INEOS,27,Team INEOS,120,80,",,0:04",great-ocean-race/2020,,
6,6,21,,MCCARTHY JayBORA - hansgrohe,27,BORA - hansgrohe,115,70,",,0:04",great-ocean-race/2020,,
7,7,41,,EWAN CalebLotto Soudal,25,Lotto Soudal,95,60,0:250:25,great-ocean-race/2020,,
8,8,83,,HALLER MarcoBahrain - McLaren,28,Bahrain - McLaren,75,50,",,0:25",great-ocean-race/2020,,
9,9,1,,VIVIANI EliaCofidis,30,Cofidis,60,46,",,0:25",great-ocean-race/2020,,
10,10,52,,YATES SimonMitchelton-Scott,27,Mitchelton-Scott,50,42,",,0:25",great-ocean-race/2020,,
11,11,84,,PERNSTEINER HermannBahrain - McLaren,29,Bahrain - McLaren,40,38,",,0:25",great-ocean-race/2020,,
12,12,3,,HAAS NathanCofidis,30,Cofidis,35,34,0:300:30,great-ocean-race/2020,,
13,13,17,,MØRKØV MichaelDeceuninck - Quick Step,34,Deceuninck - Quick Step,30,30,0:500:50,great-ocean-race/2020,,
14,14,141,,NIZZOLO GiacomoNTT Pro Cycling,31,NTT Pro Cycling,25,26,",,0:50",great-ocean-race/2020,,
15,15,62,,HALVORSEN KristofferEF Pro Cycling,23,EF Pro Cycling,20,22,",,0:50",great-ocean-race/2020,,
16,16,71,,PEDERSEN MadsTrek - Segafredo,24,Trek - Segafredo,20,20,",,0:50",great-ocean-race/2020,,
17,17,2,,CONSONNI SimoneCofidis,25,Cofidis,20,18,",,0:50",great-ocean-race/2020,,
18,18,106,,SARREAU MarcGroupama - FDJ,26,Groupama - FDJ,20,17,",,0:50",great-ocean-race/2020,,
19,19,95,,VENDRAME AndreaAG2R La Mondiale,25,AG2R La Mondiale,20,16,",,0:50",great-ocean-race/2020,,
20,20,137,,WIŚNIOWSKI ŁukaszCCC Team,28,CCC Team,20,15,",,0:50",great-ocean-race/2020,,
21,21,122,,ZABEL RickIsrael Start-Up Nation,26,Israel Start-Up Nation,12,14,",,0:50",great-ocean-race/2020,,
22,22,27,,SCHWARZMANN MichaelBORA - hansgrohe,29,BORA - hansgrohe,12,13,",,0:50",great-ocean-race/2020,,
23,23,81,,ARASHIRO YukiyaBahrain - McLaren,35,Bahrain - McLaren,12,12,",,0:50",great-ocean-race/2020,,
