,Rnk,GC,Timelag,BIB,H2H,Rider,Age,Team,UCI,Pnt,,Time,race_code,Pos.,Timegap,Speed,PCS points,UCI points
181,44,44,+1:01,72,,COVILI LucaGreen Project-Bardiani CSF-Faizanè,26,Green Project-Bardiani CSF-Faizanè,,,,",,0:51",uae-tour/2023/stage-1,,,,,
182,45,45,+1:01,172,,ABERASTURI JonTrek - Segafredo,33,Trek - Segafredo,,,,",,0:51",uae-tour/2023/stage-1,,,,,
183,46,46,+1:01,35,,MARTINELLI DavideAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
184,47,47,+1:01,137,,SEPÚLVEDA EduardoLotto Dstny,31,Lotto Dstny,,,,",,0:51",uae-tour/2023/stage-1,,,,,
185,48,48,+1:01,101,,MEINTJES LouisIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,,,,",,0:51",uae-tour/2023/stage-1,,,,,
186,49,49,+1:01,111,,FUGLSANG JakobIsrael - Premier Tech,37,Israel - Premier Tech,,,,",,0:51",uae-tour/2023/stage-1,,,,,
187,50,50,+1:01,37,,TEJADA HaroldAstana Qazaqstan Team,25,Astana Qazaqstan Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
188,51,51,+1:01,191,,YATES AdamUAE Team Emirates,30,UAE Team Emirates,,,,",,0:51",uae-tour/2023/stage-1,,,,,
189,52,52,+1:01,105,,TAARAMÄE ReinIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,0:51",uae-tour/2023/stage-1,,,,,
190,53,53,+1:01,104,,PETILLI SimoneIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,0:51",uae-tour/2023/stage-1,,,,,
191,54,54,+1:01,134,,GUARNIERI JacopoLotto Dstny,35,Lotto Dstny,,,,",,0:51",uae-tour/2023/stage-1,,,,,
192,55,55,+1:01,55,,MULLEN RyanBORA - hansgrohe,28,BORA - hansgrohe,,,,",,0:51",uae-tour/2023/stage-1,,,,,
193,56,56,+1:01,4,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,,,,",,0:51",uae-tour/2023/stage-1,,,,,
194,57,57,+1:01,151,,LEKNESSUND AndreasTeam DSM,23,Team DSM,,,,",,0:51",uae-tour/2023/stage-1,,,,,
195,58,58,+1:01,34,,LUTSENKO AlexeyAstana Qazaqstan Team,30,Astana Qazaqstan Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
196,59,59,+1:01,194,,MCNULTY BrandonUAE Team Emirates,24,UAE Team Emirates,,,,",,0:51",uae-tour/2023/stage-1,,,,,
197,60,60,+1:01,166,,REINDERS ElmarTeam Jayco AlUla,30,Team Jayco AlUla,,,,",,0:51",uae-tour/2023/stage-1,,,,,
198,61,61,+1:01,163,,MAAS JanTeam Jayco AlUla,27,Team Jayco AlUla,,,,",,0:51",uae-tour/2023/stage-1,,,,,
199,62,62,+1:01,65,,STEINHAUSER GeorgEF Education-EasyPost,21,EF Education-EasyPost,,,,",,0:51",uae-tour/2023/stage-1,,,,,
200,63,63,+1:01,171,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,,,,",,0:51",uae-tour/2023/stage-1,,,,,
201,64,64,+1:01,175,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,,",,0:51",uae-tour/2023/stage-1,,,,,
202,65,65,+1:01,165,,QUICK BlakeTeam Jayco AlUla,22,Team Jayco AlUla,,,,",,0:51",uae-tour/2023/stage-1,,,,,
203,66,66,+1:01,117,,WÜRTZ SCHMIDT MadsIsrael - Premier Tech,28,Israel - Premier Tech,,,,",,0:51",uae-tour/2023/stage-1,,,,,
204,67,67,+1:01,102,,JOHANSEN JuliusIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,",,0:51",uae-tour/2023/stage-1,,,,,
205,68,68,+1:01,23,,LEYSEN SenneAlpecin-Deceuninck,26,Alpecin-Deceuninck,,,,",,0:51",uae-tour/2023/stage-1,,,,,
206,69,69,+1:01,53,,BUCHMANN EmanuelBORA - hansgrohe,30,BORA - hansgrohe,,,,",,0:51",uae-tour/2023/stage-1,,,,,
207,70,70,+1:01,135,,SCHWARZMANN MichaelLotto Dstny,32,Lotto Dstny,,,,",,0:51",uae-tour/2023/stage-1,,,,,
208,71,71,+1:01,186,,VOISARD YannisTudor Pro Cycling Team,24,Tudor Pro Cycling Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
209,72,72,+1:01,122,,GLOAG ThomasJumbo-Visma,21,Jumbo-Visma,,,,",,0:51",uae-tour/2023/stage-1,,,,,
210,73,73,+1:01,61,,AMADOR AndreyEF Education-EasyPost,36,EF Education-EasyPost,,,,",,0:51",uae-tour/2023/stage-1,,,,,
211,74,74,+1:01,77,,ZOCCARATO SamueleGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,,",,0:51",uae-tour/2023/stage-1,,,,,
212,75,75,+1:01,86,,THOMPSON ReubenGroupama - FDJ,22,Groupama - FDJ,,,,",,0:51",uae-tour/2023/stage-1,,,,,
213,76,76,+1:01,16,,PARET-PEINTRE ValentinAG2R Citroën Team,22,AG2R Citroën Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
214,77,77,+1:01,85,,STORER MichaelGroupama - FDJ,25,Groupama - FDJ,,,,",,0:51",uae-tour/2023/stage-1,,,,,
215,78,78,+1:01,145,,RODRÍGUEZ ÓscarMovistar Team,27,Movistar Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
216,79,79,+1:01,45,,POELS WoutBahrain - Victorious,35,Bahrain - Victorious,,,,",,0:51",uae-tour/2023/stage-1,,,,,
217,80,80,+1:01,126,,ROOSEN TimoJumbo-Visma,30,Jumbo-Visma,,,,",,0:51",uae-tour/2023/stage-1,,,,,
218,81,81,+1:01,113,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,0:51",uae-tour/2023/stage-1,,,,,
219,82,82,+1:01,121,,KUSS SeppJumbo-Visma,28,Jumbo-Visma,,,,",,0:51",uae-tour/2023/stage-1,,,,,
220,83,83,+1:01,107,,VAN POPPEL BoyIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,0:51",uae-tour/2023/stage-1,,,,,
221,84,84,+1:01,24,,OSBORNE JasonAlpecin-Deceuninck,28,Alpecin-Deceuninck,,,,",,0:51",uae-tour/2023/stage-1,,,,,
222,85,85,+1:01,21,,SINKELDAM RamonAlpecin-Deceuninck,34,Alpecin-Deceuninck,,,,",,0:51",uae-tour/2023/stage-1,,,,,
223,86,86,+1:01,95,,TARLING JoshuaINEOS Grenadiers,19,INEOS Grenadiers,,,,",,0:51",uae-tour/2023/stage-1,,,,,
224,87,87,+1:01,123,,HESSMANN MichelJumbo-Visma,21,Jumbo-Visma,,,,",,0:51",uae-tour/2023/stage-1,,,,,
225,88,88,+1:01,116,,RICCITELLO MatthewIsrael - Premier Tech,20,Israel - Premier Tech,,,,",,0:51",uae-tour/2023/stage-1,,,,,
226,89,89,+1:01,11,,BOUCHARD GeoffreyAG2R Citroën Team,30,AG2R Citroën Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
227,90,90,+1:01,14,,HÄNNINEN JaakkoAG2R Citroën Team,25,AG2R Citroën Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
228,91,91,+1:01,75,,TONELLI AlessandroGreen Project-Bardiani CSF-Faizanè,30,Green Project-Bardiani CSF-Faizanè,,,,",,0:51",uae-tour/2023/stage-1,,,,,
229,92,92,+1:01,74,,MAGLI FilippoGreen Project-Bardiani CSF-Faizanè,23,Green Project-Bardiani CSF-Faizanè,,,,",,0:51",uae-tour/2023/stage-1,,,,,
230,93,93,+1:01,103,,PAQUOT TomIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,",,0:51",uae-tour/2023/stage-1,,,,,
231,94,94,+1:01,184,,KLUCKERS ArthurTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
232,95,95,+1:01,15,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
233,96,96,+1:01,183,,HEMING MikaTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
234,97,97,+1:01,124,,HOFSTEDE LennardJumbo-Visma,28,Jumbo-Visma,,,,",,0:51",uae-tour/2023/stage-1,,,,,
235,98,98,+1:01,12,,BAUDIN AlexAG2R Citroën Team,21,AG2R Citroën Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
236,99,99,+1:01,132,,DE GENDT ThomasLotto Dstny,36,Lotto Dstny,,,,",,0:51",uae-tour/2023/stage-1,,,,,
237,100,100,+1:01,187,,ZIJLAARD MaikelTudor Pro Cycling Team,23,Tudor Pro Cycling Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
238,101,101,+1:01,174,,GHEBREIGZABHIER AmanuelTrek - Segafredo,28,Trek - Segafredo,,,,",,0:51",uae-tour/2023/stage-1,,,,,
239,102,102,+1:01,144,,LAZKANO OierMovistar Team,23,Movistar Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
240,103,103,+1:01,2,,ČERNÝ JosefSoudal - Quick Step,29,Soudal - Quick Step,,,,",,0:51",uae-tour/2023/stage-1,,,,,
241,104,104,+1:01,193,,LAENGEN Vegard StakeUAE Team Emirates,34,UAE Team Emirates,,,,",,0:51",uae-tour/2023/stage-1,,,,,
242,105,105,+1:01,197,,VINE JayUAE Team Emirates,27,UAE Team Emirates,,,,",,0:51",uae-tour/2023/stage-1,,,,,
243,106,106,+1:01,162,,HEPBURN MichaelTeam Jayco AlUla,31,Team Jayco AlUla,,,,",,0:51",uae-tour/2023/stage-1,,,,,
244,107,107,+1:01,127,,VAN DER SANDE ToshJumbo-Visma,32,Jumbo-Visma,,,,",,0:51",uae-tour/2023/stage-1,,,,,
245,108,108,+1:01,155,,MÄRKL NiklasTeam DSM,23,Team DSM,,,,",,0:51",uae-tour/2023/stage-1,,,,,
246,109,109,+1:01,114,,HERMANS BenIsrael - Premier Tech,36,Israel - Premier Tech,,,,",,0:51",uae-tour/2023/stage-1,,,,,
247,110,110,+1:01,142,,HOLLMANN JuriMovistar Team,23,Movistar Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
248,111,111,+1:01,73,,LUCCA RiccardoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,,",,0:51",uae-tour/2023/stage-1,,,,,
249,112,112,+1:01,83,,KONOVALOVAS IgnatasGroupama - FDJ,37,Groupama - FDJ,,,,",,0:51",uae-tour/2023/stage-1,,,,,
250,113,113,+1:01,54,,GAMPER PatrickBORA - hansgrohe,26,BORA - hansgrohe,,,,",,0:51",uae-tour/2023/stage-1,,,,,
251,114,114,+1:17,27,,VAN DEN BOSSCHE FabioAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,1:071:07,uae-tour/2023/stage-1,,,,,
252,115,115,+1:19,46,,PRICE-PEJTERSEN JohanBahrain - Victorious,23,Bahrain - Victorious,,,,1:091:09,uae-tour/2023/stage-1,,,,,
253,116,116,+1:22,87,,WELTEN BramGroupama - FDJ,25,Groupama - FDJ,,,,1:121:12,uae-tour/2023/stage-1,,,,,
254,117,117,+1:25,185,,PLUIMERS RickTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,1:151:15,uae-tour/2023/stage-1,,,,,
255,118,118,+1:25,82,,DAVY ClémentGroupama - FDJ,24,Groupama - FDJ,,,,",,1:15",uae-tour/2023/stage-1,,,,,
256,119,119,+1:38,152,,ANDRESEN Tobias LundTeam DSM,20,Team DSM,,,,1:281:28,uae-tour/2023/stage-1,,,,,
257,120,120,+1:41,22,,BALLERSTEDT MauriceAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,1:311:31,uae-tour/2023/stage-1,,,,,
258,121,121,+1:52,143,,JACOBS JohanMovistar Team,25,Movistar Team,,,,1:421:42,uae-tour/2023/stage-1,,,,,
259,122,122,+2:03,115,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,,,,1:531:53,uae-tour/2023/stage-1,,,,,
260,123,123,+2:08,5,,SERRY PieterSoudal - Quick Step,34,Soudal - Quick Step,,,,1:581:58,uae-tour/2023/stage-1,,,,,
261,124,124,+2:08,25,,PLANCKAERT EdwardAlpecin-Deceuninck,28,Alpecin-Deceuninck,,,,",,1:58",uae-tour/2023/stage-1,,,,,
262,125,125,+2:32,67,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,,2:222:22,uae-tour/2023/stage-1,,,,,
263,126,126,+2:49,192,,BJERG MikkelUAE Team Emirates,24,UAE Team Emirates,,,,2:392:39,uae-tour/2023/stage-1,,,,,
264,127,127,+2:59,52,,ARCHBOLD ShaneBORA - hansgrohe,34,BORA - hansgrohe,,,,2:492:49,uae-tour/2023/stage-1,,,,,
265,128,128,+3:23,182,,KOLZE CHANGIZI SebastianTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,3:133:13,uae-tour/2023/stage-1,,,,,
266,129,129,+4:52,195,,MOLANO Juan SebastiánUAE Team Emirates,28,UAE Team Emirates,,,,4:424:42,uae-tour/2023/stage-1,,,,,
267,130,130,+4:52,196,,SOLER MarcUAE Team Emirates,29,UAE Team Emirates,,,,",,4:42",uae-tour/2023/stage-1,,,,,
268,131,131,+8:10,154,,RODENBERG FrederikTeam DSM,25,Team DSM,,,,8:008:00,uae-tour/2023/stage-1,,,,,
269,132,132,+10:35,33,,GRUZDEV DmitriyAstana Qazaqstan Team,36,Astana Qazaqstan Team,,,,10:2510:25,uae-tour/2023/stage-1,,,,,
270,133,133,+10:35,97,,WURF CameronINEOS Grenadiers,39,INEOS Grenadiers,,,,",,10:25",uae-tour/2023/stage-1,,,,,
271,134,134,+10:35,84,,PITHIE LaurenceGroupama - FDJ,20,Groupama - FDJ,,,,",,10:25",uae-tour/2023/stage-1,,,,,
272,135,135,+10:35,44,,MIHOLJEVIĆ FranBahrain - Victorious,20,Bahrain - Victorious,,,,",,10:25",uae-tour/2023/stage-1,,,,,
273,136,136,+10:35,177,,TOLHOEK AntwanTrek - Segafredo,28,Trek - Segafredo,,,,",,10:25",uae-tour/2023/stage-1,,,,,
274,137,137,+10:35,36,,ROMO JavierAstana Qazaqstan Team,24,Astana Qazaqstan Team,,,,",,10:25",uae-tour/2023/stage-1,,,,,
275,138,138,+10:35,62,,CAMARGO Diego AndrésEF Education-EasyPost,24,EF Education-EasyPost,,,,",,10:25",uae-tour/2023/stage-1,,,,,
276,139,139,+10:35,63,,CARR SimonEF Education-EasyPost,24,EF Education-EasyPost,,,,",,10:25",uae-tour/2023/stage-1,,,,,
277,140,140,+10:35,7,,VERVAEKE LouisSoudal - Quick Step,29,Soudal - Quick Step,,,,",,10:25",uae-tour/2023/stage-1,,,,,
278,1,1,+0:00,111,,DENNIS RohanJumbo-Visma,32,Jumbo-Visma,60,50,10″,4:00:4010″,tour-down-under/2023/stage-2,,,,,
279,2,2,+0:03,141,,VINE JayUAE Team Emirates,27,UAE Team Emirates,40,30,6″,0:020:026″,tour-down-under/2023/stage-2,,,,,
280,3,4,+0:13,65,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,30,18,4″,",,0:024″",tour-down-under/2023/stage-2,,,,,
281,4,12,+0:21,2,,YATES SimonTeam Jayco AlUla,30,Team Jayco AlUla,25,13,,",,0:02",tour-down-under/2023/stage-2,,,,,
282,5,39,+0:42,171,,HINDLEY JaiBORA - hansgrohe,26,BORA - hansgrohe,20,10,,0:050:05,tour-down-under/2023/stage-2,,,,,
283,6,45,+0:47,191,,EWAN CalebUniSA-Australia,28,UniSA-Australia,15,7,,0:110:11,tour-down-under/2023/stage-2,,,,,
284,7,51,+0:55,45,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,10,4,,",,0:11",tour-down-under/2023/stage-2,,,,,
285,8,5,+0:14,184,,STRONG CorbinIsrael - Premier Tech,22,Israel - Premier Tech,8,3,3″,",,0:113″",tour-down-under/2023/stage-2,,,,,
286,9,7,+0:15,71,,GROVES KadenAlpecin-Deceuninck,24,Alpecin-Deceuninck,5,2,,",,0:11",tour-down-under/2023/stage-2,,,,,
287,10,41,+0:43,86,,PENHOËT PaulGroupama - FDJ,21,Groupama - FDJ,2,1,,",,0:11",tour-down-under/2023/stage-2,,,,,
288,11,8,+0:17,136,,MAYRHOFER MariusTeam DSM,22,Team DSM,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
289,12,11,+0:21,92,,HAYTER EthanINEOS Grenadiers,24,INEOS Grenadiers,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
290,13,37,+0:38,51,,COQUARD BryanCofidis,30,Cofidis,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
291,14,9,+0:19,32,,ARNDT NikiasBahrain - Victorious,31,Bahrain - Victorious,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
292,15,33,+0:34,41,,GALLOPIN TonyTrek - Segafredo,34,Trek - Segafredo,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
293,16,6,+0:14,103,,PAGE HugoIntermarché - Circus - Wanty,21,Intermarché - Circus - Wanty,,,2″,",,0:112″",tour-down-under/2023/stage-2,,,,,
294,17,3,+0:12,96,,SHEFFIELD MagnusINEOS Grenadiers,20,INEOS Grenadiers,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
295,18,16,+0:24,31,,BILBAO PelloBahrain - Victorious,32,Bahrain - Victorious,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
296,19,28,+0:33,172,,HALLER MarcoBORA - hansgrohe,31,BORA - hansgrohe,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
297,20,10,+0:20,82,,SCOTSON MilesGroupama - FDJ,29,Groupama - FDJ,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
298,21,18,+0:25,101,,BYSTRØM Sven ErikIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
299,22,32,+0:34,73,,STANNARD RobertAlpecin-Deceuninck,24,Alpecin-Deceuninck,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
300,23,21,+0:29,47,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
301,24,26,+0:32,143,,HIRSCHI MarcUAE Team Emirates,24,UAE Team Emirates,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
302,25,56,+1:37,62,,VAN TRICHT StanSoudal - Quick Step,23,Soudal - Quick Step,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
303,26,24,+0:31,11,,O'CONNOR BenAG2R Citroën Team,27,AG2R Citroën Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
304,27,46,+0:49,131,,HAMILTON ChrisTeam DSM,27,Team DSM,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
305,28,15,+0:24,95,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
306,29,40,+0:43,177,,ALEOTTI GiovanniBORA - hansgrohe,23,BORA - hansgrohe,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
307,30,27,+0:32,176,,SCHACHMANN MaximilianBORA - hansgrohe,29,BORA - hansgrohe,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
308,31,42,+0:44,21,,SÁNCHEZ Luis LeónAstana Qazaqstan Team,39,Astana Qazaqstan Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
309,32,25,+0:32,121,,IZAGIRRE GorkaMovistar Team,35,Movistar Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
310,33,29,+0:33,61,,CATTANEO MattiaSoudal - Quick Step,32,Soudal - Quick Step,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
311,34,52,+0:56,12,,BAUDIN AlexAG2R Citroën Team,21,AG2R Citroën Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
312,35,23,+0:30,27,,MOSCON GianniAstana Qazaqstan Team,28,Astana Qazaqstan Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
313,36,34,+0:35,87,,MOLARD RudyGroupama - FDJ,33,Groupama - FDJ,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
314,37,30,+0:34,115,,VADER MilanJumbo-Visma,26,Jumbo-Visma,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
315,38,53,+0:57,15,,PETERS NansAG2R Citroën Team,28,AG2R Citroën Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
316,39,31,+0:34,46,,TESFATSION NatnaelTrek - Segafredo,23,Trek - Segafredo,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
317,40,38,+0:39,142,,BENNETT GeorgeUAE Team Emirates,32,UAE Team Emirates,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
318,41,35,+0:35,55,,LAFAY VictorCofidis,27,Cofidis,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
319,42,14,+0:22,83,,GERMANI LorenzoGroupama - FDJ,20,Groupama - FDJ,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
320,43,17,+0:25,77,,GOGL MichaelAlpecin-Deceuninck,29,Alpecin-Deceuninck,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
321,44,55,+1:10,145,,COVI AlessandroUAE Team Emirates,24,UAE Team Emirates,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
322,45,20,+0:28,93,,HAYTER LeoINEOS Grenadiers,21,INEOS Grenadiers,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
323,46,22,+0:29,63,,DEVENYNS DriesSoudal - Quick Step,39,Soudal - Quick Step,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
324,47,43,+0:45,44,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
325,48,47,+0:50,153,,GESBERT ÉlieTeam Arkéa Samsic,27,Team Arkéa Samsic,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
326,49,19,+0:27,13,,GODON DorianAG2R Citroën Team,26,AG2R Citroën Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
327,50,97,+3:36,35,,PERNSTEINER HermannBahrain - Victorious,32,Bahrain - Victorious,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
328,51,36,+0:36,186,,BERWICK SebastianIsrael - Premier Tech,23,Israel - Premier Tech,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
329,52,48,+0:52,52,,BIDARD FrançoisCofidis,30,Cofidis,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
330,53,44,+0:45,84,,THOMPSON ReubenGroupama - FDJ,21,Groupama - FDJ,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
331,54,50,+0:53,81,,STORER MichaelGroupama - FDJ,25,Groupama - FDJ,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
332,55,54,+1:03,113,,HOFSTEDE LennardJumbo-Visma,28,Jumbo-Visma,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
333,56,49,+0:53,17,,TOUZÉ DamienAG2R Citroën Team,26,AG2R Citroën Team,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
334,57,13,+0:22,187,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,0:11",tour-down-under/2023/stage-2,,,,,
335,58,64,+2:28,5,,HEPBURN MichaelTeam Jayco AlUla,31,Team Jayco AlUla,,,,0:310:31,tour-down-under/2023/stage-2,,,,,
336,59,58,+2:09,1,,MATTHEWS MichaelTeam Jayco AlUla,32,Team Jayco AlUla,,,3″,2:132:133″,tour-down-under/2023/stage-2,,,,,
337,60,85,+2:50,165,,RUTSCH JonasEF Education-EasyPost,24,EF Education-EasyPost,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
338,61,96,+3:24,162,,HONORÉ Mikkel FrølichEF Education-EasyPost,25,EF Education-EasyPost,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
339,62,57,+2:05,161,,BETTIOL AlbertoEF Education-EasyPost,29,EF Education-EasyPost,,,1″,",,2:131″",tour-down-under/2023/stage-2,,,,,
340,63,99,+4:11,91,,THOMAS GeraintINEOS Grenadiers,36,INEOS Grenadiers,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
341,64,80,+2:45,97,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
342,65,77,+2:41,173,,ARCHBOLD ShaneBORA - hansgrohe,33,BORA - hansgrohe,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
343,66,73,+2:37,37,,SÜTTERLIN JashaBahrain - Victorious,30,Bahrain - Victorious,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
344,67,91,+3:03,33,,BAUHAUS PhilBahrain - Victorious,28,Bahrain - Victorious,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
345,68,119,+8:22,34,,GRADEK KamilBahrain - Victorious,32,Bahrain - Victorious,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
346,69,87,+2:54,156,,OWSIAN ŁukaszTeam Arkéa Samsic,32,Team Arkéa Samsic,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
347,70,82,+2:48,122,,ERVITI ImanolMovistar Team,39,Movistar Team,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
348,71,79,+2:45,124,,ROMEO IvánMovistar Team,19,Movistar Team,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
349,72,70,+2:36,185,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
350,73,90,+3:00,116,,VAN DIJKE TimJumbo-Visma,22,Jumbo-Visma,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
351,74,89,+2:59,135,,NABERMAN TimTeam DSM,23,Team DSM,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
352,75,65,+2:29,132,,DINHAM MatthewTeam DSM,22,Team DSM,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
353,76,75,+2:41,182,,IMPEY DarylIsrael - Premier Tech,38,Israel - Premier Tech,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
354,77,62,+2:21,155,,LEDANOIS KévinTeam Arkéa Samsic,29,Team Arkéa Samsic,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
355,78,94,+3:05,106,,VAN POPPEL BoyIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
356,79,93,+3:05,174,,LÜHRS Luis-JoeBORA - hansgrohe,19,BORA - hansgrohe,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
357,80,69,+2:35,85,,PITHIE LaurenceGroupama - FDJ,20,Groupama - FDJ,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
358,81,101,+5:40,134,,COMBAUD RomainTeam DSM,31,Team DSM,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
359,82,92,+3:03,163,,KEUKELEIRE JensEF Education-EasyPost,34,EF Education-EasyPost,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
360,83,88,+2:55,67,,SVRČEK MartinSoudal - Quick Step,19,Soudal - Quick Step,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
361,84,66,+2:31,114,,ROOSEN TimoJumbo-Visma,30,Jumbo-Visma,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
362,85,78,+2:43,157,,VERRE AlessandroTeam Arkéa Samsic,21,Team Arkéa Samsic,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
