,Rnk,GC,Timelag,BIB,H2H,Rider,Age,Team,UCI,Pnt,,Time,race_code,Pos.,Timegap,Speed,PCS points,UCI points
40,41,52,+0:31,87,,MOLARD RudyGroupama - FDJ,33,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
41,42,48,+0:30,46,,TESFATSION NatnaelTrek - Segafredo,23,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
42,43,27,+0:23,132,,DINHAM MatthewTeam DSM,22,Team DSM,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
43,44,82,+0:42,122,,ERVITI ImanolMovistar Team,39,Movistar Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
44,45,19,+0:18,187,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
45,46,56,+0:31,37,,SÜTTERLIN JashaBahrain - Victorious,30,Bahrain - Victorious,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
46,47,17,+0:17,92,,HAYTER EthanINEOS Grenadiers,24,INEOS Grenadiers,,,2″,",,0:002″",tour-down-under/2023/stage-1,,,,,
47,48,91,+0:45,131,,HAMILTON ChrisTeam DSM,27,Team DSM,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
48,49,29,+0:23,13,,GODON DorianAG2R Citroën Team,26,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
49,50,49,+0:30,73,,STANNARD RobertAlpecin-Deceuninck,24,Alpecin-Deceuninck,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
50,51,79,+0:41,84,,THOMPSON ReubenGroupama - FDJ,21,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
51,52,104,+0:53,135,,NABERMAN TimTeam DSM,23,Team DSM,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
52,53,31,+0:25,47,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
53,54,73,+0:39,97,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
54,55,64,+0:35,22,,BOARO ManueleAstana Qazaqstan Team,35,Astana Qazaqstan Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
55,56,69,+0:36,137,,TUSVELD MartijnTeam DSM,29,Team DSM,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
56,57,85,+0:42,57,,WOOD HarrisonCofidis,22,Cofidis,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
57,58,76,+0:40,75,,LEYSEN SenneAlpecin-Deceuninck,26,Alpecin-Deceuninck,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
58,59,20,+0:18,83,,GERMANI LorenzoGroupama - FDJ,20,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
59,60,89,+0:44,165,,RUTSCH JonasEF Education-EasyPost,24,EF Education-EasyPost,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
60,61,74,+0:39,177,,ALEOTTI GiovanniBORA - hansgrohe,23,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
61,62,26,+0:22,65,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
62,63,106,+0:54,25,,GRUZDEV DmitriyAstana Qazaqstan Team,36,Astana Qazaqstan Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
63,64,78,+0:41,44,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
64,65,102,+0:52,12,,BAUDIN AlexAG2R Citroën Team,21,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
65,66,112,+0:59,106,,VAN POPPEL BoyIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
66,67,71,+0:38,72,,PLOWRIGHT JensenAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
67,68,11,+0:14,141,,VINE JayUAE Team Emirates,27,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
68,69,110,+0:59,174,,LÜHRS Luis-JoeBORA - hansgrohe,19,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
69,70,116,+1:18,162,,HONORÉ Mikkel FrølichEF Education-EasyPost,25,EF Education-EasyPost,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
70,71,54,+0:31,55,,LAFAY VictorCofidis,27,Cofidis,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
71,72,1,+0:00,161,,BETTIOL AlbertoEF Education-EasyPost,29,EF Education-EasyPost,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
72,73,42,+0:28,176,,SCHACHMANN MaximilianBORA - hansgrohe,29,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
73,74,62,+0:34,183,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
74,75,66,+0:35,173,,ARCHBOLD ShaneBORA - hansgrohe,33,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
75,76,94,+0:46,153,,GESBERT ÉlieTeam Arkéa Samsic,27,Team Arkéa Samsic,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
76,77,43,+0:29,85,,PITHIE LaurenceGroupama - FDJ,20,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
77,78,81,+0:41,54,,CARVALHO AndreCofidis,25,Cofidis,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
78,79,92,+0:45,195,,MARRIAGE ZacUniSA-Australia,19,UniSA-Australia,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
79,80,67,+0:35,142,,BENNETT GeorgeUAE Team Emirates,32,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
80,81,36,+0:26,2,,YATES SimonTeam Jayco AlUla,30,Team Jayco AlUla,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
81,82,39,+0:27,11,,O'CONNOR BenAG2R Citroën Team,27,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
82,83,93,+0:45,152,,LE BERRE MathisTeam Arkéa Samsic,21,Team Arkéa Samsic,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
83,84,103,+0:53,15,,PETERS NansAG2R Citroën Team,28,AG2R Citroën Team,,,3″,",,0:003″",tour-down-under/2023/stage-1,,,,,
84,85,65,+0:35,151,,COSTIOU EwenTeam Arkéa Samsic,20,Team Arkéa Samsic,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
85,86,57,+0:32,186,,BERWICK SebastianIsrael - Premier Tech,23,Israel - Premier Tech,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
86,87,41,+0:28,143,,HIRSCHI MarcUAE Team Emirates,24,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
87,88,80,+0:41,16,,SCHÄR MichaelAG2R Citroën Team,36,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
88,89,127,+3:32,35,,PERNSTEINER HermannBahrain - Victorious,32,Bahrain - Victorious,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
89,90,83,+0:42,24,,FELLINE FabioAstana Qazaqstan Team,32,Astana Qazaqstan Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
90,91,95,+0:48,52,,BIDARD FrançoisCofidis,30,Cofidis,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
91,92,47,+0:30,115,,VADER MilanJumbo-Visma,26,Jumbo-Visma,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
92,93,109,+0:57,163,,KEUKELEIRE JensEF Education-EasyPost,34,EF Education-EasyPost,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
93,94,72,+0:39,124,,ROMEO IvánMovistar Team,19,Movistar Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
94,95,60,+0:34,123,,JACOBS JohanMovistar Team,25,Movistar Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
95,96,32,+0:25,117,,VAN EMDEN JosJumbo-Visma,37,Jumbo-Visma,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
96,97,63,+0:35,182,,IMPEY DarylIsrael - Premier Tech,38,Israel - Premier Tech,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
97,98,111,+0:59,113,,HOFSTEDE LennardJumbo-Visma,28,Jumbo-Visma,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
98,99,124,+2:20,164,,QUINN SeanEF Education-EasyPost,22,EF Education-EasyPost,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
99,100,58,+0:32,4,,HAMILTON LucasTeam Jayco AlUla,26,Team Jayco AlUla,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
100,101,15,+0:17,111,,DENNIS RohanJumbo-Visma,32,Jumbo-Visma,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
101,102,45,+0:29,61,,CATTANEO MattiaSoudal - Quick Step,32,Soudal - Quick Step,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
102,103,99,+0:49,23,,BASSO LeonardoAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
103,104,35,+0:26,27,,MOSCON GianniAstana Qazaqstan Team,28,Astana Qazaqstan Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
104,105,119,+1:33,125,,SAMITIER SergioMovistar Team,27,Movistar Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
105,106,100,+0:49,81,,STORER MichaelGroupama - FDJ,25,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
106,107,38,+0:27,14,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
107,108,121,+1:52,53,,CIMOLAI DavideCofidis,33,Cofidis,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
108,109,120,+1:37,76,,RIESEBEEK OscarAlpecin-Deceuninck,30,Alpecin-Deceuninck,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
109,110,117,+1:20,56,,RENARD AlexisCofidis,23,Cofidis,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
110,111,97,+0:49,67,,SVRČEK MartinSoudal - Quick Step,19,Soudal - Quick Step,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
111,112,44,+0:29,172,,HALLER MarcoBORA - hansgrohe,31,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
112,113,115,+1:09,147,,FISHER-BLACK FinnUAE Team Emirates,21,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
113,114,55,+0:31,144,,BAX SjoerdUAE Team Emirates,27,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
114,115,108,+0:57,181,,FROOME ChrisIsrael - Premier Tech,37,Israel - Premier Tech,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
115,116,118,+1:33,62,,VAN TRICHT StanSoudal - Quick Step,23,Soudal - Quick Step,,,,1:021:02,tour-down-under/2023/stage-1,,,,,
116,117,122,+2:04,5,,HEPBURN MichaelTeam Jayco AlUla,31,Team Jayco AlUla,,,,",,1:02",tour-down-under/2023/stage-1,,,,,
117,118,22,+0:20,95,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,,,,0:000:00,tour-down-under/2023/stage-1,,,,,
