,team_code_2023,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day
0,soudal-quick-step-2023,1064,44,91,178,18841.0,47.131147540983605,0.041353383458646614,0.08552631578947369,0.16729323308270677,17.707706766917294
1,lotto-dstny-2023,1325,17,50,141,10642.0,50.86938775510204,0.012830188679245283,0.03773584905660377,0.10641509433962264,8.031698113207547
2,team-jayco-alula-2023,917,3,21,62,6190.0,60.742990654205606,0.003271537622682661,0.022900763358778626,0.06761177753544166,6.750272628135224
3,q365-pro-cycing-team,701,3,9,42,4165.0,56.59297520661157,0.0042796005706134095,0.012838801711840228,0.05991440798858773,5.94151212553495
4,,0.0,,,,,,,,,
5,ineos-grenadiers-2023,809,10,29,85,9281.0,52.5719298245614,0.012360939431396786,0.03584672435105068,0.10506798516687268,11.472187886279357
6,bora-hansgrohe-2023,1135,13,43,113,10727.0,54.88737623762376,0.01145374449339207,0.03788546255506608,0.09955947136563877,9.451101321585902
7,astana-qazaqstan-team-2023,889,8,17,49,5625.0,55.34704830053667,0.008998875140607425,0.019122609673790775,0.05511811023622047,6.327334083239595
8,ag2r-citroen-team-2023,1247,11,37,148,10633.0,45.08151093439364,0.008821170809943865,0.02967121090617482,0.11868484362469928,8.526864474739375
9,team-jumbo-visma-2023,689,20,44,83,11214.0,53.35753176043557,0.02902757619738752,0.06386066763425254,0.1204644412191582,16.27576197387518
10,uae-team-emirates-2023,1289,24,70,161,13236.0,49.07709750566893,0.018619084561675717,0.05430566330488751,0.12490302560124127,10.268425135764158
11,team-dsm-2023,891,7,19,50,6074.0,56.33561643835616,0.007856341189674524,0.02132435465768799,0.05611672278338945,6.81705948372615
12,ef-education-easypost-2023,932,11,24,73,7578.0,55.37369207772795,0.011802575107296138,0.02575107296137339,0.07832618025751073,8.130901287553648
13,trek-segafredo-2023,1113,8,24,105,9316.0,55.194162436548226,0.0071877807726864335,0.0215633423180593,0.09433962264150944,8.370170709793351
14,bahrain-victorious-2023,661,5,14,66,7334.0,49.84409799554566,0.007564296520423601,0.02118003025718608,0.09984871406959153,11.095310136157337
15,groupama-fdj-2023,1115,9,31,111,8828.0,49.53199052132702,0.008071748878923767,0.02780269058295964,0.09955156950672646,7.917488789237668
16,team-totalenergies-2023,1317,5,32,114,7212.0,52.46595744680851,0.0037965072133637054,0.024297646165527716,0.08656036446469248,5.476082004555809
17,bingoal-wb-2023,1189,1,5,54,3376.0,59.414081145584724,0.0008410428931875525,0.004205214465937763,0.045416316232127836,2.8393608074011776
18,movistar-team-2023,943,5,21,83,6989.0,52.43557422969187,0.005302226935312832,0.022269353128313893,0.088016967126193,7.4114528101802755
19,alpecin-deceuninck-2023,1111,29,60,127,11070.0,50.89269406392694,0.026102610261026102,0.054005400540054004,0.11431143114311432,9.963996399639964
20,cofidis-2023,1537,15,38,133,8838.0,54.39355385920271,0.009759271307742356,0.0247234873129473,0.08653220559531555,5.750162654521795
21,team-flanders--baloise-2023,1192,3,7,60,3739.0,57.257803468208095,0.0025167785234899327,0.00587248322147651,0.050335570469798654,3.136744966442953
22,intermarche-circus-wanty-2023,1583,16,55,172,11062.0,50.606529209621996,0.01010739102969046,0.03474415666456096,0.10865445356917246,6.987997473152243
23,israel-premier-tech-2023,1241,5,19,93,7121.0,53.152325581395345,0.0040290088638195,0.015310233682514102,0.0749395648670427,5.738114423851733
24,green-project-bardiani-csf-faizane-2023,593,0,1,14,1058.0,58.325,0.0,0.0016863406408094434,0.023608768971332208,1.7841483979763912
25,team-novo-nordisk-2023,181,0,0,0,92.0,90.11940298507463,0.0,0.0,0.0,0.5082872928176796
26,team-arkea-samsic-2023,1510,11,37,158,8954.0,49.145886344359624,0.00728476821192053,0.024503311258278145,0.10463576158940398,5.929801324503312
27,human-powered-health-2023,502,1,2,12,658.0,65.95283018867924,0.00199203187250996,0.00398406374501992,0.02390438247011952,1.3107569721115537
28,caja-rural-seguros-rga-2023,485,0,2,13,726.0,57.78698224852071,0.0,0.004123711340206186,0.026804123711340205,1.4969072164948454
29,burgos-bh-2023,471,0,2,14,588.0,59.34113712374582,0.0,0.004246284501061571,0.029723991507430998,1.2484076433121019
30,tudor-pro-cycling-team-2023,182,0,0,4,184.0,64.57037037037037,0.0,0.0,0.02197802197802198,1.010989010989011
31,equipo-kern-pharma-2023,412,0,2,8,518.0,56.13666666666666,0.0,0.0048543689320388345,0.019417475728155338,1.2572815533980584
32,eolo-kometa-2023,431,0,2,11,716.0,60.175862068965515,0.0,0.004640371229698376,0.025522041763341066,1.6612529002320187
33,uno-x-pro-cycling-team-2023,677,2,8,30,2008.0,63.505070993914806,0.0029542097488921715,0.011816838995568686,0.04431314623338257,2.96602658788774
34,euskaltel-euskadi-2023,404,1,3,15,706.0,56.66319444444444,0.0024752475247524753,0.007425742574257425,0.03712871287128713,1.7475247524752475
35,bolton-equities-black-spoke-2023,156,0,0,2,159.0,57.87755102040816,0.0,0.0,0.01282051282051282,1.0192307692307692
36,team-corratec-2023,89,0,0,0,0.0,57.63157894736842,0.0,0.0,0.0,0.0
