,team_code_2023,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb
0,team-jumbo-visma-2023,2531,45,128,268,13626.0,63.88860652265989,0.017779533781114184,0.050572896088502566,0.10588700118530225,5.383642828921375
1,ag2r-citroen-team-2023,2944,18,53,226,10238.0,60.89398385913426,0.006114130434782609,0.018002717391304348,0.07676630434782608,3.4775815217391304
2,lotto-dstny-2023,2794,17,52,171,8071.0,79.31777597402598,0.006084466714387974,0.018611309949892626,0.06120257695060845,2.888690050107373
3,,0.0,,,,,,,,,
4,team-dsm-2023,2605,19,52,182,7700.0,73.79182630906769,0.007293666026871401,0.019961612284069098,0.06986564299424185,2.9558541266794625
5,bahrain-victorious-2023,2615,27,81,266,10429.0,65.48223986627664,0.010325047801147227,0.030975143403441683,0.10172084130019121,3.988145315487572
6,groupama-fdj-2023,2844,12,48,188,8365.0,70.77011936850212,0.004219409282700422,0.016877637130801686,0.06610407876230662,2.9412798874824193
7,ef-education-easypost-2023,2790,26,57,203,9505.0,69.63088587390263,0.00931899641577061,0.02043010752688172,0.07275985663082438,3.4068100358422937
8,q365-pro-cycing-team,1956,5,12,62,3330.0,82.38059701492537,0.002556237218813906,0.006134969325153374,0.03169734151329243,1.7024539877300613
9,trek-segafredo-2023,2910,11,44,199,9214.0,69.72251705837756,0.003780068728522337,0.015120274914089347,0.06838487972508592,3.1663230240549827
10,soudal-quick-step-2023,2821,47,109,275,15477.0,76.46970858895706,0.016660758596242466,0.038638780574264446,0.09748316199929104,5.486352357320099
11,team-jayco-alula-2023,2732,19,67,191,8199.0,73.65040650406505,0.006954612005856516,0.02452415812591508,0.0699121522693997,3.0010980966325036
12,ineos-grenadiers-2023,2779,29,87,289,12556.0,60.12028301886792,0.01043540842029507,0.03130622526088521,0.10399424253328536,4.5181720043181
13,bora-hansgrohe-2023,2888,36,98,316,12393.0,70.8979357798165,0.012465373961218837,0.03393351800554017,0.10941828254847645,4.291204986149585
14,uae-team-emirates-2023,3082,52,140,352,15974.0,65.87394340316061,0.016872160934458143,0.045425048669695,0.11421155094094744,5.1829980532121995
15,team-flanders--baloise-2023,556,1,2,10,1184.0,61.71875,0.0017985611510791368,0.0035971223021582736,0.017985611510791366,2.129496402877698
16,astana-qazaqstan-team-2023,2880,23,62,205,8355.0,60.70800933125972,0.00798611111111111,0.021527777777777778,0.07118055555555555,2.9010416666666665
17,movistar-team-2023,2897,16,69,245,9714.0,59.53572764683876,0.005522954780807732,0.023817742492233344,0.08457024508111839,3.3531239212978945
18,intermarche-circus-wanty-2023,2295,14,44,169,7708.0,66.75523760858457,0.006100217864923747,0.01917211328976035,0.07363834422657953,3.3586056644880173
19,team-totalenergies-2023,1646,6,24,98,4559.0,72.98146828225232,0.0036452004860267314,0.014580801944106925,0.05953827460510328,2.769744835965978
20,bingoal-wb-2023,573,0,3,17,1232.0,59.25067385444744,0.0,0.005235602094240838,0.029668411867364748,2.150087260034904
21,alpecin-deceuninck-2023,1370,21,39,94,6660.0,78.5612582781457,0.015328467153284672,0.02846715328467153,0.06861313868613139,4.861313868613139
22,israel-premier-tech-2023,2409,11,40,126,6142.0,81.43298479087453,0.0045662100456621,0.016604400166044003,0.052303860523038606,2.5496056454960563
23,cofidis-2023,2796,14,50,161,7398.0,73.71747805267358,0.005007153075822604,0.0178826895565093,0.057582260371959945,2.6459227467811157
24,team-arkea-samsic-2023,1801,8,24,123,5593.0,65.40102827763496,0.004441976679622432,0.013325930038867296,0.06829539144919489,3.1054969461410327
25,uno-x-pro-cycling-team-2023,392,1,5,18,994.0,65.6078431372549,0.002551020408163265,0.012755102040816327,0.04591836734693878,2.5357142857142856
26,caja-rural-seguros-rga-2023,895,0,5,24,835.0,77.53083109919571,0.0,0.00558659217877095,0.026815642458100558,0.9329608938547486
27,burgos-bh-2023,940,1,4,19,684.0,81.15306122448979,0.0010638297872340426,0.00425531914893617,0.02021276595744681,0.7276595744680852
28,equipo-kern-pharma-2023,584,0,2,11,500.0,66.96581196581197,0.0,0.003424657534246575,0.018835616438356163,0.8561643835616438
29,euskaltel-euskadi-2023,677,1,3,19,630.0,73.4676007005254,0.0014771048744460858,0.004431314623338257,0.028064992614475627,0.930576070901034
30,team-novo-nordisk-2023,209,0,0,1,68.0,90.97619047619048,0.0,0.0,0.004784688995215311,0.3253588516746411
31,human-powered-health-2023,458,1,2,10,327.0,77.63142857142857,0.002183406113537118,0.004366812227074236,0.021834061135371178,0.7139737991266376
32,green-project-bardiani-csf-faizane-2023,962,0,4,24,1156.0,78.2671052631579,0.0,0.004158004158004158,0.02494802494802495,1.2016632016632016
33,tudor-pro-cycling-team-2023,149,0,0,2,128.0,66.50925925925925,0.0,0.0,0.013422818791946308,0.8590604026845637
34,eolo-kometa-2023,650,1,5,17,910.0,73.00391389432485,0.0015384615384615385,0.007692307692307693,0.026153846153846153,1.4
35,bolton-equities-black-spoke-2023,60,0,0,1,110.0,52.4054054054054,0.0,0.0,0.016666666666666666,1.8333333333333333
36,team-corratec-2023,75,0,0,0,0.0,45.92307692307692,0.0,0.0,0.0,0.0
