,race_code,race_url,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
141,per-sempre-alfredo/2021,https://www.procyclingstats.com/race/per-sempre-alfredo/2021,21-Mar-21,12:00,42.6 km/h,ME - Men Elite,162 km,1.1,UCI.WR.1,,35,2078,Firenze,Sesto Fiorentino,82,69,Sprint of small group,
142,cholet-pays-de-loire/2021,https://www.procyclingstats.com/race/cholet-pays-de-loire/2021,28-Mar-21,11:45  (12:45 CET),42.7 km/h,ME - Men Elite,201.8 km,1.1,UCI.WR.1,,41,1714,Cholet,Cholet,61,163,Sprint of large group,
143,la-roue-tourangelle/2021,https://www.procyclingstats.com/race/la-roue-tourangelle/2021,04-Apr-21,12:15,41.78 km/h,ME - Men Elite,204 km,1.1,UCI.WR.1,,41,1647,Sainte-Maure-de-Touraine,Tours,60,188,Sprint of large group,
144,circuit-de-wallonie/2021,https://www.procyclingstats.com/race/circuit-de-wallonie/2021,13-May-21,13:30,45.041 km/h,ME - Men Elite,194.2 km,1.1,UCI.WR.1,,60,2023,Charleroi,Charleroi,79,128,Sprint of large group,
145,trofeo-calvia/2021,https://www.procyclingstats.com/race/trofeo-calvia/2021,13-May-21,12:00,38.772 km/h,ME - Men Elite,168.7 km,1.1,UCI.WR.1,,161,3473,Peguera,Palmanova,81,124,Sprint a deux,
146,deia-trophy/2021,https://www.procyclingstats.com/race/deia-trophy/2021,14-May-21,11:30,40.955 km/h,ME - Men Elite,158.6 km,1.1,UCI.WR.1,,139,2381,Lloseta,Deià,74,146,Sprint a deux,
147,trofeo-andratx-mirador-d-es-colomer/2021,https://www.procyclingstats.com/race/trofeo-andratx-mirador-d-es-colomer/2021,15-May-21,12:00,39.583 km/h,ME - Men Elite,161.3 km,1.1,UCI.WR.1,,171,3559,Andratx,Mirador d'Es Colomer (Pollença),78,131,? km solo,
148,trofeo-alcudia/2021,https://www.procyclingstats.com/race/trofeo-alcudia/2021,16-May-21,10:10,44.219 km/h,ME - Men Elite,169.8 km,1.1,UCI.WR.1,,16,1202,Alcudia,Alcudia,85,122,Sprint of large group,
149,tour-du-finistere/2021,https://www.procyclingstats.com/race/tour-du-finistere/2021,22-May-21,10:50,39.429 km/h,ME - Men Elite,196.3 km,1.1,UCI.WR.1,,125,2862,Saint-Evarzec,Quimper,86,123,Sprint of small group,
150,vuelta-ciclista-a-la-region-de-murcia/2021,https://www.procyclingstats.com/race/vuelta-ciclista-a-la-region-de-murcia/2021,23-May-21,12:00  (14:00 CET),40.89 km/h,ME - Men Elite,192.4 km,1.1,UCI.WR.1,,90,2247,Los Alcázares,Alcantarilla,79,137,? km solo,
151,mercan-tour-classic-alpes-maritimes/2021,https://www.procyclingstats.com/race/mercan-tour-classic-alpes-maritimes/2021,24-May-21,10:50,34.077 km/h,ME - Men Elite,149.9 km,1.1,UCI.WR.1,,344,4394,Saint-Sauveur-sur-Tinée,Col de Valberg,77,145,6 km solo,
152,ronde-van-limburg/2021,https://www.procyclingstats.com/race/ronde-van-limburg/2021,24-May-21,13:42,42.574 km/h,ME - Men Elite,199.8 km,1.1,UCI.WR.1,,,,Hasselt,Tongeren,97,110,Sprint of large group,
153,gp-du-canton-d-argovie/2021,https://www.procyclingstats.com/race/gp-du-canton-d-argovie/2021,04-Jun-21,13:30,41.994 km/h,ME - Men Elite,172 km,1.1,UCI.WR.1,,137,2882,Leuggern,Leuggern,58,257,Sprint of small group,
154,circuit-des-xi-villes/2021,https://www.procyclingstats.com/race/circuit-des-xi-villes/2021,06-Jun-21,12:18,45.17 km/h,ME - Men Elite,193.1 km,1.1,UCI.WR.1,,0,269,Bruges,Bruges,65,233,Sprint of large group,
155,mont-ventoux-denivele-challenge/2021,https://www.procyclingstats.com/race/mont-ventoux-denivele-challenge/2021,08-Jun-21,11:05,33.992 km/h,ME - Men Elite,153 km,1.1,UCI.WR.1,,388,4422,Vaison-la-Romaine,Mont Ventoux,67,210,12.5 km solo,
156,paris-camembert/2021,https://www.procyclingstats.com/race/paris-camembert/2021,15-Jun-21,10:45,39.482 km/h,ME - Men Elite,210 km,1.1,UCI.WR.1,,102,2677,Pont-Audemer,Camembert,85,143,Sprint a deux,
157,giro-del-appennino/2021,https://www.procyclingstats.com/race/giro-del-appennino/2021,24-Jun-21,11:00,39.695 km/h,ME - Men Elite,192.1 km,1.1,UCI.WR.1,,126,2689,Pasturana,Genoa,98,122,? km solo,
158,gp-lugano/2021,https://www.procyclingstats.com/race/gp-lugano/2021,27-Jun-21,11:00,36.696 km/h,ME - Men Elite,179.2 km,1.1,UCI.WR.1,,158,3352,Lugano,Lugano,89,137,4 km solo,
159,prueba-villafranca/2021,https://www.procyclingstats.com/race/prueba-villafranca/2021,25-Jul-21,10:00,42.955 km/h,ME - Men Elite,165.7 km,1.1,UCI.WR.1,,126,2391,Ordizia,Ordizia,113,80,Sprint of small group,
160,vuelta-a-castilla-y-leon/2021,https://www.procyclingstats.com/race/vuelta-a-castilla-y-leon/2021,29-Jul-21,13:42,42.433 km/h,ME - Men Elite,181.2 km,1.1,UCI.WR.1,,77,2073,León,Ponferrada,111,103,? km solo,
161,heist-op-den-berg/2021,https://www.procyclingstats.com/race/heist-op-den-berg/2021,31-Jul-21,14:00,44.991 km/h,ME - Men Elite,192.8 km,1.1,UCI.WR.1,,7,583,Vosselaar,Heist-op-den-Berg,111,106,Sprint of small group,
162,circuito-de-getxo/2021,https://www.procyclingstats.com/race/circuito-de-getxo/2021,01-Aug-21,12:00,45.998 km/h,ME - Men Elite,193.5 km,1.1,UCI.WR.1,,104,2130,Bilbao,Getxo,61,265,Sprint of small group,
163,gp-jef-scherens/2021,https://www.procyclingstats.com/race/gp-jef-scherens/2021,15-Aug-21,10:23,42.506 km/h,ME - Men Elite,190 km,1.1,UCI.WR.1,,38,1673,Leuven,Leuven,108,115,Sprint of large group,
164,la-poly-normande/2021,https://www.procyclingstats.com/race/la-poly-normande/2021,15-Aug-21,13:00,44.07 km/h,ME - Men Elite,168.9 km,1.1,UCI.WR.1,,65,2292,Avranches,Saint-Martin-de-Landelles,116,100,Sprint of small group,
165,gp-stad-zottegem/2021,https://www.procyclingstats.com/race/gp-stad-zottegem/2021,17-Aug-21,12:45,42.443 km/h,ME - Men Elite,192.3 km,1.1,UCI.WR.1,,10,1438,Zottegem,Zottegem,120,81,Sprint of large group,
166,grote-prijs-marcel-kint/2021,https://www.procyclingstats.com/race/grote-prijs-marcel-kint/2021,20-Aug-21,10:30,44.673 km/h,ME - Men Elite,196.3 km,1.1,UCI.WR.1,,12,1189,Zwevegem,Kortrijk,88,160,Sprint of small group,
167,druivenkoers-overijse/2021,https://www.procyclingstats.com/race/druivenkoers-overijse/2021,26-Aug-21,12:45,45.015 km/h,ME - Men Elite,192 km,1.1,UCI.WR.1,,51,1629,Overijse,Overijse,57,278,60.9 km solo,19 °C
168,classic-grand-besancon-doubs/2021,https://www.procyclingstats.com/race/classic-grand-besancon-doubs/2021,03-Sep-21,11:30,41.357 km/h,ME - Men Elite,172.55 km,1.1,UCI.WR.1,,71,2165,Besançon,Marchaux,82,176,Sprint of small group,
169,tour-du-jura-cycliste/2021,https://www.procyclingstats.com/race/tour-du-jura-cycliste/2021,04-Sep-21,12:15,41.694 km/h,ME - Men Elite,181.75 km,1.1,UCI.WR.1,,107,2684,Lons-le-Saunier,Lons-le-Saunier,70,213,Sprint of small group,
170,tour-du-doubs/2021,https://www.procyclingstats.com/race/tour-du-doubs/2021,05-Sep-21,11:45,40.865 km/h,ME - Men Elite,201 km,1.1,UCI.WR.1,,101,2895,Morteau,Pontarlier,76,194,Sprint of small group,22 °C
171,antwerp-port-epic/2021,https://www.procyclingstats.com/race/antwerp-port-epic/2021,12-Sep-21,14:30,43.658 km/h,ME - Men Elite,183.4 km,1.1,UCI.WR.1,,0,186,Antwerp,Antwerp,86,174,Sprint a deux,20 °C
172,giro-di-toscana/2021,https://www.procyclingstats.com/race/giro-di-toscana/2021,15-Sep-21,11:30,42.015 km/h,ME - Men Elite,191.6 km,1.1,UCI.WR.1,,108,2022,Pontedera,Pontedera,51,303,14.2 km solo,20 °C
173,kampioenschap-van-vlaanderen/2021,https://www.procyclingstats.com/race/kampioenschap-van-vlaanderen/2021,17-Sep-21,13:00,46.642 km/h,ME - Men Elite,195.3 km,1.1,UCI.WR.1,,0,697,Koolskamp,Koolskamp,70,220,Sprint of large group,
174,memorial-marco-pantani/2021,https://www.procyclingstats.com/race/memorial-marco-pantani/2021,18-Sep-21,11:00,39.39 km/h,ME - Men Elite,190.7 km,1.1,UCI.WR.1,,88,2928,Castrocaro Terme e Terra del Sole,Cesenatico,70,232,Sprint of small group,25 °C
175,gooikse-pijl/2021,https://www.procyclingstats.com/race/gooikse-pijl/2021,19-Sep-21,12:00,45.607 km/h,ME - Men Elite,199 km,1.1,UCI.WR.1,,21,1893,Halle,Gooik,96,163,Sprint of large group,
176,gp-d-isbergues/2021,https://www.procyclingstats.com/race/gp-d-isbergues/2021,19-Sep-21,11:55,44.812 km/h,ME - Men Elite,199.3 km,1.1,UCI.WR.1,,13,1060,Isbergues,Isbergues,77,213,Sprint of large group,
177,trofeo-matteotti/2021,https://www.procyclingstats.com/race/trofeo-matteotti/2021,19-Sep-21,11:15,41.748 km/h,ME - Men Elite,195 km,1.1,UCI.WR.1,,88,2513,Pescara,Pescara,100,151,5 km solo,28 °C
178,omloop-van-het-houtland-lichtervelde/2021,https://www.procyclingstats.com/race/omloop-van-het-houtland-lichtervelde/2021,23-Sep-21,12:45  (14:45 CET),48.037 km/h,ME - Men Elite,190 km,1.1,UCI.WR.1,,0,384,Middelkerke,Lichtervelde,105,144,5 km solo,17 °C
179,paris-chauny-classique/2021,https://www.procyclingstats.com/race/paris-chauny-classique/2021,26-Sep-21,12:30,45.515 km/h,ME - Men Elite,205.3 km,1.1,UCI.WR.1,,30,1869,Margny-lès-Compiègne,Chauny,82,202,Sprint of small group,
180,route-adelie-de-vitre/2021,https://www.procyclingstats.com/race/route-adelie-de-vitre/2021,01-Oct-21,11:45,41.732 km/h,ME - Men Elite,197.8 km,1.1,UCI.WR.1,,63,2580,Vitré,Vitré,103,155,Sprint of large group,17 °C
181,classic-loire-atlantique/2021,https://www.procyclingstats.com/race/classic-loire-atlantique/2021,02-Oct-21,12:30,40.698 km/h,ME - Men Elite,182.8 km,1.1,UCI.WR.1,,83,2452,La Haye-Fouassière,La Haye-Fouassière,118,131,Sprint of small group,
182,memorial-frank-vandenbroucke/2021,https://www.procyclingstats.com/race/memorial-frank-vandenbroucke/2021,05-Oct-21,12:15,41.847 km/h,ME - Men Elite,198.6 km,1.1,UCI.WR.1,,53,1777,Binche,Binche,77,226,0.8 km solo,12 °C
183,paris-bourges/2021,https://www.procyclingstats.com/race/paris-bourges/2021,07-Oct-21,12:40,45.523 km/h,ME - Men Elite,198 km,1.1,UCI.WR.1,,56,2014,Gien,Bourges,72,267,Sprint of large group,16 °C
184,tour-de-vendee/2021,https://www.procyclingstats.com/race/tour-de-vendee/2021,09-Oct-21,13:20,42.904 km/h,ME - Men Elite,199.8 km,1.1,UCI.WR.1,,49,2111,Les Herbiers,La Roche-sur-Yon,140,105,Sprint of small group,19 °C
185,coppa-agostoni/2021,https://www.procyclingstats.com/race/coppa-agostoni/2021,11-Oct-21,12:15,41.581 km/h,ME - Men Elite,180 km,1.1,UCI.WR.1,,131,2816,Lissone,Lissone,78,248,Sprint a deux,17 °C
186,giro-del-veneto/2021,https://www.procyclingstats.com/race/giro-del-veneto/2021,13-Oct-21,12:25,43.248 km/h,ME - Men Elite,168.8 km,1.1,UCI.WR.1,,89,1722,Cittadella,Padova,96,193,Sprint of small group,18 °C
187,boucles-de-l-aulne/2021,https://www.procyclingstats.com/race/boucles-de-l-aulne/2021,17-Oct-21,13:00,42.446 km/h,ME - Men Elite,177.6 km,1.1,UCI.WR.1,,100,2793,Châteaulin,Châteaulin,141,115,7 km solo,18 °C
188,chrono-des-nations/2021,https://www.procyclingstats.com/race/chrono-des-nations/2021,17-Oct-21,14:00,51.561 km/h,ME - Men Elite,44.5 km,1.1,UCI.WR.1,,4,322,Les Herbiers,Les Herbiers,155,79,Time Trial,
189,veneto-classic/2021,https://www.procyclingstats.com/race/veneto-classic/2021,17-Oct-21,11:30  (13:30 CET),41.051 km/h,ME - Men Elite,206.5 km,1.1,UCI.WR.1,,164,2577,Venezia,Bassano Del Grappa,99,189,21.9 km solo,18 °C
190,ronde-van-drenthe/2021,https://www.procyclingstats.com/race/ronde-van-drenthe/2021,24-Oct-21,12:02  (13:02 CET),43.15 km/h,ME - Men Elite,188.5 km,1.1,UCI.WR.1,,10,568,Assen,Hoogeveen,165,60,? km solo,12 °C
367,clasica-de-almeria/2021,https://www.procyclingstats.com/race/clasica-de-almeria/2021,14-Feb-21,13:05  (14:05 CET),42.51 km/h,ME - Men Elite,183.3 km,1.PRO,UCI.WR.Pro,,29,1680,Pueblo de Vicar,Roquetas de Mar,40,302,Sprint of large group,
368,faun-ardeche-classic/2021,https://www.procyclingstats.com/race/faun-ardeche-classic/2021,27-Feb-21,11:35  (12:35 CET),37.7 km/h,ME - Men Elite,171.3 km,1.PRO,UCI.WR.Pro,,201,3123,Guilherand-Granges,Guilherand-Granges,34,437,Sprint a deux,
369,kuurne-brussel-kuurne/2021,https://www.procyclingstats.com/race/kuurne-brussel-kuurne/2021,28-Feb-21,12:08  (13:08 CET),42.66 km/h,ME - Men Elite,197 km,1.PRO,UCI.WR.Pro,,38,1715,Kuurne,Kuurne,16,657,Sprint of large group,
370,la-drome-classic/2021,https://www.procyclingstats.com/race/la-drome-classic/2021,28-Feb-21,11:54  (12:54 CET),40.84 km/h,ME - Men Elite,179.2 km,1.PRO,UCI.WR.Pro,,128,2422,Eurre,Eurre,34,440,5.1 km solo,
371,trofeo-laigueglia/2021,https://www.procyclingstats.com/race/trofeo-laigueglia/2021,03-Mar-21,11:00,40.8 km/h,ME - Men Elite,202 km,1.PRO,UCI.WR.Pro,,151,2973,Laigueglia,Laigueglia,37,379,15 km solo,
372,gp-industria-artigianato/2021,https://www.procyclingstats.com/race/gp-industria-artigianato/2021,07-Mar-21,11:30,43.55 km/h,ME - Men Elite,193.4 km,1.PRO,UCI.WR.Pro,,90,2259,Larciano,Larciano,40,308,Sprint of small group,
373,nokere-koers/2021,https://www.procyclingstats.com/race/nokere-koers/2021,17-Mar-21,12:33,42.76 km/h,ME - Men Elite,195 km,1.PRO,UCI.WR.Pro,,13,1099,Deinze,Nokere,54,233,2 km solo,
374,bredene-koksijde-classic/2021,https://www.procyclingstats.com/race/bredene-koksijde-classic/2021,19-Mar-21,12:40,47.27 km/h,ME - Men Elite,199.9 km,1.PRO,UCI.WR.Pro,,11,752,Bredene,Koksijde,45,277,Sprint of small group,
375,gp-miguel-indurain/2021,https://www.procyclingstats.com/race/gp-miguel-indurain/2021,03-Apr-21,12:20  (13:20 CET),39.23 km/h,ME - Men Elite,203.2 km,1.PRO,UCI.WR.Pro,,156,3445,Estella,Estella,38,365,2.1 km solo,
376,scheldeprijs/2021,https://www.procyclingstats.com/race/scheldeprijs/2021,07-Apr-21,12:47,47.754 km/h,ME - Men Elite,193.8 km,1.PRO,UCI.WR.Pro,,1,352,Terneuzen,Schoten,31,490,Sprint of large group,
378,brabantse-pijl/2021,https://www.procyclingstats.com/race/brabantse-pijl/2021,14-Apr-21,12:35,43.776 km/h,ME - Men Elite,201.7 km,1.PRO,UCI.WR.Pro,,74,2169,Leuven,Overijse,26,565,Sprint of small group,
382,tro-bro-leon/2021,https://www.procyclingstats.com/race/tro-bro-leon/2021,16-May-21,11:40,38.979 km/h,ME - Men Elite,207 km,1.PRO,UCI.WR.Pro,,40,1760,Lannilis,Lannilis,69,165,Sprint of small group,
385,dwars-door-het-hageland/2021,https://www.procyclingstats.com/race/dwars-door-het-hageland/2021,05-Jun-21,13:10,44.538 km/h,ME - Men Elite,177 km,1.PRO,UCI.WR.Pro,,24,1065,Aarschot,Diest,72,170,Sprint of small group,
394,brussels-cycling-classic/2021,https://www.procyclingstats.com/race/brussels-cycling-classic/2021,28-Aug-21,10:26  (12:26 CET),45.877 km/h,ME - Men Elite,205.3 km,1.PRO,UCI.WR.Pro,,33,1875,Brussels,Brussels,72,210,11.3 km solo,18 °C
396,gp-de-fourmies/2021,https://www.procyclingstats.com/race/gp-de-fourmies/2021,12-Sep-21,12:00,45.046 km/h,ME - Men Elite,197.6 km,1.PRO,UCI.WR.Pro,,47,2111,Fourmies,Fourmies,71,218,Sprint of large group,19 °C
398,gp-de-wallonie/2021,https://www.procyclingstats.com/race/gp-de-wallonie/2021,15-Sep-21,12:12,41.627 km/h,ME - Men Elite,208.1 km,1.PRO,UCI.WR.Pro,,107,2958,Aywaille,Citadelle de Namur,57,288,Sprint of small group,18 °C
399,gp-citta-di-peccioli/2021,https://www.procyclingstats.com/race/gp-citta-di-peccioli/2021,16-Sep-21,11:00,40.238 km/h,ME - Men Elite,210.8 km,1.PRO,UCI.WR.Pro,,115,2671,Peccioli,Peccioli,60,276,Sprint a deux,24 °C
400,gp-impanis-van-petegem/2021,https://www.procyclingstats.com/race/gp-impanis-van-petegem/2021,18-Sep-21,12:55,43.279 km/h,ME - Men Elite,197.7 km,1.PRO,UCI.WR.Pro,,41,1680,Brakel,Haacht,41,413,Sprint of small group,23 °C
401,gp-de-denain/2021,https://www.procyclingstats.com/race/gp-de-denain/2021,21-Sep-21,11:37  (12:37 CET),42.809 km/h,ME - Men Elite,200.3 km,1.PRO,UCI.WR.Pro,,6,1209,Denain,Denain,67,262,Sprint of large group,17 °C
402,circuit-franco-belge/2021,https://www.procyclingstats.com/race/circuit-franco-belge/2021,29-Sep-21,13:05,42.876 km/h,ME - Men Elite,177.6 km,1.PRO,UCI.WR.Pro,,45,1530,La Louvière,Tournai,49,353,Sprint of small group,14 °C
403,giro-dell-emilia/2021,https://www.procyclingstats.com/race/giro-dell-emilia/2021,02-Oct-21,11:30,39.798 km/h,ME - Men Elite,195.3 km,1.PRO,UCI.WR.Pro,,252,3402,Casalecchio di Reno,San Luca,19,759,0.3 km solo,22 °C
404,munsterland-giro/2021,https://www.procyclingstats.com/race/munsterland-giro/2021,03-Oct-21,11:36,44.905 km/h,ME - Men Elite,188.5 km,1.PRO,UCI.WR.Pro,,16,918,Enschede,Munster,103,163,Sprint of small group,17 °C
405,coppa-bernocchi/2021,https://www.procyclingstats.com/race/coppa-bernocchi/2021,04-Oct-21,11:55,44.434 km/h,ME - Men Elite,197.15 km,1.PRO,UCI.WR.Pro,,69,2050,Legnano,Legnano,48,396,31.5 km solo,17 °C
406,tre-valli-varesine/2021,https://www.procyclingstats.com/race/tre-valli-varesine/2021,05-Oct-21,12:00,41.112 km/h,ME - Men Elite,196.7 km,1.PRO,UCI.WR.Pro,,153,3264,Busto Arsizio,Varese,30,611,Sprint a deux,16 °C
407,milano-torino/2021,https://www.procyclingstats.com/race/milano-torino/2021,06-Oct-21,12:20,44.24 km/h,ME - Men Elite,190 km,1.PRO,UCI.WR.Pro,,182,1725,Magenta,Torino (Superga),19,784,0.3 km solo,19 °C
408,gran-piemonte/2021,https://www.procyclingstats.com/race/gran-piemonte/2021,07-Oct-21,13:00,46.931 km/h,ME - Men Elite,168 km,1.PRO,UCI.WR.Pro,,22,1338,Rocca Canavese,Borgosesia,51,394,Sprint of large group,19 °C
409,paris-tours/2021,https://www.procyclingstats.com/race/paris-tours/2021,10-Oct-21,11:55,46.639 km/h,ME - Men Elite,212.3 km,1.PRO,UCI.WR.Pro,,31,1269,Chartres,Tours,40,458,Sprint of small group,17 °C
410,gp-de-plumelec/2021,https://www.procyclingstats.com/race/gp-de-plumelec/2021,16-Oct-21,12:25,45.816 km/h,ME - Men Elite,176.9 km,1.PRO,UCI.WR.Pro,,54,1992,Grand-Champ,Grand-Champ,135,123,Sprint of large group,17 °C
493,olympic-games/2021,https://www.procyclingstats.com/race/olympic-games/2021,24-Jul-21,11:00  (04:00 CET),38.42 km/h,ME - Men Elite,234 km,Olympics.RR,UCI.WR.WO - TM2022,,229,4582,Musashinonomori Park,Fuji International Speedway,3,1181,5.7 km solo,
494,olympic-games-itt/2021,https://www.procyclingstats.com/race/olympic-games-itt/2021,28-Jul-21,14:00  (07:00 CET),48.16 km/h,ME - Men Elite,44.2 km,Olympics.TT,UCI.WR.WO.TT - TM2022,,54,746,Fuji International Speedway,Fuji International Speedway,35,487,Time Trial,
