,race_code,race_url,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
60,omloop-het-nieuwsblad/2021,https://www.procyclingstats.com/race/omloop-het-nieuwsblad/2021,27-Feb-21,11:20,42.5 km/h,ME - Men Elite,200.5 km,1.WT.B,UCI.WR.C3,,47,1654,Ghent,Ninove,20,647,Sprint of large group,
61,strade-bianche/2021,https://www.procyclingstats.com/race/strade-bianche/2021,06-Mar-21,11:45,39.36 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C3,,159,3072,Siena,Siena,7,827,0.5 km solo,
64,milano-sanremo/2021,https://www.procyclingstats.com/race/milano-sanremo/2021,20-Mar-21,10:00,45.06 km/h,ME - Men Elite,299 km,1.WT.A,UCI.WR.C1,,59,2020,Milano,Sanremo,5,1088,Sprint a deux,
66,oxyclean-classic-brugge-de-panne/2021,https://www.procyclingstats.com/race/oxyclean-classic-brugge-de-panne/2021,24-Mar-21,12:15,45.71 km/h,ME - Men Elite,203.9 km,1.WT.B,UCI.WR.C3,,0,234,Brugge,De Panne,29,489,Sprint of large group,
67,e3-harelbeke/2021,https://www.procyclingstats.com/race/e3-harelbeke/2021,26-Mar-21,12:15,43.24 km/h,ME - Men Elite,203.9 km,1.WT.B,UCI.WR.C2,,59,2000,Harelbeke,Harelbeke,13,714,5 km solo,
68,gent-wevelgem/2021,https://www.procyclingstats.com/race/gent-wevelgem/2021,28-Mar-21,10:15  (11:15 CET),43.46 km/h,ME - Men Elite,250 km,1.WT.B,UCI.WR.C1,,36,1425,Ypres,Wevelgem,10,797,Sprint of small group,
69,dwars-door-vlaanderen/2021,https://www.procyclingstats.com/race/dwars-door-vlaanderen/2021,31-Mar-21,12:25,46.22 km/h,ME - Men Elite,184.1 km,1.WT.B,UCI.WR.C3,,55,1446,Roeselare,Waregem,9,820,58 km solo,
70,ronde-van-vlaanderen/2021,https://www.procyclingstats.com/race/ronde-van-vlaanderen/2021,04-Apr-21,10:18,42.13 km/h,ME - Men Elite,254.3 km,1.WT.A,UCI.WR.C1,,81,2198,Antwerp,Oudenaarde,7,872,Sprint a deux,
72,amstel-gold-race/2021,https://www.procyclingstats.com/race/amstel-gold-race/2021,18-Apr-21,12:11,43.218 km/h,ME - Men Elite,218.6 km,1.WT.B,UCI.WR.C1,,81,2893,Valkenburg,Berg en Terblijt,6,1088,Sprint of small group,
73,la-fleche-wallone/2021,https://www.procyclingstats.com/race/la-fleche-wallone/2021,21-Apr-21,11:35,42.024 km/h,ME - Men Elite,193.6 km,1.WT.B,UCI.WR.C2,,158,2981,Charleroi,Mur de Huy,7,1068,Sprint a deux,
74,liege-bastogne-liege/2021,https://www.procyclingstats.com/race/liege-bastogne-liege/2021,25-Apr-21,10:15,38.92 km/h,ME - Men Elite,259.1 km,1.WT.A,UCI.WR.C1,,181,4352,Liège,Liège,4,1144,Sprint of small group,
80,san-sebastian/2021,https://www.procyclingstats.com/race/san-sebastian/2021,31-Jul-21,11:54,40.088 km/h,ME - Men Elite,223.5 km,1.WT.B,UCI.WR.C2,,225,4113,San Sebastián,San Sebastián,27,645,Sprint of small group,
83,bretagne-classic/2021,https://www.procyclingstats.com/race/bretagne-classic/2021,29-Aug-21,10:45,41.841 km/h,ME - Men Elite,251 km,1.WT.B,UCI.WR.C2,,116,3695,Plouay,Plouay,23,653,Sprint a deux,21 °C
85,eschborn-frankfurt/2021,https://www.procyclingstats.com/race/eschborn-frankfurt/2021,19-Sep-21,13:26,41.947 km/h,ME - Men Elite,187.4 km,1.WT.B,UCI.WR.C3,,89,2657,Eschborn,Frankfurt-am-Main,41,430,Sprint of large group,18 °C
86,paris-roubaix/2021,https://www.procyclingstats.com/race/paris-roubaix/2021,03-Oct-21,11:15,42.719 km/h,ME - Men Elite,257.7 km,1.WT.A,UCI.WR.C1,,5,1360,Compiègne,Roubaix,11,984,Sprint of small group,13 °C
87,il-lombardia/2021,https://www.procyclingstats.com/race/il-lombardia/2021,09-Oct-21,10:30,39.652 km/h,ME - Men Elite,239 km,1.WT.A,UCI.WR.C1,,210,4659,Como,Bergamo,8,1069,Sprint a deux,13 °C
130,world-championships-itt-u23/2021,https://www.procyclingstats.com/race/world-championships-itt-u23/2021,20-Sep-21,10:40  (09:40 CET),52.721 km/h,MU - Men U23,30.3 km,UCI.WO.u23.TT,UCI.WR.WO.U23.TT,,0,27,Knokke-Heist,Bruges,179,28,Time Trial,
131,world-championship-itt/2021,https://www.procyclingstats.com/race/world-championship-itt/2021,19-Sep-21,14:40,54.37 km/h,ME - Men Elite,43.3 km,Worlds.TT,UCI.WR.WO.TT - TM2022,,0,34,Knokke-Heist,Bruges,48,363,Time Trial,
132,world-championships-u23/2021,https://www.procyclingstats.com/race/world-championships-u23/2021,24-Sep-21,13:25  (15:25 CET),44.421 km/h,MU - Men U23,161.1 km,Nationals.C1,UCI.WR.WO.U23,,,1094,Antwerp,Leuven,129,86,5.5 km solo,
133,world-championship/2021,https://www.procyclingstats.com/race/world-championship/2021,26-Sep-21,10:25,45.147 km/h,ME - Men Elite,268.3 km,Worlds.RR,UCI.WR.WO - TM2022,,54,2250,Antwerp,Leuven,2,1357,17.4 km solo,21 °C
138,gp-d-ouverture/2021,https://www.procyclingstats.com/race/gp-d-ouverture/2021,31-Jan-21,11:40  (12:40 CET),38.93 km/h,ME - Men Elite,171.6 km,1.1,UCI.WR.1,,127,2803,Marseille,Marseille,61,192,Sprint of small group,
139,gp-samyn/2021,https://www.procyclingstats.com/race/gp-samyn/2021,02-Mar-21,12:30  (13:30 CET),44.899 km/h,ME - Men Elite,205.4 km,1.1,UCI.WR.1,,12,1455,Quaregnon,Dour,41,295,Sprint of large group,
140,grote-prijs-jean-pierre-monsere/2021,https://www.procyclingstats.com/race/grote-prijs-jean-pierre-monsere/2021,07-Mar-21,10:45,44.14 km/h,ME - Men Elite,202.1 km,1.1,UCI.WR.1,,6,659,Hooglede,Roeselare,73,113,Sprint of large group,
