stage_url,stage_code
https://www.procyclingstats.com/race/tour-down-under/2023/stage-1,tour-down-under/2023/stage-1
https://www.procyclingstats.com/race/uae-tour/2023/stage-1,uae-tour/2023/stage-1
https://www.procyclingstats.com/race/tour-down-under/2023/stage-2,tour-down-under/2023/stage-2
https://www.procyclingstats.com/race/uae-tour/2023/stage-2,uae-tour/2023/stage-2
https://www.procyclingstats.com/race/tour-down-under/2023/stage-3,tour-down-under/2023/stage-3
https://www.procyclingstats.com/race/uae-tour/2023/stage-3,uae-tour/2023/stage-3
https://www.procyclingstats.com/race/tour-down-under/2023/stage-4,tour-down-under/2023/stage-4
https://www.procyclingstats.com/race/uae-tour/2023/stage-4,uae-tour/2023/stage-4
https://www.procyclingstats.com/race/tour-down-under/2023/stage-5,tour-down-under/2023/stage-5
https://www.procyclingstats.com/race/uae-tour/2023/stage-5,uae-tour/2023/stage-5
https://www.procyclingstats.com/race/uae-tour/2023/stage-6,uae-tour/2023/stage-6
https://www.procyclingstats.com/race/uae-tour/2023/stage-7,uae-tour/2023/stage-7
