stage_url,stage_code
https://www.procyclingstats.com/race/uae-tour/2022/stage-1,uae-tour/2022/stage-1
https://www.procyclingstats.com/race/paris-nice/2022/stage-1,paris-nice/2022/stage-1
https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-1,tirreno-adriatico/2022/stage-1
https://www.procyclingstats.com/race/volta-a-catalunya/2022/stage-1,volta-a-catalunya/2022/stage-1
https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-1,itzulia-basque-country/2022/stage-1
https://www.procyclingstats.com/race/tour-de-romandie/2022/stage-1,tour-de-romandie/2022/stage-1
https://www.procyclingstats.com/race/dauphine/2022/stage-1,dauphine/2022/stage-1
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-1,tour-de-suisse/2022/stage-1
https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-1,tour-de-pologne/2022/stage-1
https://www.procyclingstats.com/race/uae-tour/2022/stage-2,uae-tour/2022/stage-2
https://www.procyclingstats.com/race/paris-nice/2022/stage-2,paris-nice/2022/stage-2
https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-2,tirreno-adriatico/2022/stage-2
https://www.procyclingstats.com/race/volta-a-catalunya/2022/stage-2,volta-a-catalunya/2022/stage-2
https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-2,itzulia-basque-country/2022/stage-2
https://www.procyclingstats.com/race/tour-de-romandie/2022/stage-2,tour-de-romandie/2022/stage-2
https://www.procyclingstats.com/race/dauphine/2022/stage-2,dauphine/2022/stage-2
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-2,tour-de-suisse/2022/stage-2
https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-2,tour-de-pologne/2022/stage-2
https://www.procyclingstats.com/race/uae-tour/2022/stage-3,uae-tour/2022/stage-3
https://www.procyclingstats.com/race/paris-nice/2022/stage-3,paris-nice/2022/stage-3
https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-3,tirreno-adriatico/2022/stage-3
https://www.procyclingstats.com/race/volta-a-catalunya/2022/stage-3,volta-a-catalunya/2022/stage-3
https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-3,itzulia-basque-country/2022/stage-3
https://www.procyclingstats.com/race/tour-de-romandie/2022/stage-3,tour-de-romandie/2022/stage-3
https://www.procyclingstats.com/race/dauphine/2022/stage-3,dauphine/2022/stage-3
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-3,tour-de-suisse/2022/stage-3
https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-3,tour-de-pologne/2022/stage-3
https://www.procyclingstats.com/race/uae-tour/2022/stage-4,uae-tour/2022/stage-4
https://www.procyclingstats.com/race/paris-nice/2022/stage-4,paris-nice/2022/stage-4
https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-4,tirreno-adriatico/2022/stage-4
https://www.procyclingstats.com/race/volta-a-catalunya/2022/stage-4,volta-a-catalunya/2022/stage-4
https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-4,itzulia-basque-country/2022/stage-4
https://www.procyclingstats.com/race/tour-de-romandie/2022/stage-4,tour-de-romandie/2022/stage-4
https://www.procyclingstats.com/race/dauphine/2022/stage-4,dauphine/2022/stage-4
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-4,tour-de-suisse/2022/stage-4
https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-4,tour-de-pologne/2022/stage-4
https://www.procyclingstats.com/race/uae-tour/2022/stage-5,uae-tour/2022/stage-5
https://www.procyclingstats.com/race/paris-nice/2022/stage-5,paris-nice/2022/stage-5
https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-5,tirreno-adriatico/2022/stage-5
https://www.procyclingstats.com/race/volta-a-catalunya/2022/stage-5,volta-a-catalunya/2022/stage-5
https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-5,itzulia-basque-country/2022/stage-5
https://www.procyclingstats.com/race/tour-de-romandie/2022/stage-5,tour-de-romandie/2022/stage-5
https://www.procyclingstats.com/race/dauphine/2022/stage-5,dauphine/2022/stage-5
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-5,tour-de-suisse/2022/stage-5
https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-5,tour-de-pologne/2022/stage-5
https://www.procyclingstats.com/race/uae-tour/2022/stage-6,uae-tour/2022/stage-6
https://www.procyclingstats.com/race/paris-nice/2022/stage-6,paris-nice/2022/stage-6
https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-6,tirreno-adriatico/2022/stage-6
https://www.procyclingstats.com/race/volta-a-catalunya/2022/stage-6,volta-a-catalunya/2022/stage-6
https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-6,itzulia-basque-country/2022/stage-6
https://www.procyclingstats.com/race/dauphine/2022/stage-6,dauphine/2022/stage-6
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-6,tour-de-suisse/2022/stage-6
https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-6,tour-de-pologne/2022/stage-6
https://www.procyclingstats.com/race/uae-tour/2022/stage-7,uae-tour/2022/stage-7
https://www.procyclingstats.com/race/paris-nice/2022/stage-7,paris-nice/2022/stage-7
https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-7,tirreno-adriatico/2022/stage-7
https://www.procyclingstats.com/race/volta-a-catalunya/2022/stage-7,volta-a-catalunya/2022/stage-7
https://www.procyclingstats.com/race/dauphine/2022/stage-7,dauphine/2022/stage-7
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-7,tour-de-suisse/2022/stage-7
https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-7,tour-de-pologne/2022/stage-7
https://www.procyclingstats.com/race/paris-nice/2022/stage-8,paris-nice/2022/stage-8
https://www.procyclingstats.com/race/dauphine/2022/stage-8,dauphine/2022/stage-8
https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-8,tour-de-suisse/2022/stage-8
