,race_code,race_url,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
1,great-ocean-race/2019,https://www.procyclingstats.com/race/great-ocean-race/2019,27-Jan-19,01:10,41.95 km/h,ME - Men Elite,164 km,1.WT.B,UCI.WR.C3,,114,2018,Geelong,Geelong,0,387,Sprint of large group,
3,omloop-het-nieuwsblad/2019,https://www.procyclingstats.com/race/omloop-het-nieuwsblad/2019,02-Mar-19,11:45,40.916 km/h,ME - Men Elite,200 km,1.WT.B,UCI.WR.C3,,47,1653,Gent,Ninove,0,743,2.5 km solo,
4,strade-bianche/2019,https://www.procyclingstats.com/race/strade-bianche/2019,09-Mar-19,10:45,38.436 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C3,,151,2993,Siena,Siena,0,686,Sprint a deux,
7,milano-sanremo/2019,https://www.procyclingstats.com/race/milano-sanremo/2019,23-Mar-19,10:10,43.625 km/h,ME - Men Elite,291 km,1.WT.A,UCI.WR.C1,,60,2060,Milano,Sanremo,0,1137,Sprint of small group,
9,oxyclean-classic-brugge-de-panne/2019,https://www.procyclingstats.com/race/oxyclean-classic-brugge-de-panne/2019,27-Mar-19,11:45,43.459 km/h,ME - Men Elite,200.3 km,1.WT.B,UCI.WR.C3,,5,647,Brugge,De Panne,0,461,Sprint of large group,
10,e3-harelbeke/2019,https://www.procyclingstats.com/race/e3-harelbeke/2019,29-Mar-19,12:21,42.785 km/h,ME - Men Elite,204 km,1.WT.B,UCI.WR.C2,,79,2619,Harelbeke,Harelbeke,0,758,Sprint of small group,
11,gent-wevelgem/2019,https://www.procyclingstats.com/race/gent-wevelgem/2019,31-Mar-19,11:15  (13:15 CET),45.901 km/h,ME - Men Elite,249.5 km,1.WT.B,UCI.WR.C1,,37,1511,Deinze,Wevelgem,0,869,Sprint of large group,
12,dwars-door-vlaanderen/2019,https://www.procyclingstats.com/race/dwars-door-vlaanderen/2019,03-Apr-19,12:25  (14:25 CET),44.55 km/h,ME - Men Elite,182.6 km,1.WT.B,UCI.WR.C3,,47,1213,Roeselare,Waregem,0,676,Sprint of small group,
13,ronde-van-vlaanderen/2019,https://www.procyclingstats.com/race/ronde-van-vlaanderen/2019,07-Apr-19,10:45  (12:45 CET),42.29 km/h,ME - Men Elite,267 km,1.WT.A,UCI.WR.C1,,72,2164,Antwerp,Oudenaarde,0,880,17 km solo,
15,paris-roubaix/2019,https://www.procyclingstats.com/race/paris-roubaix/2019,14-Apr-19,11:15  (13:15 CET),43.069 km/h,ME - Men Elite,257 km,1.WT.A,UCI.WR.C1,,5,1334,Compiègne,Roubaix,0,695,Sprint a deux,
17,amstel-gold-race/2019,https://www.procyclingstats.com/race/amstel-gold-race/2019,21-Apr-19,10:35  (12:35 CET),41.056 km/h,ME - Men Elite,265.7 km,1.WT.B,UCI.WR.C1,,108,3536,Maastricht,Berg en Terblijt,0,1041,Sprint of small group,
18,la-fleche-wallone/2019,https://www.procyclingstats.com/race/la-fleche-wallone/2019,24-Apr-19,11:15  (13:15 CET),39.63 km/h,ME - Men Elite,195 km,1.WT.B,UCI.WR.C2,,179,2930,Ans,Mur de Huy,0,1026,Sprint a deux,
19,liege-bastogne-liege/2019,https://www.procyclingstats.com/race/liege-bastogne-liege/2019,28-Apr-19,10:10  (12:10 CET),38.63 km/h,ME - Men Elite,256 km,1.WT.A,UCI.WR.C1,,158,4075,Liège,Liège,0,1103,13 km solo,
21,eschborn-frankfurt/2019,https://www.procyclingstats.com/race/eschborn-frankfurt/2019,01-May-19,12:16  (14:16 CET),42.678 km/h,ME - Men Elite,187.5 km,1.WT.B,UCI.WR.C3,,89,2660,Eschborn,Frankfurt am Main,0,470,Sprint of large group,
27,san-sebastian/2019,https://www.procyclingstats.com/race/san-sebastian/2019,03-Aug-19,11:49  (13:49 CET),39.594 km/h,ME - Men Elite,227.3 km,1.WT.B,UCI.WR.C2,,188,3980,San Sebastian,San Sebastian,0,788,8.8 km solo,
29,ride-london-classic/2019,https://www.procyclingstats.com/race/ride-london-classic/2019,04-Aug-19,15:10  (17:10 CET),44.287 km/h,ME - Men Elite,167 km,1.WT.B,UCI.WR.C3,,39,1679,London,London,0,516,Sprint of small group,
