,race_code,race_url,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
120,great-ocean-race/2023,https://www.procyclingstats.com/race/great-ocean-race/2023,29-Jan-23,11:13  (01:13 CET),40.982 km/h,ME - Men Elite,174.3 km,1.WT.B,UCI.WR.C3,,88,1685,Geelong,Geelong,67,338,Sprint of large group,
122,omloop-het-nieuwsblad/2023,https://www.procyclingstats.com/race/omloop-het-nieuwsblad/2023,25-Feb-23,11:15,42.189 km/h,ME - Men Elite,207.3 km,1.WT.B,UCI.WR.C3,,52,1616,Ghent,Ninove,26,672,16.5 km solo,7 °C
123,strade-bianche/2023,https://www.procyclingstats.com/race/strade-bianche/2023,04-Mar-23,11:45,40.636 km/h,ME - Men Elite,184 km,1.WT.B,UCI.WR.C2,,168,3107,Siena,Siena,25,685,23.3 km solo,13 °C
248,gp-de-valence/2023,https://www.procyclingstats.com/race/gp-de-valence/2023,22-Jan-23,12:00,40.517 km/h,ME - Men Elite,190 km,1.1,UCI.WR.1,,88,2111,Valencia,La Nucía,121,197,Sprint of large group,10 °C
249,trofeo-calvia/2023,https://www.procyclingstats.com/race/trofeo-calvia/2023,25-Jan-23,12:10,37.593 km/h,ME - Men Elite,150.1 km,1.1,UCI.WR.1,,149,3154,Palmanova,Palmanova,78,309,Sprint of small group,9 °C
250,trofeo-alcudia/2023,https://www.procyclingstats.com/race/trofeo-alcudia/2023,26-Jan-23,12:20,43.748 km/h,ME - Men Elite,158.6 km,1.1,UCI.WR.1,,55,1410,Ses Salines,Alcúdia,86,294,Sprint of large group,10 °C
251,trofeo-andratx-mirador-d-es-colomer/2023,https://www.procyclingstats.com/race/trofeo-andratx-mirador-d-es-colomer/2023,27-Jan-23,11:55,39.085 km/h,ME - Men Elite,160.9 km,1.1,UCI.WR.1,,146,3281,Andratx,Coll de la Creueta,66,342,23.9 km solo,6 °C
252,deia-trophy/2023,https://www.procyclingstats.com/race/deia-trophy/2023,28-Jan-23,12:15,42.212 km/h,ME - Men Elite,123.2 km,1.1,UCI.WR.1,,184,2601,Lloseta,Lloseta,76,310,4.1 km solo,7 °C
253,gp-d-ouverture/2023,https://www.procyclingstats.com/race/gp-d-ouverture/2023,29-Jan-23,12:15,38.84 km/h,ME - Men Elite,167.8 km,1.1,UCI.WR.1,,136,2910,Marseille,Septèmes-les-Vallons,92,270,13 km solo,8 °C
254,trofeo-palma/2023,https://www.procyclingstats.com/race/trofeo-palma/2023,29-Jan-23,10:35,42.92 km/h,ME - Men Elite,141.6 km,1.1,UCI.WR.1,,10,944,Palma,Palma,93,266,Sprint of large group,9 °C
255,vuelta-ciclista-a-la-region-de-murcia/2023,https://www.procyclingstats.com/race/vuelta-ciclista-a-la-region-de-murcia/2023,11-Feb-23,12:40,41.55 km/h,ME - Men Elite,183.5 km,1.1,UCI.WR.1,,98,2574,San Javier,Cartagena,83,298,Sprint of small group,10 °C
256,figueira-champions-classic/2023,https://www.procyclingstats.com/race/figueira-champions-classic/2023,12-Feb-23,09:55  (10:55 CET),41.319 km/h,ME - Men Elite,190 km,1.1,UCI.WR.1,,108,2141,São Pedro,Figueira da Foz,150,123,Sprint of small group,13 °C
257,clasica-jaen-paraiso-interior/2023,https://www.procyclingstats.com/race/clasica-jaen-paraiso-interior/2023,13-Feb-23,12:35,38.795 km/h,ME - Men Elite,178.9 km,1.1,UCI.WR.1,,89,2704,Úbeda,Baeza,93,279,36.5 km solo,16 °C
258,gp-samyn/2023,https://www.procyclingstats.com/race/gp-samyn/2023,28-Feb-23,12:25,43.321 km/h,ME - Men Elite,209 km,1.1,UCI.WR.1,,10,1533,Quaregnon,Dour,122,199,Sprint of large group,4 °C
259,grand-prix-criquielion/2023,https://www.procyclingstats.com/race/grand-prix-criquielion/2023,04-Mar-23,12:35,42.51 km/h,ME - Men Elite,201 km,1.1,UCI.WR.1,,71,2245,Ath,Lessines,150,124,? - let us know!,7 °C
465,clasica-de-almeria/2023,https://www.procyclingstats.com/race/clasica-de-almeria/2023,12-Feb-23,12:30,40.308 km/h,ME - Men Elite,190.3 km,1.PRO,UCI.WR.Pro,,31,1741,Puebla de Vícar,Roquetas de Mar,69,333,Sprint of large group,16 °C
468,faun-ardeche-classic/2023,https://www.procyclingstats.com/race/faun-ardeche-classic/2023,25-Feb-23,11:29,38.465 km/h,ME - Men Elite,168.5 km,1.PRO,UCI.WR.Pro,,209,3161,Guilherand-Granges,Guilherand-Granges,53,396,Sprint a deux,8 °C
469,la-drome-classic/2023,https://www.procyclingstats.com/race/la-drome-classic/2023,26-Feb-23,11:11,38.631 km/h,ME - Men Elite,191.5 km,1.PRO,UCI.WR.Pro,,127,2371,Étoile-sur-Rhône,Étoile-sur-Rhône,46,430,38.3 km solo,5 °C
470,kuurne-brussel-kuurne/2023,https://www.procyclingstats.com/race/kuurne-brussel-kuurne/2023,26-Feb-23,12:19,42.53 km/h,ME - Men Elite,193.1 km,1.PRO,UCI.WR.Pro,,43,1828,Kuurne,Kuurne,30,606,0.6 km solo,5 °C
471,trofeo-laigueglia/2023,https://www.procyclingstats.com/race/trofeo-laigueglia/2023,01-Mar-23,11:00,39.155 km/h,ME - Men Elite,201.3 km,1.PRO,UCI.WR.Pro,,153,2973,Laigueglia,Laigueglia,92,279,30 km solo,8 °C
